CNK;NUVA;Label
CNK-3926664;VAC0563;ALPHA-RIX-TETRA
CNK-4176053;VAC0563;ALPHA-RIX-TETRA
CNK-4185344;VAC0567;SHINGRIX
CNK-4280798;VAC0567;SHINGRIX
CNK-2374429;VAC0568;BOOSTRIX-POLIO
CNK-1552215;VAC0569;INFANRIX-IPV
CNK-1340884;VAC0570;HIBERIX
CNK-3308277;VAC0575;FSME-IMMUN
CNK-3598034;VAC0582;TRUMENBA
CNK-4867487;VAC0593;VERORAB
CNK-4642039;VAC0644;QDENGA
CNK-4314894;VAC0650;VAXZEVRIA ASTRAZENECA
CNK-4301081;VAC0656;SPIKEVAX 0,2 mg/mL MODERNA
CNK-4293254;VAC0658;COMIRNATY 30 µg BIONTECH-PFIZER
CNK-4470696;VAC0658;COMIRNATY 30 µg BIONTECH-PFIZER
CNK-4314258;VAC0666;JCOVDEN (ancien nom : JANSSEN COVID-19 VACCINE)
CNK-4492567;VAC0667;NUVAXOVID
CNK-4237939;VAC0736;TRIAXIS POLIO
CNK-2223618;VAC0774;FSME-IMMUN 0,25 mL
CNK-3308285;VAC0774;FSME-IMMUN 0,25 mL
CNK-4491015;VAC0780;VAXNEUVANCE
CNK-4476651;VAC0833;COMIRNATY 10 µg BIONTECH-PFIZER
CNK-4476669;VAC0833;COMIRNATY 10 µg BIONTECH-PFIZER
CNK-1624584;VAC0840;ADDIGRIP
CNK-1703222;VAC0840;ADDIGRIP
CNK-1788694;VAC0840;ADDIGRIP
CNK-4499844;VAC0900;PREVENAR 20
CNK-4676235;VAC0913;BIMERVAX
CNK-4719902;VAC0939;PREHEVBRIO
CNK-4604088;VAC0966;JYNNEOS
CNK-2228104;VAC0968;INFLEXAL V
CNK-2493260;VAC0968;INFLEXAL V
CNK-2585727;VAC0968;INFLEXAL V
CNK-2798379;VAC0968;INFLEXAL V
CNK-2852788;VAC0968;INFLEXAL V
CNK-3040474;VAC0968;INFLEXAL V
CNK-0385518;VAC0990;ALPHARIX
CNK-1035542;VAC0990;ALPHARIX
CNK-1089127;VAC0990;ALPHARIX
CNK-1167428;VAC0990;ALPHARIX
CNK-1233535;VAC0990;ALPHARIX
CNK-1320977;VAC0990;ALPHARIX
CNK-1391846;VAC0990;ALPHARIX
CNK-1451798;VAC0990;ALPHARIX
CNK-1540400;VAC0990;ALPHARIX
CNK-1619238;VAC0990;ALPHARIX
CNK-1703230;VAC0990;ALPHARIX
CNK-1789460;VAC0990;ALPHARIX
CNK-2118396;VAC0990;ALPHARIX
CNK-2214260;VAC0990;ALPHARIX
CNK-2318426;VAC0990;ALPHARIX
CNK-2394070;VAC0990;ALPHARIX
CNK-2488765;VAC0990;ALPHARIX
CNK-2607885;VAC0990;ALPHARIX
CNK-2707222;VAC0990;ALPHARIX
CNK-2802882;VAC0990;ALPHARIX
CNK-2947737;VAC0990;ALPHARIX
CNK-3042470;VAC0990;ALPHARIX
CNK-3148525;VAC0990;ALPHARIX
CNK-4916409;VAC0990;ALPHARIX
CNK-1077593;VAC1003;TEDIVAX PRO ADULTO
CNK-0135400;VAC1004;TEDIVAX
CNK-1075712;VAC1004;TEDIVAX
CNK-305912;VAC1008;DITEMER
CNK-380519;VAC1009;TETAMER
CNK-305961;VAC1010;TRIAMER
CNK-2081495;VAC1014;PROVARIVAX
CNK-2232221;VAC1014;PROVARIVAX
CNK-1068070;VAC1015;COMBIVAX
CNK-1075720;VAC1015;COMBIVAX
CNK-4623641;VAC1021;COMIRNATY ORIGINAL/OMICRON BA.1 (15/15 µg) BIONTECH-PFIZER
CNK-4636536;VAC1022;COMIRNATY 3 µg 6 MOIS-4 ANS BIONTECH-PFIZER
CNK-4623567;VAC1023;COMIRNATY ORIGINAL/OMICRON BA.4-5 (15/15 µg) BIONTECH-PFIZER
CNK-4710224;VAC1040;AREXVY
CNK-4860383;VAC1040;AREXVY
CNK-4802427;VAC1046;BEYFORTUS 50 MG (NIRSEVIMAB)
CNK-4736807;VAC1047;ABRYSVO
CNK-4803292;VAC1050;BEYFORTUS 100 MG (NIRSEVIMAB)
CNK-4740098;VAC1051;PFIZER COMIRNATY-30 XBB.1.5
CNK-4740106;VAC1052;PFIZER COMIRNATY-10 XBB.1.5
CNK-4749438;VAC1052;PFIZER COMIRNATY-10 XBB.1.5
CNK-4741435;VAC1053;PFIZER COMIRNATY-3 XBB.1.5
CNK-4855128;VAC1258;COMIRNATY JN.1 30 µg
CNK-4855110;VAC1259;COMIRNATY JN.1 10 µg
CNK-4855144;VAC1260;COMIRNATY JN.1 3 µg
CNK-4891487;VAC1347;EFLUELDA
CNK-4969630;VAC1466;COMIRNATY LP.8.1 30 µg
CNK-4969648;VAC1467;COMIRNATY LP.8.1 3 µg 6 MOIS-4 ANS
CNK-4969622;VAC1468;COMIRNATY LP.8.1 10 µg 5-11 ans
