NUVA,NUVA label,IsAbstract,CIP,CIP label,Best,Blur,Equiv
VAC0008,GRIPGUARD,False,CIP-3400937084901,GRIPGUARD,True,1,4
VAC0008,GRIPGUARD,False,CIP-3400937085090,GRIPGUARD,True,1,4
VAC0009,HBVAXPRO 10 µg,False,CIP-3400935676412,HBVAXPRO 10 µg,True,1,8
VAC0009,HBVAXPRO 10 µg,False,CIP-3400935947215,HBVAXPRO 10 µg,True,1,8
VAC0009,HBVAXPRO 10 µg,False,CIP-3400936924413,HBVAXPRO 10 µg,True,1,8
VAC0009,HBVAXPRO 10 µg,False,CIP-3400936924581,HBVAXPRO 10 µg,True,1,8
VAC0009,HBVAXPRO 10 µg,False,CIP-3400936924642,HBVAXPRO 10 µg,True,1,8
VAC0009,HBVAXPRO 10 µg,False,CIP-3400936924703,HBVAXPRO 10 µg,True,1,8
VAC0009,HBVAXPRO 10 µg,False,CIP-3400956213856,HBVAXPRO 10 µg,True,1,8
VAC0009,HBVAXPRO 10 µg,False,CIP-3400957221980,HBVAXPRO 10 µg,True,1,8
VAC0010,HBVAXPRO 40 µg,False,CIP-3400935676580,HBVAXPRO 40 µg,True,1,1
VAC0011,HBVAXPRO 5 µg,False,CIP-3400935396334,HBVAXPRO 5 µg,True,1,12
VAC0011,HBVAXPRO 5 µg,False,CIP-3400935676351,HBVAXPRO 5 µg,True,1,12
VAC0011,HBVAXPRO 5 µg,False,CIP-3400936408463,HBVAXPRO 5 µg,True,1,12
VAC0011,HBVAXPRO 5 µg,False,CIP-3400936923812,HBVAXPRO 5 µg,True,1,12
VAC0011,HBVAXPRO 5 µg,False,CIP-3400936923980,HBVAXPRO 5 µg,True,1,12
VAC0011,HBVAXPRO 5 µg,False,CIP-3400936924062,HBVAXPRO 5 µg,True,1,12
VAC0011,HBVAXPRO 5 µg,False,CIP-3400936924123,HBVAXPRO 5 µg,True,1,12
VAC0011,HBVAXPRO 5 µg,False,CIP-3400936924291,HBVAXPRO 5 µg,True,1,12
VAC0011,HBVAXPRO 5 µg,False,CIP-3400936924352,HBVAXPRO 5 µg,True,1,12
VAC0011,HBVAXPRO 5 µg,False,CIP-3400956213795,HBVAXPRO 5 µg,True,1,12
VAC0011,HBVAXPRO 5 µg,False,CIP-3400957259204,HBVAXPRO 5 µg,True,1,12
VAC0011,HBVAXPRO 5 µg,False,CIP-3400957259372,HBVAXPRO 5 µg,True,1,12
VAC0012,IMMUGRIP,False,CIP-3400933385507,IMMUGRIP,True,1,1
VAC0013,IMOVAX POLIO,False,CIP-3400932575503,IMOVAX POLIO,True,1,8
VAC0013,IMOVAX POLIO,False,CIP-3400932575671,IMOVAX POLIO,True,1,8
VAC0013,IMOVAX POLIO,False,CIP-3400932575732,IMOVAX POLIO,True,1,8
VAC0013,IMOVAX POLIO,False,CIP-3400932575961,IMOVAX POLIO,True,1,8
VAC0013,IMOVAX POLIO,False,CIP-3400932576043,IMOVAX POLIO,True,1,8
VAC0013,IMOVAX POLIO,False,CIP-3400936122062,IMOVAX POLIO,True,1,8
VAC0013,IMOVAX POLIO,False,CIP-3400936992658,IMOVAX POLIO,True,1,8
VAC0013,IMOVAX POLIO,False,CIP-3400936992719,IMOVAX POLIO,True,1,8
VAC0014,INFANRIX HEXA,False,CIP-3400930004326,INFANRIX HEXA,True,1,9
VAC0014,INFANRIX HEXA,False,CIP-3400930095713,INFANRIX HEXA,True,1,9
VAC0014,INFANRIX HEXA,False,CIP-3400935495839,INFANRIX HEXA,True,1,9
VAC0014,INFANRIX HEXA,False,CIP-3400935496089,INFANRIX HEXA,True,1,9
VAC0014,INFANRIX HEXA,False,CIP-3400955001805,INFANRIX HEXA,True,1,9
VAC0014,INFANRIX HEXA,False,CIP-3400955001812,INFANRIX HEXA,True,1,9
VAC0014,INFANRIX HEXA,False,CIP-3400955001829,INFANRIX HEXA,True,1,9
VAC0014,INFANRIX HEXA,False,CIP-3400956211265,INFANRIX HEXA,True,1,9
VAC0014,INFANRIX HEXA,False,CIP-3400956211326,INFANRIX HEXA,True,1,9
VAC0015,INFANRIXQUINTA,False,CIP-3400930095720,INFANRIXQUINTA,True,1,4
VAC0015,INFANRIXQUINTA,False,CIP-3400934376771,INFANRIXQUINTA,True,1,4
VAC0015,INFANRIXQUINTA,False,CIP-3400934376832,INFANRIXQUINTA,True,1,4
VAC0015,INFANRIXQUINTA,False,CIP-3400935524737,INFANRIXQUINTA,True,1,4
VAC0016,INFLUVAC,False,CIP-3400930296165,INFLUVAC,True,1,9
VAC0016,INFLUVAC,False,CIP-3400930296172,INFLUVAC,True,1,9
VAC0016,INFLUVAC,False,CIP-3400933652166,INFLUVAC,True,1,9
VAC0016,INFLUVAC,False,CIP-3400935524508,INFLUVAC,True,1,9
VAC0016,INFLUVAC,False,CIP-3400939523279,INFLUVAC,True,1,9
VAC0016,INFLUVAC,False,CIP-3400955102168,INFLUVAC,True,1,9
VAC0016,INFLUVAC,False,CIP-3400955102175,INFLUVAC,True,1,9
VAC0016,INFLUVAC,False,CIP-3400955896876,INFLUVAC,True,1,9
VAC0016,INFLUVAC,False,CIP-3400957541989,INFLUVAC,True,1,9
VAC0017,M-M-RVAXPRO,False,CIP-3400937327848,M-M-RVAXPRO,True,1,13
VAC0017,M-M-RVAXPRO,False,CIP-3400937327909,M-M-RVAXPRO,True,1,13
VAC0017,M-M-RVAXPRO,False,CIP-3400937328098,M-M-RVAXPRO,True,1,13
VAC0017,M-M-RVAXPRO,False,CIP-3400937328159,M-M-RVAXPRO,True,1,13
VAC0017,M-M-RVAXPRO,False,CIP-3400937328210,M-M-RVAXPRO,True,1,13
VAC0017,M-M-RVAXPRO,False,CIP-3400956702602,M-M-RVAXPRO,True,1,13
VAC0017,M-M-RVAXPRO,False,CIP-3400956702770,M-M-RVAXPRO,True,1,13
VAC0017,M-M-RVAXPRO,False,CIP-3400956702831,M-M-RVAXPRO,True,1,13
VAC0017,M-M-RVAXPRO,False,CIP-3400956703081,M-M-RVAXPRO,True,1,13
VAC0017,M-M-RVAXPRO,False,CIP-3400956703142,M-M-RVAXPRO,True,1,13
VAC0017,M-M-RVAXPRO,False,CIP-3400956722181,M-M-RVAXPRO,True,1,13
VAC0017,M-M-RVAXPRO,False,CIP-3400956722242,M-M-RVAXPRO,True,1,13
VAC0017,M-M-RVAXPRO,False,CIP-3400956722303,M-M-RVAXPRO,True,1,13
VAC0018,MENCEVAX ACWY,False,CIP-3400938588354,MENCEVAX ACWY,True,1,6
VAC0018,MENCEVAX ACWY,False,CIP-3400938588415,MENCEVAX ACWY,True,1,6
VAC0018,MENCEVAX ACWY,False,CIP-3400938588583,MENCEVAX ACWY,True,1,6
VAC0018,MENCEVAX ACWY,False,CIP-3400938588644,MENCEVAX ACWY,True,1,6
VAC0018,MENCEVAX ACWY,False,CIP-3400938588705,MENCEVAX ACWY,True,1,6
VAC0018,MENCEVAX ACWY,False,CIP-3400938588873,MENCEVAX ACWY,True,1,6
VAC0019,MENINGITEC,False,CIP-3400935777577,MENINGITEC,True,1,8
VAC0019,MENINGITEC,False,CIP-3400935777638,MENINGITEC,True,1,8
VAC0019,MENINGITEC,False,CIP-3400935777867,MENINGITEC,True,1,8
VAC0019,MENINGITEC,False,CIP-3400938150100,MENINGITEC,True,1,8
VAC0019,MENINGITEC,False,CIP-3400938150278,MENINGITEC,True,1,8
VAC0019,MENINGITEC,False,CIP-3400938150339,MENINGITEC,True,1,8
VAC0019,MENINGITEC,False,CIP-3400938150568,MENINGITEC,True,1,8
VAC0019,MENINGITEC,False,CIP-3400949317127,MENINGITEC,True,1,8
VAC0020,MENJUGATEKIT 10 µg,False,CIP-3400937082259,MENJUGATEKIT 10 µg,True,1,3
VAC0020,MENJUGATEKIT 10 µg,False,CIP-3400937082310,MENJUGATEKIT 10 µg,True,1,3
VAC0020,MENJUGATEKIT 10 µg,False,CIP-3400937082488,MENJUGATEKIT 10 µg,True,1,3
VAC0021,MUTAGRIP,False,CIP-3400932015030,MUTAGRIP,True,1,10
VAC0021,MUTAGRIP,False,CIP-3400932015269,MUTAGRIP,True,1,10
VAC0021,MUTAGRIP,False,CIP-3400932015320,MUTAGRIP,True,1,10
VAC0021,MUTAGRIP,False,CIP-3400932222445,MUTAGRIP,True,1,10
VAC0021,MUTAGRIP,False,CIP-3400935229861,MUTAGRIP,True,1,10
VAC0021,MUTAGRIP,False,CIP-3400935229922,MUTAGRIP,True,1,10
VAC0021,MUTAGRIP,False,CIP-3400935230003,MUTAGRIP,True,1,10
VAC0021,MUTAGRIP,False,CIP-3400935230171,MUTAGRIP,True,1,10
VAC0021,MUTAGRIP,False,CIP-3400935230232,MUTAGRIP,True,1,10
VAC0021,MUTAGRIP,False,CIP-3400935230461,MUTAGRIP,True,1,10
VAC0022,NEISVAC,False,CIP-3400936276857,NEISVAC,True,1,4
VAC0022,NEISVAC,False,CIP-3400936276918,NEISVAC,True,1,4
VAC0022,NEISVAC,False,CIP-3400936277168,NEISVAC,True,1,4
VAC0022,NEISVAC,False,CIP-3400936277397,NEISVAC,True,1,4
VAC0023,PENTAVAC,False,CIP-3400934774416,PENTAVAC,True,1,10
VAC0023,PENTAVAC,False,CIP-3400934821981,PENTAVAC,True,1,10
VAC0023,PENTAVAC,False,CIP-3400935166784,PENTAVAC,True,1,10
VAC0023,PENTAVAC,False,CIP-3400936064188,PENTAVAC,True,1,10
VAC0023,PENTAVAC,False,CIP-3400936064249,PENTAVAC,True,1,10
VAC0023,PENTAVAC,False,CIP-3400936064300,PENTAVAC,True,1,10
VAC0023,PENTAVAC,False,CIP-3400936874114,PENTAVAC,True,1,10
VAC0023,PENTAVAC,False,CIP-3400936874282,PENTAVAC,True,1,10
VAC0023,PENTAVAC,False,CIP-3400936874343,PENTAVAC,True,1,10
VAC0023,PENTAVAC,False,CIP-3400936874404,PENTAVAC,True,1,10
VAC0024,PNEUMO 23,False,CIP-3400932434824,PNEUMO 23,True,1,3
VAC0024,PNEUMO 23,False,CIP-3400934233272,PNEUMO 23,True,1,3
VAC0024,PNEUMO 23,False,CIP-3400936873452,PNEUMO 23,True,1,3
VAC0025,PREVENAR,False,CIP-3400935526809,PREVENAR,True,1,7
VAC0025,PREVENAR,False,CIP-3400935526977,PREVENAR,True,1,7
VAC0025,PREVENAR,False,CIP-3400935527059,PREVENAR,True,1,7
VAC0025,PREVENAR,False,CIP-3400935527110,PREVENAR,True,1,7
VAC0025,PREVENAR,False,CIP-3400935681843,PREVENAR,True,1,7
VAC0025,PREVENAR,False,CIP-3400935948045,PREVENAR,True,1,7
VAC0025,PREVENAR,False,CIP-3400935948106,PREVENAR,True,1,7
VAC0026,PREVIGRIP,False,CIP-3400933387228,PREVIGRIP,True,1,1
VAC0027,R.O.R. VAX,False,CIP-3400933673628,R.O.R. VAX,True,1,2
VAC0027,R.O.R. VAX,False,CIP-3400935965363,R.O.R. VAX,True,1,2
VAC0028,RABIPUR,False,CIP-3400930071595,RABIPUR,True,1,3
VAC0028,RABIPUR,False,CIP-3400936276796,RABIPUR,True,1,3
VAC0028,RABIPUR,False,CIP-3400936466593,RABIPUR,True,1,3
VAC0029,REPEVAX,False,CIP-3400935963932,REPEVAX,True,1,13
VAC0029,REPEVAX,False,CIP-3400935964014,REPEVAX,True,1,13
VAC0029,REPEVAX,False,CIP-3400935964182,REPEVAX,True,1,13
VAC0029,REPEVAX,False,CIP-3400935964243,REPEVAX,True,1,13
VAC0029,REPEVAX,False,CIP-3400935964304,REPEVAX,True,1,13
VAC0029,REPEVAX,False,CIP-3400935964472,REPEVAX,True,1,13
VAC0029,REPEVAX,False,CIP-3400935964533,REPEVAX,True,1,13
VAC0029,REPEVAX,False,CIP-3400935964762,REPEVAX,True,1,13
VAC0029,REPEVAX,False,CIP-3400935964823,REPEVAX,True,1,13
VAC0029,REPEVAX,False,CIP-3400936873742,REPEVAX,True,1,13
VAC0029,REPEVAX,False,CIP-3400936873803,REPEVAX,True,1,13
VAC0029,REPEVAX,False,CIP-3400936873971,REPEVAX,True,1,13
VAC0029,REPEVAX,False,CIP-3400936874053,REPEVAX,True,1,13
VAC0030,REVAXIS,False,CIP-3400935259967,REVAXIS,True,1,9
VAC0030,REVAXIS,False,CIP-3400935260048,REVAXIS,True,1,9
VAC0030,REVAXIS,False,CIP-3400935308566,REVAXIS,True,1,9
VAC0030,REVAXIS,False,CIP-3400936875814,REVAXIS,True,1,9
VAC0030,REVAXIS,False,CIP-3400936875982,REVAXIS,True,1,9
VAC0030,REVAXIS,False,CIP-3400936876064,REVAXIS,True,1,9
VAC0030,REVAXIS,False,CIP-3400936876125,REVAXIS,True,1,9
VAC0030,REVAXIS,False,CIP-3400936876293,REVAXIS,True,1,9
VAC0030,REVAXIS,False,CIP-3400936876354,REVAXIS,True,1,9
VAC0031,ROTATEQ,False,CIP-3400937622363,ROTATEQ,True,1,2
VAC0031,ROTATEQ,False,CIP-3400956970988,ROTATEQ,True,1,2
VAC0032,ROUVAX,False,CIP-3400930926758,ROUVAX,True,1,6
VAC0032,ROUVAX,False,CIP-3400932859313,ROUVAX,True,1,6
VAC0032,ROUVAX,False,CIP-3400932859481,ROUVAX,True,1,6
VAC0032,ROUVAX,False,CIP-3400932859542,ROUVAX,True,1,6
VAC0032,ROUVAX,False,CIP-3400939211374,ROUVAX,True,1,6
VAC0032,ROUVAX,False,CIP-3400955372424,ROUVAX,True,1,6
VAC0033,RUDIVAX,False,CIP-3400931832836,RUDIVAX,True,1,3
VAC0033,RUDIVAX,False,CIP-3400937084789,RUDIVAX,True,1,3
VAC0033,RUDIVAX,False,CIP-3400955150398,RUDIVAX,True,1,3
VAC0034,SPIROLEPT,False,CIP-3400935147165,SPIROLEPT,True,1,1
VAC0035,STAMARIL,False,CIP-3400930057667,STAMARIL,True,1,13
VAC0035,STAMARIL,False,CIP-3400930057698,STAMARIL,True,1,13
VAC0035,STAMARIL,False,CIP-3400933658830,STAMARIL,True,1,13
VAC0035,STAMARIL,False,CIP-3400933659080,STAMARIL,True,1,13
VAC0035,STAMARIL,False,CIP-3400935081018,STAMARIL,True,1,13
VAC0035,STAMARIL,False,CIP-3400935081186,STAMARIL,True,1,13
VAC0035,STAMARIL,False,CIP-3400935081247,STAMARIL,True,1,13
VAC0035,STAMARIL,False,CIP-3400936122123,STAMARIL,True,1,13
VAC0035,STAMARIL,False,CIP-3400936993198,STAMARIL,True,1,13
VAC0035,STAMARIL,False,CIP-3400936993259,STAMARIL,True,1,13
VAC0035,STAMARIL,False,CIP-3400936993310,STAMARIL,True,1,13
VAC0035,STAMARIL,False,CIP-3400936993488,STAMARIL,True,1,13
VAC0035,STAMARIL,False,CIP-3400949806102,STAMARIL,True,1,13
VAC0036,TETAGRIP,False,CIP-3400932936175,TETAGRIP,True,1,2
VAC0036,TETAGRIP,False,CIP-3400932936236,TETAGRIP,True,1,2
VAC0037,TETRAVAC-ACELLULAIRE,False,CIP-3400934822124,TETRAVAC-ACELLULAIRE,True,1,10
VAC0037,TETRAVAC-ACELLULAIRE,False,CIP-3400934822353,TETRAVAC-ACELLULAIRE,True,1,10
VAC0037,TETRAVAC-ACELLULAIRE,False,CIP-3400935166845,TETRAVAC-ACELLULAIRE,True,1,10
VAC0037,TETRAVAC-ACELLULAIRE,False,CIP-3400936064478,TETRAVAC-ACELLULAIRE,True,1,10
VAC0037,TETRAVAC-ACELLULAIRE,False,CIP-3400936064539,TETRAVAC-ACELLULAIRE,True,1,10
VAC0037,TETRAVAC-ACELLULAIRE,False,CIP-3400936064768,TETRAVAC-ACELLULAIRE,True,1,10
VAC0037,TETRAVAC-ACELLULAIRE,False,CIP-3400936874633,TETRAVAC-ACELLULAIRE,True,1,10
VAC0037,TETRAVAC-ACELLULAIRE,False,CIP-3400936874862,TETRAVAC-ACELLULAIRE,True,1,10
VAC0037,TETRAVAC-ACELLULAIRE,False,CIP-3400936874923,TETRAVAC-ACELLULAIRE,True,1,10
VAC0037,TETRAVAC-ACELLULAIRE,False,CIP-3400936875005,TETRAVAC-ACELLULAIRE,True,1,10
VAC0038,"TICOVAC 0,5 mL",False,CIP-3400927841705,"TICOVAC 0,5 mL",True,1,6
VAC0038,"TICOVAC 0,5 mL",False,CIP-3400927841873,"TICOVAC 0,5 mL",True,1,6
VAC0038,"TICOVAC 0,5 mL",False,CIP-3400936467606,"TICOVAC 0,5 mL",True,1,6
VAC0038,"TICOVAC 0,5 mL",False,CIP-3400936467835,"TICOVAC 0,5 mL",True,1,6
VAC0038,"TICOVAC 0,5 mL",False,CIP-3400936468085,"TICOVAC 0,5 mL",True,1,6
VAC0038,"TICOVAC 0,5 mL",False,CIP-3400936774766,"TICOVAC 0,5 mL",True,1,6
VAC0039,"TICOVAC 0,25 mL",False,CIP-3400936774827,"TICOVAC 0,25 mL",True,1,11
VAC0039,"TICOVAC 0,25 mL",False,CIP-3400936774995,"TICOVAC 0,25 mL",True,1,11
VAC0039,"TICOVAC 0,25 mL",False,CIP-3400936775077,"TICOVAC 0,25 mL",True,1,11
VAC0039,"TICOVAC 0,25 mL",False,CIP-3400936775138,"TICOVAC 0,25 mL",True,1,11
VAC0039,"TICOVAC 0,25 mL",False,CIP-3400936775367,"TICOVAC 0,25 mL",True,1,11
VAC0039,"TICOVAC 0,25 mL",False,CIP-3400936775428,"TICOVAC 0,25 mL",True,1,11
VAC0039,"TICOVAC 0,25 mL",False,CIP-3400936775596,"TICOVAC 0,25 mL",True,1,11
VAC0039,"TICOVAC 0,25 mL",False,CIP-3400936775657,"TICOVAC 0,25 mL",True,1,11
VAC0039,"TICOVAC 0,25 mL",False,CIP-3400958909559,"TICOVAC 0,25 mL",True,1,11
VAC0039,"TICOVAC 0,25 mL",False,CIP-3400958909610,"TICOVAC 0,25 mL",True,1,11
VAC0039,"TICOVAC 0,25 mL",False,CIP-3400958909788,"TICOVAC 0,25 mL",True,1,11
VAC0040,TYAVAX,False,CIP-3400936077836,TYAVAX,True,1,4
VAC0040,TYAVAX,False,CIP-3400936078086,TYAVAX,True,1,4
VAC0040,TYAVAX,False,CIP-3400936078147,TYAVAX,True,1,4
VAC0040,TYAVAX,False,CIP-3400936078208,TYAVAX,True,1,4
VAC0041,TYPHIM VI,False,CIP-3400922132372,TYPHIM VI,True,1,9
VAC0041,TYPHIM VI,False,CIP-3400933150693,TYPHIM VI,True,1,9
VAC0041,TYPHIM VI,False,CIP-3400933150754,TYPHIM VI,True,1,9
VAC0041,TYPHIM VI,False,CIP-3400933150815,TYPHIM VI,True,1,9
VAC0041,TYPHIM VI,False,CIP-3400933220693,TYPHIM VI,True,1,9
VAC0041,TYPHIM VI,False,CIP-3400933984113,TYPHIM VI,True,1,9
VAC0041,TYPHIM VI,False,CIP-3400936992887,TYPHIM VI,True,1,9
VAC0041,TYPHIM VI,False,CIP-3400936992948,TYPHIM VI,True,1,9
VAC0041,TYPHIM VI,False,CIP-3400936993020,TYPHIM VI,True,1,9
VAC0042,VACCIN BCG SSI,False,,,,,
VAC0043,BOOSTRIXTETRA,False,CIP-3400936773646,BOOSTRIXTETRA,True,1,6
VAC0043,BOOSTRIXTETRA,False,CIP-3400936773707,BOOSTRIXTETRA,True,1,6
VAC0043,BOOSTRIXTETRA,False,CIP-3400936773875,BOOSTRIXTETRA,True,1,6
VAC0043,BOOSTRIXTETRA,False,CIP-3400936773936,BOOSTRIXTETRA,True,1,6
VAC0043,BOOSTRIXTETRA,False,CIP-3400936774018,BOOSTRIXTETRA,True,1,6
VAC0043,BOOSTRIXTETRA,False,CIP-3400936774186,BOOSTRIXTETRA,True,1,6
VAC0044,CERVARIX,False,CIP-3400938163926,CERVARIX,True,1,10
VAC0044,CERVARIX,False,CIP-3400938164237,CERVARIX,True,1,10
VAC0044,CERVARIX,False,CIP-3400938165128,CERVARIX,True,1,10
VAC0044,CERVARIX,False,CIP-3400938165296,CERVARIX,True,1,10
VAC0044,CERVARIX,False,CIP-3400949500543,CERVARIX,True,1,10
VAC0044,CERVARIX,False,CIP-3400957136383,CERVARIX,True,1,10
VAC0044,CERVARIX,False,CIP-3400957136444,CERVARIX,True,1,10
VAC0044,CERVARIX,False,CIP-3400957136673,CERVARIX,True,1,10
VAC0044,CERVARIX,False,CIP-3400957136963,CERVARIX,True,1,10
VAC0044,CERVARIX,False,CIP-3400957137045,CERVARIX,True,1,10
VAC0045,ENGERIX B 10 µg,False,CIP-3400930071649,ENGERIX B 10 µg,True,1,9
VAC0045,ENGERIX B 10 µg,False,CIP-3400930071656,ENGERIX B 10 µg,True,1,9
VAC0045,ENGERIX B 10 µg,False,CIP-3400930071663,ENGERIX B 10 µg,True,1,9
VAC0045,ENGERIX B 10 µg,False,CIP-3400933817350,ENGERIX B 10 µg,True,1,9
VAC0045,ENGERIX B 10 µg,False,CIP-3400935167095,ENGERIX B 10 µg,True,1,9
VAC0045,ENGERIX B 10 µg,False,CIP-3400935463432,ENGERIX B 10 µg,True,1,9
VAC0045,ENGERIX B 10 µg,False,CIP-3400955871453,ENGERIX B 10 µg,True,1,9
VAC0045,ENGERIX B 10 µg,False,CIP-3400956206643,ENGERIX B 10 µg,True,1,9
VAC0045,ENGERIX B 10 µg,False,CIP-3400956210084,ENGERIX B 10 µg,True,1,9
VAC0046,ENGERIX B 20 µg,False,CIP-3400930071601,ENGERIX B 20 µg,True,1,8
VAC0046,ENGERIX B 20 µg,False,CIP-3400930071625,ENGERIX B 20 µg,True,1,8
VAC0046,ENGERIX B 20 µg,False,CIP-3400930071632,ENGERIX B 20 µg,True,1,8
VAC0046,ENGERIX B 20 µg,False,CIP-3400933115456,ENGERIX B 20 µg,True,1,8
VAC0046,ENGERIX B 20 µg,False,CIP-3400935166906,ENGERIX B 20 µg,True,1,8
VAC0046,ENGERIX B 20 µg,False,CIP-3400935463661,ENGERIX B 20 µg,True,1,8
VAC0046,ENGERIX B 20 µg,False,CIP-3400956206582,ENGERIX B 20 µg,True,1,8
VAC0046,ENGERIX B 20 µg,False,CIP-3400956210145,ENGERIX B 20 µg,True,1,8
VAC0047,FLUARIX,False,CIP-3400930007747,FLUARIX,True,1,10
VAC0047,FLUARIX,False,CIP-3400930007754,FLUARIX,True,1,10
VAC0047,FLUARIX,False,CIP-3400930007761,FLUARIX,True,1,10
VAC0047,FLUARIX,False,CIP-3400930007778,FLUARIX,True,1,10
VAC0047,FLUARIX,False,CIP-3400930311721,FLUARIX,True,1,10
VAC0047,FLUARIX,False,CIP-3400930311738,FLUARIX,True,1,10
VAC0047,FLUARIX,False,CIP-3400930311745,FLUARIX,True,1,10
VAC0047,FLUARIX,False,CIP-3400930311752,FLUARIX,True,1,10
VAC0047,FLUARIX,False,CIP-3400934129735,FLUARIX,True,1,10
VAC0047,FLUARIX,False,CIP-3400934129964,FLUARIX,True,1,10
VAC0048,GENHEVAC B PASTEUR,False,CIP-3400933050368,GENHEVAC B PASTEUR,True,1,6
VAC0048,GENHEVAC B PASTEUR,False,CIP-3400933050429,GENHEVAC B PASTEUR,True,1,6
VAC0048,GENHEVAC B PASTEUR,False,CIP-3400955626428,GENHEVAC B PASTEUR,True,1,6
VAC0048,GENHEVAC B PASTEUR,False,CIP-3400955626596,GENHEVAC B PASTEUR,True,1,6
VAC0048,GENHEVAC B PASTEUR,False,CIP-3400955626657,GENHEVAC B PASTEUR,True,1,6
VAC0048,GENHEVAC B PASTEUR,False,CIP-3400955626718,GENHEVAC B PASTEUR,True,1,6
