CVC;NUVA;Label
CVC-68208009;VAC0920;Diphtheria-tetanus Td vaccine, unspecified
CVC-37881000087105;VAC0786;PREVNAR 20
CVC-20871000087109;VAC0523;GARDASIL 9
CVC-29061000087103;VAC1042;COVID-19 vaccine, non-replicating viral vector, unspecified
CVC-7821000087102;VAC0828;Rotavirus pentavalent vaccine, unspecified
CVC-7611000087106;VAC0140;INTANZA
CVC-7801000087108;VAC0859;HPV vaccine quadrivalent, unspecified
CVC-20641000087100;VAC0792;Diphtheria-Tetanus-Pertussis-Polio-Hepatitis B pentavalent vaccine, unspecified
CVC-28961000087105;VAC0752;COVISHIELD
CVC-37311000087109;VAC1017;SPIKEVAX BIVALENT ORIGINAL/OMICRON BA.1 (50 µg/50 µg)/mL MULTIDOSE MODERNA
CVC-125714002;VAC0324;Pneumococcal conjugate vaccine, 7 valent, unspecified
CVC-51301000087102;VAC1040;AREXVY
CVC-7791000087109;VAC0858;HPV vaccine bivalent, unspecified
CVC-29171000087106;VAC0667;NUVAXOVID
CVC-7191000087105;VAC0514;ROTARIX
CVC-6911000087104;VAC0046;ENGERIX B 20 µg
CVC-7481000087104;VAC0639;ADACEL POLIO
CVC-7131000087109;VAC0103;MENACTRA
CVC-7381000087106;VAC0259;IMOVAX Rabies
CVC-28491000087107;VAC0595;FLUCELVAX TETRA
CVC-7201000087107;VAC0031;ROTATEQ
CVC-30151000087105;VAC0678;Medicago-VLP-Covid
CVC-19331000087104;VAC1097;CYTOGAM
CVC-31431000087100;VAC0652;CONVIDECIA
CVC-7881000087101;VAC0551;DTaPIPV vaccine, standard dose, unspecified
CVC-7351000087103;VAC0007;GARDASIL
CVC-7711000087103;VAC0865;Polysaccharide meningococcal A vaccine, unspecified
CVC-77048008;VAC0867;Diphtheria antitoxin, unspecified
CVC-6851000087107;VAC0003;AVAXIM 160 U
CVC-7001000087102;VAC0147;Influenza A(H1N1)2009 vaccine, unspecified
CVC-33201000087108;VAC0657;SINOPHARM WUHAN COVID-19 VACCINE
CVC-9821000087106;VAC0072;JE-VAX
CVC-31301000087101;VAC0680;COVILO SINOPHARM COVID-19 VACCINE
CVC-21671000087103;VAC0495;BEXSERO
CVC-19441000087102;VAC0174;PROQUAD
CVC-7561000087109;VAC0062;VAXIGRIP
CVC-33841000087107;VAC1087;HYPERTET
CVC-8781000087106;VAC0916;Hepatitis B vaccine, monovalent, dialysis patient dosage, unspecified
CVC-19431000087108;VAC1104;DIPHTHERIA ANTITOXIN B.P.
CVC-9831000087108;VAC0914;Hepatitis B vaccine, monovalent, pediatric dose, unspecified
CVC-33451000087108;VAC0684;QAZVAC
CVC-359068008;VAC0150;Meningococcal conjugate vaccine C, unspecified
CVC-7231000087104;VAC0060;VARILRIX
CVC-7321000087105;VAC0451;VIVOTIF
CVC-33211000087105;VAC0665;COVAXIN BHARAT BIOTECH COVID-19 VACCINE
CVC-407737004;VAC0906;Shingles vaccine, unspecified
CVC-1157024006;VAC1044;COVID-19 vaccine, whole virion inactivated, unspecified
CVC-9801000087100;VAC0653;Hepatitis A + Hepatitis B vaccine Child, unspecified
CVC-7151000087100;VAC0073;IXIARO
CVC-28611000087103;VAC0562;INFLUVAC TETRA
CVC-7751000087104;VAC0380;T.Polio, unspecified
CVC-409269001;VAC0822;Influenza vaccine, live attenuated, unspecified
CVC-7441000087109;VAC0541;BOOSTRIX
CVC-7951000087102;VAC1089;HYPERHEP B
CVC-6891000087102;VAC0165;VAQTA 25 U/0,5 mL
CVC-22691000087106;VAC0490;KINRIX
CVC-28761000087108;VAC0650;VAXZEVRIA ASTRAZENECA
CVC-7071000087107;VAC0534;MENJUGATE 10 µg
CVC-20811000087102;VAC0991;FLULAVAL QUADRIVALENT
CVC-7091000087106;VAC0151;Meningococcal A + C vaccine, unspecified
CVC-333699008;VAC0145;Tick-borne encephalitis vaccine, unspecified
CVC-19291000087108;VAC1098;XANAFLU
CVC-28721000087103;VAC0404;TRIPACEL
CVC-23711000087101;VAC0180;ACTACEL
CVC-47591000087109;VAC1025;CORBEVAX
CVC-23011000087103;VAC0567;SHINGRIX
CVC-7431000087103;VAC0182;ADACEL
CVC-7681000087102;VAC0123;PREVENAR 13
CVC-7651000087105;VAC0341;PREVNAR
CVC-7251000087108;VAC0339;Pneumococcal polysaccharide vaccine 23-valent, unspecified
CVC-333598008;VAC0157;Pneumococcal vaccine, unspecified
CVC-61602008;VAC0796;Pertussis vaccine, unspecified
CVC-7901000087103;VAC0088;DTIPV vaccine, unspecified
CVC-7461000087105;VAC0569;INFANRIX-IPV
CVC-7941000087100;VAC1093;HEPAGAM
CVC-33441000087105;VAC0679;MEDIGEN-S-2P-CpH1018-COVID
CVC-7011000087100;VAC0080;BCG PASTEUR
CVC-7171000087106;VAC0053;PRIORIX
CVC-6861000087105;VAC0115;AVAXIM 80 U PEDIATRIQUE
CVC-7571000087100;VAC0233;FLUMIST
CVC-125688000;VAC0270;Inactivated Polio vaccine, unspecified
CVC-7921000087109;VAC0137;DT vaccine, unspecified
CVC-7781000087107;VAC0795;Acellular pertussis vaccine, unspecified
CVC-8241000087109;VAC0810;Meningococcal polyvalent polysaccharide vaccine, unspecified
CVC-7401000087106;VAC0005;DUKORAL
CVC-45411000087107;VAC0586;ERVEBO
CVC-89428009;VAC0112;Typhoid vaccine, unspecified
CVC-7081000087109;VAC0850;NEISVAC-C
CVC-426971004;VAC0801;HepB-Hib, unspecified
CVC-8651000087109;VAC0236;FLUZONE HIGH-DOSE
CVC-33431000087104;VAC0696;KCONVAC MINHAI COVID-19 VACCINE
CVC-9851000087104;VAC0227;EPAXAL
CVC-34611000087105;VAC0833;COMIRNATY 10 µg BIONTECH-PFIZER
CVC-785864002;VAC0811;Meningococcal B vaccine, unspecified
CVC-9778000;VAC1062;CMV immune globulin
CVC-20691000087107;VAC0706;FLUZONE QUADRIVALENT
CVC-20851000087103;VAC0487;MENHIBRIX
CVC-9841000087102;VAC0125;AREPANRIX
CVC-55351000087104;VAC1047;ABRYSVO
CVC-6971000087106;VAC0058;TWINRIX 10 µg
CVC-23691000087103;VAC0878;TRITANRIX
CVC-428214002;VAC0655;Diphtheria vaccine, unspecified
CVC-7581000087103;VAC0573;AGRIFLU
CVC-33461000087106;VAC0940;SPUTNIK-LIGHT
CVC-23721000087109;VAC0037;TETRAVAC-ACELLULAIRE
CVC-6951000087100;VAC0356;RECOMBIVAX HB PÉDIATRIQUE
CVC-7241000087105;VAC0061;VARIVAX
CVC-448964007;VAC0997;Pneumococcal 13-valent conjugate vaccine, unspecified
CVC-418268006;VAC0134;BCG vaccine, unspecified
CVC-33391000087109;VAC0718;CIGB-66
CVC-33421000087101;VAC0683;EpiVacCorona
CVC-7391000087108;VAC0355;RABAVERT
CVC-38591000087106;VAC1036;SPIKEVAX BIVALENT ORIGINAL/OMICRON BA.4-5 25 µg/25 µg MODERNA
CVC-34591000087100;VAC1026;SOBERANA 02 FINLAY-FR-2 COVID-19 VACCINE
CVC-7541000087108;VAC0576;FLUVIRAL
CVC-6921000087107;VAC0045;ENGERIX B 10 µg
CVC-1003499009;VAC0084;H5N1 pre-pandemic influenza vaccine, unspecified
CVC-33234009;VAC0133;Smallpox vaccine, unspecified
CVC-423531006;VAC0945;Meningococcal vaccine serogroup unknown, unspecified
CVC-56051000087108;VAC0594;MENQUADFI
CVC-21781000087106;VAC0486;NIMENRIX
CVC-7491000087102;VAC0568;BOOSTRIX-POLIO
CVC-7051000087101;VAC0326;PEDVAXHIB
CVC-346639000;VAC0713;Typhoid polysaccharide vaccine, unspecified
CVC-37871000087108;VAC1021;COMIRNATY ORIGINAL/OMICRON BA.1 (15/15 µg) BIONTECH-PFIZER
CVC-6881000087104;VAC0050;HAVRIX 720 U/0,5 mL
CVC-8771000087109;VAC0915;Hepatitis B vaccine, monovalent, adult dose, unspecified
CVC-116083002;VAC1073;Lyme disease vaccine, unspecified
CVC-7311000087102;VAC0041;TYPHIM VI
CVC-7631000087101;VAC0024;PNEUMO 23
CVC-26571000087105;VAC0995;IMVAMUNE
CVC-6901000087101;VAC0166;VAQTA 50 U
CVC-24371000087105;VAC0654;Hepatitis A + Hepatitis B vaccine Adult, unspecified
CVC-7831000087100;VAC0601;DPT Diphtheria-Pertussis-Tetanus vaccine, unspecified
CVC-7121000087107;VAC0643;Meningococcal ACWY conjugate vaccine, unspecified
CVC-7421000087100;VAC0577;TRIPACEL HYBRID
CVC-7841000087106;VAC0602;DTaP - Diphtheria-Tetanus-Pertussis vaccine, standard dose, unspecified
CVC-8221000087100;VAC0506;Pentavalent DTaPHibIPV vaccine, unspecified
CVC-7161000087102;VAC0286;M-M-R II
CVC-6871000087101;VAC0049;HAVRIX 1440 U/1mL
CVC-7971000087108;VAC0498;IMOGAM RAGE
CVC-333680004;VAC0143;Haemophilus influenzae B (or Hib) vaccine, unspecified
CVC-407746005;VAC0160;Live attenuated shingles vaccine, unspecified
CVC-28571000087109;VAC0656;SPIKEVAX 0,2 mg/mL MODERNA
CVC-7911000087101;VAC0549;dTIPV - Diphtheria-Tetanus-Polio, low dose, unspecified
CVC-333707007;VAC0712;Typhoid-hepatitis A vaccine, unspecified
CVC-7891000087104;VAC0585;TdapIPV - Diphtheria-Tetanus-Pertussis-Polio vaccine, low dose, unspecified
CVC-108725001;VAC0923;Respiratory Syncytial Virus monoclonal antibody, unspecified
CVC-7211000087109;VAC0575;FSME-IMMUN
CVC-7451000087107;VAC0014;INFANRIX HEXA
CVC-7141000087103;VAC0141;MENVEO
CVC-7531000087102;VAC0574;Td POLIO ADSORBED
CVC-7621000087103;VAC0016;INFLUVAC
CVC-34921000087108;VAC0837;COVOVAX SII
CVC-24381000087107;VAC0992;AFLURIA QUADRIVALENT
CVC-7031000087105;VAC0001;ACT-HIB
CVC-7851000087109;VAC0610;Tdap - Diphtheria-Tetanus-Pertussis vaccine, low dose, unspecified
CVC-31311000087104;VAC0651;CORONAVAC COVID-19 VACCINE
CVC-7691000087100;VAC0925;Trivalent inactivated influenza vaccine, unspecified
CVC-419550004;VAC0827;MMRV - Measles-Mumps-Rubella-Varicella vaccine, unspecified
CVC-7991000087107;VAC1091;VARIZIG
CVC-7041000087104;VAC0570;HIBERIX
CVC-33221000087102;VAC0676;CUREVAC-RNA-COVID
CVC-34631000087100;VAC0200;BIOTHRAX
CVC-6961000087102;VAC0423;TWINRIX JUNIOR
CVC-56844000;VAC0111;Yellow fever vaccine, unspecified
CVC-7111000087104;VAC0295;MENOMUNE-A/C/Y/W-135
CVC-7371000087109;VAC0993;TD ADSORBED
CVC-31571000087102;VAC0642;FLUZONE HIGH-DOSE QUADRIVALENT
CVC-7361000087100;VAC0013;IMOVAX POLIO
CVC-1119349007;VAC1041;COVID-19 mRNA vaccine, unspecified
CVC-86080005;VAC0909;Botulinum antitoxin
CVC-35661000087108;VAC0871;SUPEMTEK
CVC-62294009;VAC0864;Varicella-Zoster immunoglobulin, unspecified
CVC-7641000087107;VAC0336;PNEUMOVAX
CVC-90043005;VAC0153;Mumps vaccine, unspecified
CVC-23031000087108;VAC0582;TRUMENBA
CVC-23771000087108;VAC0209;COMVAX
CVC-37891000087107;VAC0780;VAXNEUVANCE
CVC-34689006;VAC0101;Hepatitis B vaccine, recombinant, unspecified
CVC-7501000087105;VAC0015;INFANRIXQUINTA
CVC-61153008;VAC0130;MMR vaccine, live attenuated, unspecified
CVC-7181000087108;VAC0121;PRIORIX-TETRA
CVC-7871000087103;VAC0138;Diphtheria-Tetanus-Pertussis-Polio vaccine, unspecified
CVC-111164008;VAC0135;Polio vaccine, unspecified
CVC-20841000087101;VAC0325;PEDIARIX
CVC-37651000087101;VAC1024;SPIKEVAX BIVALENT ORIGINAL/OMICRON BA.4-5 (50 µg/50 µg)/mL MODERNA
CVC-20591000087106;VAC0596;DTaPHibHepB pentavalent vaccine, unspecified
CVC-7591000087101;VAC0230;FLUAD
CVC-7331000087107;VAC0591;VIVAXIM
CVC-20861000087100;VAC0860;HPV vaccine nonavalent, unspecified
CVC-45391000087107;VAC0685;VIDPREVTYN BETA
CVC-333521006;VAC0804;Anthrax vaccine, unspecified
CVC-28591000087108;VAC0705;INFLUSPLIT TETRA
CVC-125690004;VAC0802;Monovalent oral polio vaccine - type unknown, unspecified
CVC-7731000087108;VAC0552;Hexavalent vaccine DTPCaHibHepB - Diphtheria-Tetanus-Polio-Acellular Pertussis-Hib-HepB, unspecified
CVC-9811000087103;VAC0911;Hepatitis A whole inactivated vaccine, monovalent, pediatric dose, unspecified
CVC-7511000087107;VAC0328;PENTACEL
CVC-80834004;VAC0358;Rabies immunoglobulin human origin, unspecified
CVC-33581000087104;VAC0927;COVID-19 mRNA vaccine, paediatric dose, unspecified
CVC-7301000087104;VAC0059;TYPHERIX
CVC-31551000087108;VAC1088;HYPERRAB
CVC-7671000087104;VAC0083;SYNFLORIX
CVC-2068100007105;VAC0808;Hib-MenCY, unspecified
CVC-7061000087103;VAC0019;MENINGITEC
CVC-8211000087108;VAC0856;DTaPHib vaccine, unspecified
