INFARMED;NUVA;Label
INFARMED-5055173;VAC0044;CERVARIX
INFARMED-3093184;VAC0578;INFANRIX-HIB
INFARMED-5113550;VAC0007;GARDASIL
INFARMED-8671958;VAC0045;ENGERIX B 10 µg
INFARMED-5686928;VAC0560;VAXIGRIPTETRA
INFARMED-5890538;VAC1333;COMIRNATY KP.2 10 µg
INFARMED-5846472;VAC1036;SPIKEVAX BIVALENT ORIGINAL/OMICRON BA.4-5 25 µg/25 µg MODERNA
INFARMED-5826334;VAC0833;COMIRNATY 10 µg BIONTECH-PFIZER
INFARMED-5836671;VAC0517;FLUARIXTETRA
INFARMED-5177746;VAC0009;HBVAXPRO 10 µg
INFARMED-3400280;VAC0330;PENTACT-HIB
INFARMED-3125580;VAC0227;EPAXAL
INFARMED-2861581;VAC0400;TRIACELLUVAX
INFARMED-5039466;VAC0474;DARONRIX
INFARMED-5253380;VAC0480;FENDRIX
INFARMED-3089281;VAC0987;TANRIX
INFARMED-5827951;VAC0594;MENQUADFI
INFARMED-5745849;VAC0567;SHINGRIX
INFARMED-5816079;VAC0521;FLUENZ TETRA
INFARMED-5251202;VAC0123;PREVENAR 13
INFARMED-5118146;VAC0108;PANDEMRIX
INFARMED-8829911;VAC0216;ANATOXAL DI TE
INFARMED-5740881;VAC0230;FLUAD
INFARMED-3475886;VAC0063;TETRACOQ
INFARMED-5053129;VAC0169;OPTAFLU
INFARMED-8593517;VAC0956;VACCINO COLERICO BERNA
INFARMED-5903471;VAC1254;CAPVAXIVE
INFARMED-8596403;VAC0060;VARILRIX
INFARMED-8560409;VAC0236;FLUZONE HIGH-DOSE
INFARMED-5151816;VAC0473;PRE-PANDEMIC INFLUENZA VACCINE H5N1
INFARMED-5459789;VAC0029;REPEVAX
INFARMED-5609441;VAC0575;FSME-IMMUN
INFARMED-5890520;VAC1334;COMIRNATY KP.2 30 µg
INFARMED-5045851;VAC0109;FOCETRIA (unidose)
INFARMED-5726237;VAC0562;INFLUVAC TETRA
INFARMED-8715524;VAC0416;TRIVIRATEN
INFARMED-5908520;VAC1338;ZOONOTIC
INFARMED-5187471;VAC0140;INTANZA
INFARMED-8794107;VAC0032;ROUVAX
INFARMED-2481182;VAC0337;PNU-IMUNE 23
INFARMED-5617980;VAC0554;PEDIACEL
INFARMED-8584482;VAC0371;POLIO SABIN GSK
INFARMED-3399581;VAC0541;BOOSTRIX
INFARMED-8578302;VAC0126;HEVAC B
INFARMED-5658828;VAC0523;GARDASIL 9
INFARMED-5271184;VAC0568;BOOSTRIX-POLIO
INFARMED-5839840;VAC0714;VACCIN CONTRE LA COVID-19 (INACTIVE, AVEC ADJUVANT) VALNEVA
INFARMED-5858428;VAC1060;SPIKEVAX XBB.1.5 50 µg MODERNA
INFARMED-5571914;VAC0570;HIBERIX
INFARMED-5368485;VAC0774;FSME-IMMUN 0,25 mL
INFARMED-5884671;VAC1260;COMIRNATY JN.1 3 µg
INFARMED-2419687;VAC0326;PEDVAXHIB
INFARMED-8765446;VAC0035;STAMARIL
INFARMED-5798921;VAC0535;VAXELIS
INFARMED-5824875;VAC0658;COMIRNATY 30 µg BIONTECH-PFIZER
INFARMED-5376215;VAC0477;PUMARIX
INFARMED-5795471;VAC0649;EFLUELDA QIV-HD
INFARMED-4015285;VAC0168;AMBIRIX
INFARMED-3890985;VAC0525;INFANRIX PENTA
INFARMED-2894889;VAC0059;TYPHERIX
INFARMED-5861471;VAC1047;ABRYSVO
INFARMED-5798236;VAC0633;ZABDENO
INFARMED-5859053;VAC1040;AREXVY
INFARMED-5187463;VAC0164;INTANZA 9 µg
INFARMED-3396983;VAC0098;HEXAVAC
INFARMED-5850243;VAC0644;QDENGA
INFARMED-5808027;VAC0650;VAXZEVRIA ASTRAZENECA
INFARMED-5976584;VAC0161;ZOSTAVAX
INFARMED-5679725;VAC0479;TRIAXIS
INFARMED-5002605;VAC0175;A.D.T. BOOSTER
INFARMED-5884630;VAC1258;COMIRNATY JN.1 30 µg
INFARMED-5626957;VAC0166;VAQTA 50 U
INFARMED-5890546;VAC1332;COMIRNATY KP.2 3 µg
INFARMED-5643945;VAC0534;MENJUGATE 10 µg
INFARMED-5380415;VAC0635;PREFLUCEL
INFARMED-5828249;VAC0780;VAXNEUVANCE
INFARMED-5827969;VAC0667;NUVAXOVID
INFARMED-5846464;VAC1022;COMIRNATY 3 µg 6 MOIS-4 ANS BIONTECH-PFIZER
INFARMED-4143681;VAC0960;VIATIM
INFARMED-5840012;VAC0510;HEXYON
INFARMED-5814504;VAC0666;JCOVDEN
INFARMED-5006150;VAC0041;TYPHIM VI
INFARMED-2538882;VAC0003;AVAXIM 160 U
INFARMED-3092780;VAC0390;TETRACT-HIB
INFARMED-5797204;VAC0778;VAXCHORA
INFARMED-4020087;VAC0301;MMR
INFARMED-5844949;VAC1032;SPIKEVAX BIVALENT ORIGINAL/OMICRON BA.1 (25 µg/25 µg) MODERNA
INFARMED-2858082;VAC1045;INFANRIX-IPV/HIB
INFARMED-5894555;VAC0062;VAXIGRIP
INFARMED-4862280;VAC0850;NEISVAC-C
INFARMED-5891080;VAC0017;M-M-RVAXPRO
INFARMED-5460183;VAC0030;REVAXIS
INFARMED-5798228;VAC0634;MVABEA
INFARMED-2919488;VAC0953;PROCOMVAX
INFARMED-5805965;VAC1019;SPIKEVAX 0,1 mg/mL MODERNA
INFARMED-5885785;VAC0031;ROTATEQ
INFARMED-8830125;VAC0383;ANATOXAL TE
INFARMED-5458781;VAC0037;TETRAVAC-ACELLULAIRE
INFARMED-3222585;VAC0013;IMOVAX POLIO
INFARMED-5113626;VAC0511;SILGARD
INFARMED-2374189;VAC0731;DITANRIX
INFARMED-5884655;VAC1259;COMIRNATY JN.1 10 µg
INFARMED-5862768;VAC1051;PFIZER COMIRNATY-30 XBB.1.5
INFARMED-5552070;VAC0495;BEXSERO
INFARMED-5848965;VAC1033;COMIRNATY ORIGINAL/OMICRON BA.4-5 (5/5 µg) BIONTECH-PFIZER
