NUVA,label,comment,abstract
VAC['0031'],ROTATEQ,"Live attenuated pentavalent rotavirus vaccine, oral",False
VAC['0032'],ROUVAX,Live attenuated measles vaccine,False
VAC['0033'],RUDIVAX,Live attenuated rubella vaccine,False
VAC['0034'],SPIROLEPT,Inactivated whole-cell leptospirosis vaccine,False
VAC['0035'],STAMARIL,Live attenuated yellow fever vaccine,False
VAC['0036'],TETAGRIP,"Trivalent inactivated seasonal influenza, split virion and tetanus toxoid vaccine",False
VAC['0037'],TETRAVAC-ACELLULAIRE,"Diphtheria toxoid (standard dose), tetanus toxoid, pertussis (multicomponent acellular, standard dose) and inactivated polio (trivalent) pediatric vaccine",False
VAC['0038'],"TICOVAC 0,5 mL","Tick-borne encephalitis vaccine, whole-virus inactivated, Neudörfl strain, adult dose",False
VAC['0039'],"TICOVAC 0,25 mL","Tick-borne encephalitis vaccine, whole-virus inactivated, pediatric dose",False
VAC['0040'],TYAVAX,"Hepatitis A (inactivated, adsorbed) and typhoid vaccine (polysaccharide)",False
VAC['0041'],TYPHIM VI,Polysaccharide typhoid vaccine (Vi capsular antigen),False
VAC['0042'],VACCIN BCG SSI,Tuberculosis vaccine,False
VAC['0043'],BOOSTRIXTETRA,"Diphtheria toxoid (low dose), tetanus toxoid, pertussis (multicomponent acellular, 5 components, low dose) and inactivated polio (trivalent) vaccine, adsorbed",False
VAC['0044'],CERVARIX,"Human Papillomavirus vaccine, based on VLP (Virus Like Particles), bivalent (types 16 and 18), recombinant, adsorbed",False
VAC['0045'],ENGERIX B 10 µg,"Hepatitis B recombinant vaccine, pediatric dose",False
VAC['0046'],ENGERIX B 20 µg,"Recombinant hepatitis B vaccine, adult dose",False
VAC['0047'],FLUARIX,"Trivalent inactivated seasonal influenza vaccine, split virion",False
VAC['0048'],GENHEVAC B PASTEUR,"Recombinant hepatitis B vaccine, HBsAg 20 µg, children and adult dose",False
VAC['0049'],HAVRIX 1440 U/1mL,"Inactivated hepatitis A vaccine, adult dose",False
VAC['0050'],"HAVRIX 720 U/0,5 mL","Inactivated hepatitis A vaccine, pediatric dose",False
VAC['0051'],INFANRIXTETRA,"Diphtheria toxoid (standard dose), tetanus toxoid, pertussis (multicomponent acellular, standard dose) and inactivated polio (trivalent) pediatric vaccine",False
VAC['0052'],VACCIN MENINGOCOCCIQUE A+C,"Unconjugated meningococcal polysaccharide vaccine, serogroups A and C",False
VAC['0053'],PRIORIX,"Live attenuated measles, mumps and rubella vaccine",False
VAC['0054'],VACCIN RABIQUE PASTEUR,"Whole virion inactivated rabies vaccine, Wistar virus strain PM1503-3M, cultured on Vero cells",False
VAC['0056'],VACCIN TETANIQUE PASTEUR,Tetanus toxoid vaccine,False
VAC['0057'],TWINRIX 20 µg,"Combined hepatitis A and B vaccine, adult dose",False
VAC['0058'],TWINRIX 10 µg,"Combined hepatitis A and B vaccine, pediatric dose",False
VAC['0059'],TYPHERIX,Polysaccharide typhoid vaccine (Vi capsular antigen),False
VAC['0060'],VARILRIX,Live attenuated chickenpox vaccine,False
VAC['0061'],VARIVAX,Live attenuated chickenpox vaccine,False
VAC['0062'],VAXIGRIP,"Trivalent inactivated seasonal influenza vaccine, split virion",False
VAC['0063'],TETRACOQ,"Diphtheria toxoid (standard dose), tetanus toxoid, pertussis (whole-cell inactivated) and inactivated polio (trivalent) pediatric vaccine",False
VAC['0064'],PENTACOQ,"Diphtheria toxoid (standard dose), tetanus toxoid, pertussis (whole-cell inactivated), Haemophilus influenzae type b (conjugated to tetanus toxoid) and inactivated polio (trivalent) pediatric vaccine, adsorbed",False
VAC['0066'],DTCP PASTEUR,"Diphtheria toxoid (standard dose), tetanus toxoid, pertussis (multicomponent acellular, standard dose) and inactivated polio (trivalent) pediatric vaccine",False
VAC['0067'],HAVRIX 360 U,"Inactivated hepatitis A vaccine, pediatric dose",False
VAC['0068'],MONOVAX,Tuberculosis vaccine,False
VAC['0069'],MENOMUNE,"Unconjugated meningococcal polysaccharide vaccine, serogroups A, C, W and Y",False
VAC['0070'],DT BIS,Diphtheria toxoid (standard dose) and tetanus toxoid pediatric vaccine,False
VAC['0071'],D.T. BIS - RUDIVAX,"Diphtheria toxoid (standard dose), tetanus toxoid and Rubella (live attenuated) pediatric vaccine",False
VAC['0072'],JE-VAX,"Whole virion inactivated Japanese encephalitis vaccine, mouse brain-derived, Nakayama strain - Other names: JEVAX, BIKEN",False
VAC['0073'],IXIARO,"Whole virion inactivated Japanese encephalitis vaccine, Vero cell-derived, adsorbed",False
VAC['0074'],D.T. COQ MERIEUX,"Diphtheria toxoid (standard dose), tetanus toxoid and pertussis (whole-cell inactivated) pediatric vaccine",False
VAC['0076'],DTVax,Diphtheria toxoid (standard dose) and tetanus toxoid pediatric vaccine,False
VAC['0077'],IMOVAX OREILLONS,Live attenuated mumps vaccine,False
VAC['0078'],RUDI-ROUVAX,Live attenuated measles and rubella vaccine,False
VAC['0079'],ENCEPUR,"Tick-borne encephalitis vaccine, whole-virus inactivated, K23 strain",False
VAC['0080'],BCG PASTEUR,Tuberculosis vaccine,False
VAC['0082'],MENBVAC,"Meningococcal vaccine, serogroup B (outer membrane vesicle protein B:14:P1.7,16)",False
VAC['0083'],SYNFLORIX,"Pneumococcal polysaccharide conjugate vaccine, 10-valent, seroptypes 1, 4, 5, 6B, 7F, 9V, 14, 18C, 19F and 23F",False
VAC['0084'],"H5N1 pre-pandemic influenza vaccine, unspecified",Influenza A(H5N1) vaccine,True
VAC['0085'],T POLIO MERIEUX,Tetanus toxoid and inactivated polio (trivalent) vaccine,False
VAC['0086'],TETAVAX,Tetanus toxoid vaccine,False
VAC['0087'],VAXICOQ,Pertussis (whole-cell inactivated) vaccine,False
VAC['0088'],"DTIPV vaccine, unspecified","Diphtheria toxoid (standard dose), tetanus toxoid and inactivated polio (trivalent) pediatric vaccine",True
VAC['0090'],VACCIN BRUCELLIQUE P.I. à usage humain,Protein (P.I. antigen) brucellosis vaccine,False
VAC['0091'],VACCIN CCB PASTEUR,A combination of inactivated bacteria to stimulate the immune system. CCB = against bronchial complications. Not really a vaccine...,False
VAC['0092'],VACCIN CHOLERIQUE PASTEUR,Inactivated whole-cell cholera vaccine for injection,False
VAC['0093'],VACCIN DT TAB PASTEUR,"Diphtheria toxoid (standard dose), tetanus toxoid, typhoid (whole-cell inactivated) and paratyphoid A and B (whole-cell inactivated) pediatric vaccine",False
VAC['0094'],VACCIN SABIN POLIOVAC MERIEUX,"Polio vaccine (live attenuated, trivalent) against polioviruses 1, 2 and 3, oral",False
VAC['0095'],VACCIN TAB PASTEUR,"Typhoid and paratyphoid A and B vaccine, whole-cell inactivated",False
VAC['0096'],VACCIN GRIPPAL RONCHESE (VGR),"Trivalent inactivated seasonal influenza vaccine, split virion",False
VAC['0097'],VACCIN LEPTOSPIRES ICTEROHEMORRAGIAE PASTEUR,Inactivated whole-cell leptospirosis vaccine,False
VAC['0098'],HEXAVAC,"Diphtheria toxoid (standard dose), tetanus toxoid, pertussis (multicomponent acellular, standard dose), Haemophilus influenzae type b (conjugated to tetanus toxoid), inactivated polio (trivalent) and hepatitis B (recombinant) pediatric vaccine, adsorbed",False
VAC['0099'],MENINVACT,"Meningococcal conjugate vaccine, serogroup C (conjugated to CRM197 Protein)",False
VAC['0101'],"Hepatitis B vaccine, recombinant, unspecified","Recombinant Hepatitis B vaccine, unspecified dose",True
VAC['0102'],"Inactivated hepatitis A vaccine, unspecified","Inactivated hepatitis A vaccine, pediatric or adult dose",True
VAC['0103'],MENACTRA,"Quadrivalent meningococcal polysaccharide conjugate vaccine, serogroups A, C, W and Y (conjugated to diphteria toxoid)",False
VAC['0104'],HUMENZA,"Pandemic influenza A(H1N1)pdm09 vaccine, inactivated",False
VAC['0105'],PANENZA,"Pandemic influenza A(H1N1)pdm09 vaccine, inactivated",False
VAC['0106'],Q-Pan H1N1,"Pandemic influenza A(H1N1)pdm09 vaccine, inactivated",False
VAC['0107'],CELVAPAN,Whole-virion inactivated influenza A(H1N1)pdm09 pandemic vaccine,False
VAC['0108'],PANDEMRIX,"Pandemic influenza A(H1N1)pdm09 vaccine, inactivated",False
VAC['0109'],FOCETRIA (unidose),"Pandemic influenza A(H1N1)pdm09 vaccine, inactivated, egg-based, surface antigen, with adjuvant",False
VAC['0110'],"Influenza vaccine, unspecified",Seasonal influenza vaccine,True
VAC['0111'],"Yellow fever vaccine, unspecified",Live attenuated yellow fever vaccine,True
VAC['0112'],"Typhoid vaccine, unspecified","Typhoid vaccine, unspecified",True
VAC['0113'],"Rubella vaccine, live attenuated, unspecified","Vaccine rubella, live attenuated",True
VAC['0114'],"Live attenuated measles vaccine, unspecified",Live attenuated measles vaccine,True
VAC['0115'],AVAXIM 80 U PEDIATRIQUE,"Inactivated hepatitis A vaccine, pediatric dose",False
VAC['0116'],R.O.R SANOFI PASTEUR,"Live attenuated measles, mumps and rubella vaccine",False
VAC['0120'],VACCIN VARICELLE MERIEUX,Live attenuated chickenpox vaccine,False
VAC['0121'],PRIORIX-TETRA,"Live attenuated measles, mumps, rubella and chickenpox vaccine",False
VAC['0123'],PREVENAR 13,"Pneumococcal polysaccharide conjugate vaccine, 13-valent, adsorbed, serotypes 1, 3, 4 , 5, 6A, 6B, 7F, 9V, 14, 18C, 19A, 19F and 23F",False
VAC['0124'],FOCETRIA (multidose),"Pandemic influenza A(H1N1)pdm09 vaccine, inactivated, egg-based, surface antigen, with adjuvant",False
VAC['0125'],AREPANRIX,"Pandemic influenza A(H1N1)pdm09 vaccine, inactivated",False
VAC['0126'],HEVAC B,Plasma vaccine against hepatitis B (first French vaccine),False
VAC['0127'],HB VAX DNA 5 µg,"Recombinant hepatitis B vaccine, pediatric dose",False
VAC['0128'],HB VAX DNA 10 µg,"Recombinant hepatitis B vaccine with 10 micrograms of HBs antigen (although 10 µg, this vaccine is indicated from the age of 16)",False
VAC['0129'],HB VAX DNA 40 µg,"Recombinant hepatitis B vaccine, dialysis patient dosage",False
VAC['0130'],"MMR vaccine, live attenuated, unspecified","Live attenuated measles, mumps and rubella vaccine",True
VAC['0131'],"Rabies vaccine, unspecified",Whole virion inactivated rabies vaccine,True
VAC['0132'],"Tetanus vaccine, unspecified",Tetanus toxoid vaccine,True
VAC['0133'],"Smallpox vaccine, unspecified",Live attenuated smallpox vaccine,True
VAC['0134'],"BCG vaccine, unspecified",Tuberculosis vaccine,True
VAC['0135'],"Polio vaccine, unspecified","Polio vaccine, live or inactivated (unspecified)",True
VAC['0136'],"DTwP - Diphtheria-Tetanus-Pertussis, unspecified","Diphtheria toxoid (standard dose), tetanus toxoid and pertussis (whole-cell inactivated) pediatric vaccine",True
VAC['0137'],"DT vaccine, unspecified",Diphtheria toxoid (standard dose) and tetanus toxoid pediatric vaccine,True
VAC['0138'],"Diphtheria-Tetanus-Pertussis-Polio vaccine, unspecified","Diphtheria toxoid (unspecified dose), tetanus toxoid, pertussis (whole-cell inactivated or acellular, unspecified dose) and inactivated polio (trivalent) vaccine",True
VAC['0139'],PENT-HIBEST,"Diphtheria toxoid (standard dose), tetanus toxoid, pertussis (whole-cell inactivated), Haemophilus influenzae type b (conjugated to tetanus toxoid) and inactivated polio (trivalent) pediatric vaccine, adsorbed",False
VAC['0140'],INTANZA,"Trivalent inactivated seasonal influenza vaccine, split virion, intradermal",False
VAC['0141'],MENVEO,"Quadrivalent meningococcal polysaccharide conjugate vaccine, serogroups A, C, W and Y (conjugated to CRM197 Protein)",False
VAC['0143'],"Haemophilus influenzae B (or Hib) vaccine, unspecified",Haemophilus influenzae type b conjugate vaccine,True
VAC['0144'],"Cholera vaccine, unspecified","Cholera vaccine, unspecified",True
VAC['0145'],"Tick-borne encephalitis vaccine, unspecified","Tick-borne encephalitis vaccine, whole-virus inactivated, strain unspecified",True
VAC['0146'],"Live attenuated Japanese Encephalitis vaccine 14-14-2 strain, unspecified","Live attenuated Japanese encephalitis vaccine, 14-14-2 strain",True
VAC['0147'],"Influenza A(H1N1)2009 vaccine, unspecified","Pandemic influenza A(H1N1)pdm09 vaccine, inactivated",True
VAC['0148'],"Leptospirosis vaccine, unspecified",Inactivated whole-cell leptospirosis vaccine,True
VAC['0149'],"Meningococcal B:14:P1.7,16 vaccine, unspecified","Meningococcal vaccine, serogroup B (outer membrane vesicle protein B:14:P1.7,16)",True
VAC['0150'],"Meningococcal conjugate vaccine C, unspecified","Meningococcal polysaccharide conjugate vaccine, serogroup C",True
VAC['0151'],"Meningococcal A + C vaccine, unspecified","Unconjugated meningococcal polysaccharide vaccine, serogroups A and C",True
VAC['0152'],"Unconjugated meningococcal vaccine ACWY, unspecified","Unconjugated meningococcal polysaccharide vaccine, serogroups A, C, W and Y",True
VAC['0153'],"Mumps vaccine, unspecified",Live attenuated mumps vaccine,True
VAC['0154'],"Malaria vaccine, unspecified",Malaria vaccine (used in clinical trials),True
VAC['0155'],"Dengue vaccine, unspecified","Dengue vaccine, unspecified",True
VAC['0156'],HPV Vaccine,"Human Papillomavirus vaccine, unspecified",True
VAC['0157'],"Pneumococcal vaccine, unspecified","Pneumococcal conjugate or non conjugate polysaccharide vaccine, number of serotypes unspecified",True
VAC['0158'],"Rotavirus vaccine, unspecified",Rotavirus vaccine,True
VAC['0159'],"Chickenpox vaccine, unspecified",Live attenuated chickenpox vaccine,True
VAC['0160'],"Live attenuated shingles vaccine, unspecified",Live attenuated shingles vaccine,True
VAC['0161'],ZOSTAVAX,Live attenuated shingles vaccine,False
VAC['0162'],"Brucellosis vaccine, unspecified",Brucellosis vaccine,True
VAC['0163'],"Whole-cell inactivated pertussis vaccine, unspecified",Pertussis (whole-cell inactivated) vaccine,True
VAC['0164'],INTANZA 9 µg,"Trivalent inactivated seasonal influenza vaccine, split virion",False
VAC['0165'],"VAQTA 25 U/0,5 mL","Inactivated hepatitis A vaccine, pediatric dose",False
VAC['0166'],VAQTA 50 U,"Inactivated hepatitis A vaccine, adult dose",False
VAC['0168'],AMBIRIX,"Combined hepatitis A and B vaccine, pediatric dose",False
VAC['0169'],OPTAFLU,"Trivalent inactivated seasonal influenza vaccine, surface antigen, cell-cultured",False
VAC['0170'],AFLUNOV,"Influenza A(H5N1) vaccine (surface antigen, inactivated, adjuvanted)",False
VAC['0171'],PREPANDEMIC INFLUENZA VACCINE (H5N1) NOVARTIS,Influenza A(H5N1) vaccine,False
VAC['0172'],DIFTAVAX,Diphtheria toxoid (standard dose) and tetanus toxoid pediatric vaccine,False
VAC['0173'],FLUENZ,"Seasonal influenza vaccine, trivalent, live attenuated, nasal",False
VAC['0174'],PROQUAD,"Live attenuated measles, mumps, rubella and chickenpox vaccine",False
VAC['0175'],A.D.T. BOOSTER,Diphtheria toxoid (low dose) and tetanus toxoid vaccine (used for booster shots),False
VAC['0176'],A.K.D.S.,"Diphtheria toxoid (standard dose), tetanus toxoid and pertussis (whole-cell inactivated) pediatric vaccine",False
VAC['0177'],AC VAX,"Unconjugated meningococcal polysaccharide vaccine, serogroups A and C",False
VAC['0178'],ACEL-IMUNE,"Diphtheria toxoid (standard dose), tetanus toxoid and pertussis (multicomponent acellular, standard dose) pediatric vaccine",False
VAC['0179'],ACELLULAR D.P.T. KOVAX,"Diphtheria toxoid (standard dose), tetanus toxoid and inactivated polio (trivalent) pediatric vaccine",False
VAC['0180'],ACTACEL,"Diphtheria toxoid (standard dose), tetanus toxoid, pertussis (multicomponent acellular, 5 components, standard dose) and Haemophilus influenzae type b (conjugated to tetanus toxoid) pediatric vaccine",False
VAC['0182'],ADACEL,"Diphtheria toxoid (low dose), tetanus toxoid and pertussis (multicomponent acellular, low dose) vaccine",False
VAC['0183'],AIMMUGEN,Inactivated hepatitis A vaccine,False
VAC['0184'],ALDIANA,Diphtheria toxoid (standard dose) pediatric vaccine,False
VAC['0185'],ALDITEANA,Diphtheria toxoid (standard dose) and tetanus toxoid pediatric vaccine,False
VAC['0186'],ALDITERPERA,"Diphtheria toxoid (standard dose), tetanus toxoid and pertussis (whole-cell inactivated) pediatric vaccine",False
VAC['0187'],AMARIL,Live attenuated yellow fever vaccine,False
VAC['0188'],QUIMI-HIB,"Haemophilus influenzae type b vaccine, capsular polysaccharide (polyribosylribitol phosphate, PRP) conjugated to tetanus toxoid",False
VAC['0189'],ANADIFTERALL,Diphtheria toxoid (standard dose) pediatric vaccine,False
VAC['0190'],ANATETALL,Tetanus toxoid vaccine,False
VAC['0191'],ARILVAX,Live attenuated yellow fever vaccine,False
VAC['0192'],ATTENUVAX,Live attenuated measles vaccine,False
VAC['0193'],"AVAC-1, AVA",Adsorbed acellular anthrax vaccine with adjuvant,False
VAC['0194'],B-CAPSA,Haemophilus influenzae type b non-conjugated polysaccharide vaccine,False
VAC['0195'],BEGRIVAC,"Trivalent inactivated seasonal influenza vaccine, split virion",False
VAC['0196'],BIAVAX,Live attenuated rubella and mumps vaccine,False
VAC['0197'],BIAVAX II,Live attenuated rubella and mumps vaccine,False
VAC['0198'],BIKEN-HB,Recombinant hepatitis B vaccine,False
VAC['0199'],BIMMUGEN,Recombinant hepatitis B vaccine with 10 micrograms of HBsAg per 0.5 mL (a 0.25 mL formulation is available),False
VAC['0200'],BIOTHRAX,Adsorbed acellular anthrax vaccine with adjuvant,False
VAC['0201'],BIVIRATEN BERNA,Live attenuated measles and mumps vaccine,False
VAC['0202'],BVAC,Antitoxin against botulism,False
VAC['0203'],C.D.T.,Diphtheria toxoid (standard dose) and tetanus toxoid pediatric vaccine,False
VAC['0204'],CAM-KOVAX,Live attenuated measles vaccine,False
VAC['0205'],CD.JEVAX,"Live attenuated Japanese encephalitis vaccine, prepared in primary hamster kidney cell (PHK) culture from the SA 14-14-2 strain",False
VAC['0206'],CELLUVAX,"Pertussis (multicomponent acellular, standard dose) vaccine",False
VAC['0207'],CENDEVAX,Live attenuated rubella vaccine,False
VAC['0208'],CERTIVA,"Diphtheria toxoid (standard dose), tetanus toxoid and pertussis (multicomponent acellular, standard dose) pediatric vaccine",False
VAC['0209'],COMVAX,Hepatitis B and Haemophilus influenzae type b vaccine (OMP conjugate),False
VAC['0210'],D.S.D.P.T.,"Diphtheria toxoid (standard dose), tetanus toxoid and pertussis (whole-cell inactivated) pediatric vaccine",False
VAC['0211'],DAPTACEL,"Diphtheria toxoid (standard dose), tetanus toxoid and pertussis (multicomponent acellular, standard dose) pediatric vaccine",False
VAC['0212'],DI TE PER POL IMPFSTOFF,"Diphtheria toxoid (standard dose), tetanus toxoid, pertussis (whole-cell inactivated) and inactivated polio (trivalent) pediatric vaccine",False
VAC['0213'],DI-TE-POL,"Diphtheria toxoid (standard dose), tetanus toxoid and inactivated polio (trivalent) pediatric vaccine",False
VAC['0214'],DIF-TET-ALL,Diphtheria toxoid (standard dose) and tetanus toxoid pediatric vaccine,False
VAC['0216'],ANATOXAL DI TE,Diphtheria toxoid (standard dose) and tetanus toxoid pediatric vaccine,False
VAC['0217'],DITOXIM,Diphtheria toxoid (standard dose) and tetanus toxoid pediatric vaccine,False
VAC['0218'],DOUBLE ANIGEN B.,Diphtheria toxoid (standard dose) and tetanus toxoid pediatric vaccine,False
VAC['0219'],DRYVAX,"Smallpox vaccine, first-generation, live vaccinia virus",False
VAC['0220'],DT MERIEUX,Diphtheria toxoid (standard dose) and tetanus toxoid pediatric vaccine,False
VAC['0222'],TRIPVAC,"Diphtheria toxoid (standard dose), tetanus toxoid and pertussis (whole-cell inactivated) pediatric vaccine",False
VAC['0223'],DUAL ANTIGEN SII,Diphtheria toxoid (standard dose) and tetanus toxoid pediatric vaccine,False
VAC['0224'],ECOLARIX,Live attenuated measles and rubella vaccine,False
VAC['0225'],EIPV,Inactivated polio (trivalent) vaccine,False
VAC['0226'],"Diptheria, Tetanus and Acellular Pertussis Combined Walvax vaccine","Diphtheria toxoid (standard dose), tetanus toxoid and pertussis (multicomponent acellular, standard dose) pediatric vaccine",False
VAC['0227'],EPAXAL,"Inactivated hepatitis A vaccine, virosome, pediatric or adult",False
VAC['0228'],ERVEVAX RA 27/3,Live attenuated rubella vaccine,False
VAC['0229'],FLU SHIELD,Trivalent inactivated seasonal influenza vaccine,False
VAC['0230'],FLUAD,"Trivalent inactivated seasonal influenza vaccine, surface antigen, adjuvanted",False
VAC['0231'],FLUKOVAX,Trivalent inactivated seasonal influenza vaccine,False
VAC['0232'],FLULAVAL,Trivalent inactivated seasonal influenza vaccine,False
VAC['0233'],FLUMIST,"Seasonal influenza vaccine, trivalent, live attenuated, nasal",False
VAC['0234'],FLUOGEN,Trivalent whole virion inactivated seasonal influenza vaccine,False
VAC['0235'],FLUVIRIN,Trivalent inactivated seasonal influenza vaccine,False
VAC['0236'],FLUZONE HIGH-DOSE,"Trivalent inactivated seasonal influenza vaccine, high dose",False
VAC['0238'],FUNED-CEME,"Diphtheria toxoid (standard dose), tetanus toxoid and pertussis (whole-cell inactivated) pediatric vaccine",False
VAC['0240'],GUNEVAX,Live attenuated rubella vaccine,False
VAC['0241'],HAEMOPHILUS INFLUENZAE B CONJUGATE VACCINE - SERUM INSTITUTE OF INDIA,"Haemophilus influenzae type b vaccine, capsular polysaccharide (polyribosylribitol phosphate, PRP) conjugated to tetanus toxoid",False
VAC['0242'],HBY,"Recombinant hepatitis B vaccine, adult dose",False
VAC['0243'],HEPA-B INJECTION,Hepatitis B vaccine (Paediatric dose 10 µg/mL and adult dose 20 µg/mL),False
VAC['0244'],HEPRECOMB,Recombinant hepatitis B vaccine with 10 micrograms of HBs antigen for use from the age of 11 years,False
VAC['0245'],HEPTAVAX B,"Plasma hepatitis B vaccine, used in the USA from 1981 to 1990",False
VAC['0246'],HIBERNA PRODUCTSIX,Tetanus toxoid and seasonal influenza (trivalent) vaccine,False
VAC['0247'],HIBTITER,"Haemophilus influenzae type b vaccine, capsular oligosaccharides (polyribosylribitol phosphate, PRP) conjugated to mutant diphtheria toxin CRM197",False
VAC['0248'],HINKUYS KAROKOE,Pertussis (whole-cell inactivated) vaccine,False
VAC['0249'],RUBELLA VACCINE HPV-77,"Live attenuated rubella vaccine, grown on duck embryonic cells (HPV-77 strain)",False
VAC['0251'],HUMOTET-ANTI TETANUS,Tetanus toxoid vaccine,False
VAC['0252'],VAXIGRIP ENFANTS,"Trivalent inactivated seasonal influenza vaccine, split virion, pediatric form",False
VAC['0253'],VAXIRAB N,"Whole virion inactivated rabies vaccine, Flury LEP strain, purified chick embryo cell vaccine (PCECV), inactivated with ß-propiolactone",False
VAC['0254'],IMOVAX D.T.,Diphtheria toxoid (standard dose) and tetanus toxoid pediatric vaccine,False
VAC['0255'],IMOVAX GRIPPE,Trivalent inactivated seasonal influenza vaccine,False
VAC['0256'],IMOVAX MUMPS,Live attenuated mumps vaccine,False
VAC['0257'],IMOVAX PAROTIDITIS,Live attenuated mumps vaccine,False
VAC['0258'],IMOVAX R.O.R.,"Live attenuated measles, mumps and rubella vaccine",False
VAC['0259'],IMOVAX Rabies,"Whole virion inactivated rabies vaccine, prepared in MRC5 cells",False
VAC['0260'],IMOVAX Rabies I.D.,"Whole virion inactivated rabies vaccine, prepared in human diploid cell culture (HDCV), intradermal",False
VAC['0261'],IMOVAX RAGE,Whole virion inactivated rabies vaccine (intramuscular administration),False
VAC['0262'],IMOVAX RUBEOLA,Live attenuated rubella vaccine,False
VAC['0263'],IMOVAX SARAMPION,Live attenuated measles vaccine,False
VAC['0264'],INFANRIX,"Diphtheria toxoid (standard dose), tetanus toxoid and pertussis (multicomponent acellular, standard dose) pediatric vaccine",False
VAC['0265'],INFLU-KOVAX,Trivalent inactivated seasonal influenza vaccine,False
VAC['0266'],INFLUENZA HA VACCINE KOVAX,Trivalent inactivated seasonal influenza vaccine,False
VAC['0267'],IPAD TP,Tetanus toxoid and inactivated polio (trivalent) vaccine,False
VAC['0268'],IPOL,Inactivated polio (trivalent) vaccine,False
