NUVA,label,comment,shorthand,parent
VAL034,"Τοξοειδές διφθερίτιδας, χαμηλή δόση",,d,VAL083
VAL035,"Εμβόλιο COVID-19, πλασμιδιακό DNA που κωδικοποιεί την πρωτεΐνη SARS-CoV-2 spike",,COVID-DNA-S,VAL164
VAL036,"Μη στρεπτό εμβόλιο VLP του ιού των ανθρώπινων θηλωμάτων, τύποι 6, 11, 16, 18, 31, 33, 45, 52, 58",,HPV-09-valent,VAL237
VAL037,"Εμβόλιο μηνιγγιτιδοκόκκου Α, μη συζευγμένος πολυσακχαρίτης",,MPV-A,VAL297
VAL038,"Εμβόλιο COVID-19, πολλαπλασιαστικός φορέας ιού ιλαράς που κωδικοποιεί την πρωτεΐνη αιχμής SARS-CoV-2",,COVID-VVr-S-Meas,VAL398
VAL039,"Εμβόλιο COVID-19, VLP, ανασυνδυασμένη πρωτεΐνη αιχμής",,COVID-VLP-rS,VAL164
VAL040,"Influenza valence, quadrivalent, inactivated, split or subunit, intramuscular or subcutaneous route, non-adjuvanted, normal dose",,INF-SUnd4,VAL064
VAL041,"Μηνιγγιτιδοκοκκικό Α, πολυσακχαριδικό συζευγμένο εμβόλιο",,MCV-A,VAL297
VAL042,"Εμβόλιο πολιομυελίτιδας, απροσδιόριστο",,POLIO,Valence
VAL043,Εμβόλιο SARS-CoV-2 spike protein mRNA 19,,COVID-mRNA-S,VAL168
VAL044,Varicella,,VZV-LAV,Valence
VAL045,Αδρανοποιημένο ολόκληρο παρατυφοειδές εμβόλιο,,pTy-I,VAL014
VAL046,Τύφος,,Typhus,Valence
VAL047,Ανοσοσφαιρίνη ηπατίτιδας Β,,IgHepB,Valence
VAL048,Αδρανοποιημένο πλήρες εμβόλιο παρωτίτιδας,,Or-I,VAL183
VAL049,"Πολυσακχαριδική βαλεντία του Haemophilus influenzae τύπου b, μη συζευγμένη",,Hib-PS,VAL177
VAL050,"Εμβόλιο COVID-19, μη αναπαραγόμενος φορέας αδενοϊού 5 που κωδικοποιεί την πρωτεΐνη αιχμής SARS-CoV-2, απροσδιόριστο",,COVID-VVnr-S-Ad5,VAL070
VAL051,Προπανδημικό εμβόλιο κατά της γρίπης Α(Η5Ν1),,AH5N1,VAL386
VAL052,"Τετραδύναμο εμβόλιο VLP του ιού των ανθρώπινων θηλωμάτων, τύποι 6, 11, 16 και 18",,HPV-04-valent,VAL237
VAL053,"Εμβόλιο COVID-19, πρωτεϊνική υπομονάδα, ανασυνδυασμένη πρωτεΐνη αιχμής, απροσδιόριστο",,COVID-PS,VAL164
VAL054,"Εμβόλιο COVID-19, μη αναπαραγόμενος τροποποιημένος φορέας Vaccinia Virus Ankara που κωδικοποιεί την πρωτεΐνη αιχμής SARS-CoV-2",,COVID-VVnr-S-MVA,VAL397
VAL055,Ανοσοσφαιρίνη ιλαράς,,Ig-Measles,Valence
VAL056,Ολόκληρο αδρανοποιημένο τρισθενές εμβόλιο πολιομυελίτιδας για ένεση,,POLIO-I,VAL042
VAL057,"Εμβόλιο μηνιγγιτιδοκόκκου C, πολυσακχαριδικό συζευγμένο",,MCV-C,VAL298
VAL058,"Αδρανοποιημένη βαλεντία της γρίπης, κλασματοποιημένη ή υπομονάδα, χωρίς διευκρίνιση",,INF-SU,VAL365
VAL059,"Τετρασθενής ζωντανή εξασθενημένη βαλεντία της γρίπης, κανονική δόση",,INF-L4,VAL140
VAL060,"Chikungunya virus valence, live attenuated",,CHIK-LA,VAL390
VAL061,"Εμβόλιο COVID-19, πρωτεϊνική υπομονάδα, ανασυνδυασμένη πρωτεΐνη spike, S-2P και CpG1018",,COVID-PS-CpG1018,VAL104
VAL062,"Cholera valence, protein subunit, recombinant cholera toxin subunit B (rCTB)",,O-Chol-rCTB-I,VAL021
VAL063,Αντιτοξίνη της αλλαντίασης,,BAT,VAL420
VAL064,"Influenza valence, quadrivalent, inactivated, split or subunit, intramuscular or subcutaneous route, non-adjuvanted",,INF-SUNA4,VAL127
VAL065,Ζωντανό εξασθενημένο ανασυνδυασμένο χιμαιρικό τετραδύναμο εμβόλιο κατά του δάγκειου πυρετού ,,RC-TDV,VAL150
VAL066,"Εμβόλιο κατά του αναπαραγωγικού φορέα ιού covid 19, ιός γρίπης που κωδικοποιεί την πρωτεΐνη κορυφής του SARS-CoV-2",,COVID-VVr-S-Influ,VAL398
VAL067,Τοξικοειδές τετάνου,,T,Valence
VAL068,"Βαλεντία της ηπατίτιδας Β, χωρίς διευκρίνιση",,HepB,Valence
VAL069,"Εμβόλιο COVID-19, μη αναπαραγόμενος αδενοϊικός φορέας ChAdOx1 χιμπατζή που κωδικοποιεί την πρωτεΐνη SARS-CoV-2 spike",,COVID-VVnr-S-ChAdOx1,VAL397
VAL070,"Εμβόλιο COVID-19, μη αναπαραγόμενος αδενοϊικός φορέας που κωδικοποιεί την πρωτεΐνη αιχμής SARS-CoV-2, απροσδιόριστο",,COVID-VVnr-S-Ad,VAL397
VAL071,Αδρανοποιημένο πλήρες εμβόλιο τύφου,,Ty-I,VAL014
VAL072,Εμβόλιο κατά του μηνιγγιτιδόκοκκου Β που περιέχει fHbp των υποοικογενειών Α και Β,,MenB-fHbpAB,VAL161
VAL073,"Εμβόλιο COVID-19, αναπαραγόμενος ιικός φορέας, με αντιγονοπαρουσιαστικά κύτταρα",,COVID-VVr+APC,VAL162
VAL074,"Τετραδύναμο αδρανοποιημένο εμβόλιο γρίπης, διαιρεμένο ή υπομονάδα, υψηλής δόσης",,INF-SUhd4,VAL064
VAL075,Αδρανοποιημένο πλήρες εμβόλιο κατά της Leptospira icterohaemorrhagiae,,Lepto-wI,Valence
VAL076,"Εμβόλιο COVID-19, αδρανοποιημένο με ολόκληρο τον ιό, απροσδιόριστο",,COVID-IV,VAL164
VAL077,"Mumps valence, live attenuated",,Mumps-LAV,VAL183
VAL078,"Εμβόλιο μηνιγγιτιδοκόκκου Y, πολυσακχαριδικό συζευγμένο",,MCV-Y,VAL299
VAL079,"Rubella valence, live attenuated",,Rub-LAV,Valence
VAL080,"Αδρανοποιημένο εμβόλιο κατά της λύσσας με ολόκληρο τον ιό, απροσδιόριστο",,Rab-I,Valence
VAL081,"Χολερική βαλεντία, χωρίς διευκρίνιση",,Chol,Valence
VAL082,"Εμβόλιο κατά του ιού των ανθρώπινων θηλωμάτων, απροσδιόριστων τύπων",,HPV,Valence
VAL083,"Τοξοειδές διφθερίτιδας, απροσδιόριστη δόση",,D-d,VAL414
VAL084,"Εμβόλιο COVID-19, αναπαραγόμενος φορέας του ιού της φυσαλιδώδους στοματίτιδας που κωδικοποιεί την πρωτεΐνη αιχμής SARS-CoV-2",,COVID-VVr-S-VSV,VAL398
VAL085,Μονοδύναμο ζωντανό εξασθενημένο από του στόματος εμβόλιο πολιομυελίτιδας τύπου 3,,mOPV3,VAL133
VAL086,"Εμβόλιο COVID-19, ζωντανό εξασθενημένο, απροσδιόριστο",,COVID-LA,VAL165
VAL087,"Βαλεντία δάγκειου πυρετού, ζωντανή εξασθενημένη τετραδύναμη χιμαιρική ανασυνδυασμένη βασισμένη στο εμβόλιο κίτρινου πυρετού 17D",,CYD-TDV,VAL150
VAL088,Ανοσοσφαιρίνη Varicella,,VZV-Ig,Valence
VAL089,"Αδρανοποιημένη βαλεντία κατά της Ιαπωνικής εγκεφαλίτιδας, χωρίς διευκρίνιση",,JE-I,VAL249
VAL090,"Εμβόλιο ηπατίτιδας Β, ανασυνδυασμένο αντιγόνο επιφανείας του ιού της ηπατίτιδας Β (HBsAg), δόση απροσδιόριστη",,rHBsAg,VAL068
VAL091,"Ζωντανό εξασθενημένο εμβόλιο τύφου, στέλεχος Ty21a, από του στόματος",,Ty-LA,VAL014
VAL092,Κίτρινος πυρετός,,YF,Valence
VAL093,Αδρανοποιημένο πλήρες εμβόλιο ιλαράς,,Meas-I,VAL182
VAL094,"Influenza valence, trivalent, inactivated, fractionated or subunit, intramuscular or subcutaneous, non-adjuvanted, high dose",,INF-SUhd3,VAL122
VAL095,"Εμβόλιο COVID-19, αναπαραγωγικός φορέας του ιού της νόσου του Newcastle που κωδικοποιεί την πρωτεΐνη αιχμής SARS-CoV-2",,COVID-VVr-S-Nv,VAL398
VAL096,Εμβόλιο BCGΒαλεντία BCG,,BCG,Valence
VAL097,"Τοξοειδές διφθερίτιδας, τυπική δόση",,D,VAL083
VAL098,Εμβόλιο κατά του μηνιγγιτιδόκοκκου Β 4 συστατικών,,4CMenB,VAL161
VAL099,Αδρανοποιημένη βαλεντία της πανδημικής γρίπης H1N1 2009 ,,Inf-pdm09,VAL058
VAL100,"Japanese encephalitis valence, live attenuated virus, strain 14-14-2",,JE-LAV-14-14-2,VAL248
VAL101,"Εμβόλιο COVID-19, μη αναπαραγόμενος φορέας του ιού της νόσου του Newcastle που κωδικοποιεί την πρωτεΐνη αιχμής SARS-CoV-2",,COVID-VVnr-S-Nv,VAL397
VAL102,Ανασυνδυασμένη πεπτιδική βαλεντία της ηπατίτιδας Ε,,HepE,Valence
VAL103,"Συζευγμένη βαλεντία του Haemophilus influenzae τύπου b, χωρίς διευκρίνιση",,Hib-C,VAL177
VAL104,"Εμβόλιο COVID-19, πρωτεϊνική υπομονάδα, ανασυνδυασμένη πρωτεΐνη αιχμής",,COVID-PS-rS,VAL053
VAL105,"Πνευμονιοκοκκικό εμβόλιο, απροσδιόριστο",,Pneumo,Valence
VAL106,"Εμβόλιο κατά του ροταϊού, απροσδιόριστο",,Rota,Valence
VAL107,"Εμβόλιο COVID-19, πρωτεϊνική υπομονάδα, ανασυνδυασμένα νανοσωματίδια πρωτεΐνης αιχμής",,COVID-PS-rSnp,VAL104
VAL108,Ζωντανό μη αναπαραγόμενο εμβόλιο ανασυνδυασμένου ιικού φορέα Ad26.ZEBOV,,ZebovVRnrAd26,VAL126
VAL109,"Βαλεντία κατά του ιού Έμπολα με μη αναδιπλασιαζόμενο ιογενή φορέα, τροποποιημένο εμβόλιο Άγκυρας ",,Ebola-MVA-BN-Filo,VAL126
VAL110,Ανοσοσφαιρίνη τετάνου,,T-Ig,Valence
VAL111,Κυτταρικό εμβόλιο κατά του άνθρακα,,Bant,VAL340
VAL112,"Τετρασθενής αδρανοποιημένη βαλεντία της γρίπης που προέρχεται από κυτταροκαλλιέργεια, κλασματοποιημένη ή υπομονάδα, κανονική δόση",,INF-CC4,VAL360
VAL113,"Δισθενές εμβόλιο VLP του ιού των ανθρώπινων θηλωμάτων, τύποι 16 και 18",,HPV-02-valent,VAL237
VAL114,"Εμβόλιο ηπατίτιδας Β, ανασυνδυασμένο αντιγόνο επιφανείας ηπατίτιδας Β (HBsAg), 10 μικρογραμμάρια",,rHBsAg-10,VAL090
VAL115,"Εμβόλιο ηπατίτιδας Β, ανασυνδυασμένο αντιγόνο επιφανείας του ιού της ηπατίτιδας Β (HBsAg), 20 μικρογραμμάρια",,rHBsAg-20,VAL090
VAL116,"Μονοκλωνικό αντίσωμα στον RSV, palivizumab",,RSV-mAb-pal,VAL320
VAL117,"Εμβόλιο κατά του κυτταρικού κοκκύτη, απροσδιόριστη δόση",,Acel,VAL003
VAL118,"Εμβόλιο μηνιγγιτιδοκόκκου Β, απροσδιόριστο",,MenB,VAL234
VAL119,Μηνιγγιτιδοκοκκικό μονοδύναμο μη συζευγμένο πολυσακχαριδικό εμβόλιο,,MPV-mono,VAL439
VAL120,"Μηνιγγιτιδοκοκκικός μη συζευγμένος πολυσακχαρίτης, πολυδύναμο",,MPV-poly,VAL234
VAL121,Από του στόματος τρισθενές αδρανοποιημένο εμβόλιο ολικής πολιομυελίτιδας,,POLIO-I-O,VAL042
VAL122,"Influenza valence, trivalent, inactivated, split or subunit, intramuscular or subcutaneous route, non-adjuvanted",,INF-SUNA3,VAL231
VAL123,"Rotavirus valence, pentavalent, live attenuated virus",,Rota5-L,VAL106
VAL124,"Ζωντανή εξασθενημένη χολερική βαλεντία, χωρίς διευκρίνιση",,Chol-L,VAL081
VAL125,"Ολόκληρη αδρανοποιημένη βαλεντία της ηπατίτιδας Α, χωρίς διευκρίνιση",,HepA-I,VAL288
VAL126,"Βαλεντία κατά του ιού Έμπολα, χωρίς διευκρίνιση",,Ebola,Valence
VAL127,"Influenza valence, quadrivalent, inactivated, split or subunit, intramuscular or subcutaneous route",,INF-SUimsc4,VAL230
VAL128,"Βαλεντία της γρίπης, χωρίς διευκρίνιση",,Inf,Valence
VAL129,"Βαλεντία του έρπητα απλού, χωρίς διευκρίνιση",,HSV,Valence
VAL130,Βαλεντία ιοσώματος της ηπατίτιδας Α,,HepA-VLP,VAL125
VAL131,Ολόκληρο αδρανοποιημένο εμβόλιο κατά της πανώλης,,Yp-I,VAL422
VAL132,Ζωντανό εξασθενημένο μονοδύναμο από του στόματος εμβόλιο κατά της πολιομυελίτιδας τύπου 1,,mOPV1,VAL133
VAL133,"Ζωντανό εξασθενημένο μονοδύναμο από του στόματος εμβόλιο πολιομυελίτιδας, απροσδιόριστου τύπου",,mOPV,VAL042
VAL134,"Influenza valence, quadrivalent, inactivated, split or subunit, intradermal route, unspecified",,INF-SUid4,VAL230
VAL135,"COVID-19 valence, mRNA encoding the SARS-CoV-2 spike protein, in clinical trials ",,Covid-ARNm-S-CT,VAL303
VAL136,"Εμβόλιο μηνιγγιτιδοκόκκου W, πολυσακχαριδικό συζευγμένο",,MCV-W,VAL300
VAL137,"Εμβόλιο μηνιγγιτιδοκόκκου C, μη συζευγμένος πολυσακχαρίτης",,MPV-C,VAL298
VAL138,"Εμβόλιο μηνιγγιτιδοκόκκου W, μη συζευγμένος πολυσακχαρίτης",,MPV-W,VAL300
VAL139,"Εμβόλιο μηνιγγιτιδοκόκκου Y, μη συζευγμένος πολυσακχαρίτης",,MPV-Y,VAL299
VAL140,"Influenza valence, live attenuated, unspecified",,Inf-L,VAL128
VAL141,RIX4414 μονοδύναμο εμβόλιο κατά του ροταϊού,,Rota-mv-RIX4414,VAL106
VAL142,"Ολόκληρη αδρανοποιημένη βαλεντία της ηπατίτιδας Α, μονοσθενής, παιδιατρική δόση",,HepA-mv-PED,VAL283
VAL143,"Ολόκληρη αδρανοποιημένη βαλεντία κατά της ηπατίτιδας Α, δισθενής (ηπατίτιδα Α και Β), παιδιατρική δόση",,HepA-bv-PED,VAL283
VAL144,"Ολόκληρη αδρανοποιημένη βαλεντία της ηπατίτιδας Α, μονοσθενής, δόση για ενήλικες",,HepA-mv-ADU,VAL284
VAL145,"Ολόκληρη αδρανοποιημένη βαλεντία της ηπατίτιδας Α, δισθενής (ηπατίτιδα Α και Β), δόση για ενήλικες",,HepA-bv-ADU,VAL284
VAL146,Βαλεντία κατά της ολόκληρης αδρανοποιημένης Brucella,,Bruc-I,VAL006
VAL147,Βαλεντία με αντιγόνο πρωτεΐνης P.I. (αδιάλυτο σε φαινόλη) κατά της βρουκέλλωσης,,Bruc-IP,VAL006
VAL148,Μονοκλωνικό αντίσωμα του αναπνευστικού συγκυτιακού ιού,,RSV-IG,VAL317
VAL149,"Εμβόλιο COVID-19, mRNA που κωδικοποιεί την πρωτεΐνη SARS-CoV-2 spike, 25 μικρογραμμάρια",,Covid-mRNA-S-25,VAL043
VAL150,"Βαλεντία κατά του δάγκειου πυρετού, χωρίς διευκρίνιση",,Den,Valence
VAL151,"Εμβόλιο τουλαραιμίας, απροσδιόριστο",,Tular,Valence
VAL152,"Ολόκληρη αδρανοποιημένη βαλεντία της γρίπης, χωρίς διευκρίνιση",,Inf-I,VAL365
VAL153,"Εμβόλιο Haemophilus influenzae τύπου β, πολυσακχαρίτης PRP συζευγμένο με τοξοειδές διφθερίτιδας",,PRP-D,VAL103
VAL154,"Βαλεντία Haemophilus influenzae τύπου b, PRP ολιγοσακχαρίτες συζευγμένοι με μεταλλαγμένη διφθεριτική τοξίνη CRM197",,HbOC,VAL103
VAL155,"Εμβόλιο Haemophilus influenzae τύπου β, πολυσακχαρίτης συζευγμένος με την πρωτεΐνη της εξωτερικής μεμβράνης της οροομάδας Β της Neisseria meningitidis",,PRP-OMP,VAL103
VAL156,"PRP-T Εμβόλιο Haemophilus influenzae τύπου b, πολυσακχαρίτης PRP συζευγμένος με τοξοειδές του τετάνου",,PRP-T,VAL103
VAL157,"Εμβόλιο COVID-19, απροσδιόριστο",,COVID,Valence
VAL158,Εμβόλιο πλάσματος ηπατίτιδας Β,,pHBsAg,VAL068
VAL159,"Υπομονάδα εμβολίου κατά του έρπητα ζωστήρα, απροσδιόριστο",,Shingles-SU,VAL160
VAL160,"Εμβόλιο κατά του έρπητα ζωστήρα, απροσδιόριστο",,Shingles,Valence
VAL161,"Πολυδύναμο εμβόλιο μηνιγγιτιδοκόκκου Β, απροσδιόριστο",,MenB-mc,VAL118
VAL162,"Εμβόλιο COVID-19, πολλαπλασιαστικός φορέας ιού, απροσδιόριστο",,COVID-VVr,VAL165
VAL163,"Εμβόλιο COVID-19, μη αναπαραγόμενος ιικός φορέας, απροσδιόριστο",,COVID-VVnr,VAL165
VAL164,"Εμβόλιο COVID-19, μη ζωντανό, απροσδιόριστο",,COVID-non-live,VAL157
VAL165,"Ζωντανό εμβόλιο κατά των κολοβακτηριδίων 19, απροσδιόριστο",,COVID-live,VAL157
VAL166,"Influenza valence, trivalent, inactivated, split or subunit, intramuscular or subcutaneous route, pediatric dose",,INF-SUped3,VAL122
VAL167,"Εμβόλιο COVID-19, μη αναπαραγόμενος ιικός φορέας, με αντιγονοπαρουσιαστικά κύτταρα",,COVID-VVnr+APC,VAL163
VAL168,"Εμβόλιο RNA anti-covid 19, απροσδιόριστο",,COVID-RNA,VAL164
VAL169,"Εμβόλιο COVID-19, αυτοενισχυόμενο mRNA (SAM)",,COVID-mRNA-SAM,VAL303
VAL170,"Εμβόλιο ηπατίτιδας Β, ανασυνδυασμένο αντιγόνο επιφανείας του ιού της ηπατίτιδας Β (HBsAg), 5 μικρογραμμάρια",,rHepB-05,VAL090
VAL171,"Εμβόλιο κατά της εγκεφαλίτιδας των ιπποειδών της Βενεζουέλας, απροσδιόριστο",,VEE,Valence
VAL172,"Βαλεντία κατά του πυρετού Q (Coxiella burnetii), χωρίς διευκρίνιση",,Cbur,Valence
VAL173,"Argentine hemorrhagic fever valence, Junin virus, live attenuated",,Junin-LAV,VAL421
VAL174,"Βαλεντία των Χανταϊών ιών, χωρίς διευκρίνιση",,HAN,Valence
VAL175,"Εμβόλιο κατά της λεϊσμανίασης, απροσδιόριστο",,Leish,Valence
VAL176,"Εμβόλιο ανθρώπινων ιών της παραϊνφλουέντσας, απροσδιόριστο",,HPIVs,Valence
VAL177,"Βαλεντία του Haemophilus influenzae τύπου b, χωρίς διευκρίνιση",,Hib,Valence
VAL178,"COVID-19 vaccine, mRNA coding for SARS-CoV-2 spike protein, Omicron variant BA.1, 25 micrograms",,COVID-mRNA-S-OMI-BA.1-25,VAL393
VAL179,"Εμβόλιο κατά του μηνιγγιτιδόκοκκου, μονοδύναμο",,MCV-mono,VAL439
VAL180,"Εμβόλιο COVID-19, mRNA που κωδικοποιεί την πρωτεΐνη αιχμής SARS-CoV-2, 100 μικρογραμμάρια",,COVID-mRNA-S-ORI-100,VAL303
VAL181,"Εμβόλιο COVID-19, mRNA που κωδικοποιεί την πρωτεΐνη αιχμής SARS-CoV-2, αρχικός ιός SARS-CoV-2, 25 μικρογραμμάρια",,Covid-mRNA-S-ORI-25,VAL303
VAL182,"Εμβόλιο ιλαράς, απροσδιόριστο",,Meas,Valence
VAL183,"Εμβόλιο παρωτίτιδας, απροσδιόριστο",,Mumps,Valence
VAL184,"Πολυσακχαριδικό συζευγμένο εμβόλιο πνευμονιόκοκκου, μονοδύναμο",,PCV,VAL105
VAL185,"Πολυσακχαριδικό εμβόλιο πνευμονιόκοκκου μη συζευγμένο, μη προσδιορισμένο",,PPSV,VAL105
VAL186,"Πνευμονιοκοκκικό πολυσακχαριδικό συζευγμένο εμβόλιο, ορότυπος 1",,PCV-01,VAL184
VAL187,"Πνευμονιοκοκκικό πολυσακχαριδικό συζευγμένο εμβόλιο, ορότυπος 3",,PCV-03,VAL184
VAL188,"Πνευμονιοκοκκικό πολυσακχαριδικό συζευγμένο εμβόλιο, ορότυπος 4",,PCV-04,VAL184
VAL189,"Πνευμονιοκοκκικό πολυσακχαριδικό συζευγμένο εμβόλιο, ορότυπος 5",,PCV-05,VAL184
VAL190,"Πνευμονιοκοκκικό πολυσακχαριδικό συζευγμένο εμβόλιο, ορότυπος 6Α",,PCV-06A,VAL184
VAL191,"Πνευμονιοκοκκικό πολυσακχαριδικό συζευγμένο εμβόλιο, ορότυπος 6B",,PCV-06B,VAL184
VAL192,"Πνευμονιοκοκκικό πολυσακχαριδικό συζευγμένο εμβόλιο, ορότυπος 7F",,PCV-07F,VAL184
VAL193,"Πνευμονιοκοκκικό πολυσακχαριδικό συζευγμένο εμβόλιο, ορότυπος 8",,PCV-08,VAL184
VAL194,"Πνευμονιοκοκκικό πολυσακχαριδικό συζευγμένο εμβόλιο, ορότυπος 9V",,PCV-09V,VAL184
VAL195,"Πνευμονιοκοκκικό πολυσακχαριδικό συζευγμένο εμβόλιο, ορότυπος 10Α",,PCV-10A,VAL184
VAL196,"Πνευμονιοκοκκικό πολυσακχαριδικό συζευγμένο εμβόλιο, ορότυπος 11Α",,PCV-11A,VAL184
VAL197,"Πνευμονιοκοκκικό πολυσακχαριδικό συζευγμένο εμβόλιο, ορότυπος 12F",,PCV-12F,VAL184
VAL198,"Πνευμονιοκοκκικό πολυσακχαριδικό συζευγμένο εμβόλιο, ορότυπος 14",,PCV-14,VAL184
VAL199,"Πνευμονιοκοκκικό πολυσακχαριδικό συζευγμένο εμβόλιο, ορότυπος 15Β",,PCV-15B,VAL184
VAL200,"Πνευμονιοκοκκικό πολυσακχαριδικό συζευγμένο εμβόλιο, ορότυπος 18C",,PCV-18C,VAL184
VAL201,"Πνευμονιοκοκκικό πολυσακχαριδικό συζευγμένο εμβόλιο, ορότυπος 19Α",,PCV-19A,VAL184
VAL202,"Πολυσακχαριδικό συζευγμένο εμβόλιο πνευμονιόκοκκου, ορότυπος 19F",,PCV-19F,VAL184
VAL203,"Πνευμονιοκοκκικό πολυσακχαριδικό συζευγμένο εμβόλιο, ορότυπος 22F",,PCV-22F,VAL184
VAL204,"Πνευμονιοκοκκικό πολυσακχαριδικό συζευγμένο εμβόλιο, ορότυπος 23F",,PCV-23F,VAL184
VAL205,"Πνευμονιοκοκκικό πολυσακχαριδικό συζευγμένο εμβόλιο, ορότυπος 33F",,PCV-33F,VAL184
VAL206,"Πνευμονιοκοκκικό πολυσακχαριδικό μη συζευγμένο εμβόλιο, ορότυπος 1",,PPSV-01,VAL185
VAL207,"Πνευμονιοκοκκικό πολυσακχαριδικό μη συζευγμένο εμβόλιο, ορότυπος 2",,PPSV-02,VAL185
VAL208,"Πνευμονιοκοκκικό πολυσακχαριδικό μη συζευγμένο εμβόλιο, ορότυπος 3",,PPSV-03,VAL185
VAL209,"Πνευμονιοκοκκικό πολυσακχαριδικό μη συζευγμένο εμβόλιο, ορότυπος 4",,PPSV-04,VAL185
VAL210,"Πνευμονιοκοκκικό πολυσακχαριδικό μη συζευγμένο εμβόλιο, ορότυπος 5",,PPSV-05,VAL185
VAL211,"Μη συζευγμένο εμβόλιο πολυσακχαρίτη του πνευμονιόκοκκου, ορότυπος 6Β",,PPSV-06B,VAL185
VAL212,"Πνευμονιοκοκκικό πολυσακχαριδικό μη συζευγμένο εμβόλιο, ορότυπος 7F",,PPSV-07F,VAL185
