CIS,NUVA,CIS label, NUVA label
CIS-69391124,VAC0019,"MENINGITEC, suspension injectable en seringue préremplie. Vaccin méningococcique du sérogroupe C oligosidique conjugué (adsorbé)","MENINGITEC"
CIS-67973670,VAC0020,"MENJUGATEKIT10 microgrammes, poudre et solvant pour suspension injectable. Vaccin conjugué méningococcique groupe C","MENJUGATEKIT 10 µg"
CIS-63483669,VAC0021,"MUTAGRIP, suspension injectable en flacon multidose. vaccin grippal inactivé à virion fragmenté","MUTAGRIP"
CIS-67469994,VAC0021,"MUTAGRIP, suspension injectable en seringue préremplie. Vaccin grippal (inactivé, à virion fragmenté)","MUTAGRIP"
CIS-67933188,VAC0021,"MUTAGRIP, suspension injectable en ampoule vaccin grippal inactivé à virion fragmenté","MUTAGRIP"
CIS-69261547,VAC0022,"NEISVAC, suspension injectable en seringue préremplie. Vaccin méningococcique polyosidique du groupe C (conjugué, adsorbé)","NEISVAC"
CIS-68587814,VAC0026,"PREVIGRIP, suspension injectable en seringue préremplie, vaccin grippal inactivé à virion fragmenté","PREVIGRIP"
CIS-60163226,VAC0028,"RABIPUR, poudre et solvant pour solution injectable. Vaccin rabique (inactivé)","RABIPUR"
CIS-66800338,VAC0028,"RABIPUR, poudre et solvant pour solution injectable en seringue préremplie. Vaccin rabique (inactivé)","RABIPUR"
CIS-66396810,VAC0031,"ROTATEQ, solution buvable. Vaccin Rotavirus (vivant, oral)","ROTATEQ"
CIS-60043248,VAC0032,"ROUVAX, poudre et solvant pour suspension injectable. Vaccin rougeoleux vivant","ROUVAX"
CIS-65318260,VAC0032,"ROUVAX, poudre et solvant pour suspension injectable en flacon multidose, vaccin vivant hyperatténué contre la rougeole","ROUVAX"
CIS-64774663,VAC0033,"RUDIVAX, poudre et solvant pour suspension injectable. Vaccin rubéoleux atténué.","RUDIVAX"
CIS-64175998,VAC0034,"SPIROLEPT 200 millions U/ml, suspension injectable en seringue préremplie. Vaccin leptospires inactivé","SPIROLEPT"
CIS-62102962,VAC0035,"STAMARIL, poudre et solvant pour suspension injectable en seringue préremplie. Vaccin de la fièvre jaune (Vivant)","STAMARIL"
CIS-68844917,VAC0035,"STAMARIL, poudre et solvant pour suspension injectable en récipient multidose, Vaccin de la fièvre jaune (vivant)","STAMARIL"
CIS-69663909,VAC0038,"TICOVAC 0,5 ml ADULTES, suspension injectable en seringue préremplie. Vaccin de l'encéphalite à tiques (virus entier inactivé)","TICOVAC 0,5 mL"
CIS-61440306,VAC0039,"TICOVAC 0,25 ml ENFANTS, suspension injectable en seringue préremplie. Vaccin de l'encéphalite à tiques (virus entier inactivé)","TICOVAC 0,25 mL"
CIS-60364631,VAC0041,"TYPHIM Vi, solution injectable en multidose. Vaccin typhoïdique polyosidique","TYPHIM VI"
CIS-68790394,VAC0041,"TYPHIM Vi, solution injectable en seringue préremplie. Vaccin typhoïdique polyosidique","TYPHIM VI"
CIS-65782652,VAC0045,"ENGERIX B 10 microgrammes/0,5 mL, suspension injectable en seringue préremplie. Vaccin de l'hépatite B (ADNr), (adsorbé) (VHB)","ENGERIX B 10 µg"
CIS-69819678,VAC0045,"ENGERIX B 10 microgrammes/0,5 ml, suspension injectable. Vaccin de l'hépatite B recombinant, adsorbé","ENGERIX B 10 µg"
CIS-62279329,VAC0046,"ENGERIX B 20 microgrammes/1 mL, suspension injectable en seringue préremplie. Vaccin de l'hépatite B (ADNr), (adsorbé) (VHB)","ENGERIX B 20 µg"
CIS-63624632,VAC0046,"ENGERIX B 20 microgrammes/1 ml, suspension injectable. Vaccin de l'hépatite B recombinant, adsorbé","ENGERIX B 20 µg"
CIS-69447142,VAC0047,"FLUARIX, suspension injectable en seringue préremplie. Vaccin grippal inactivé à virion fragmenté","FLUARIX"
CIS-60738424,VAC0048,"VACCIN GENHEVAC B PASTEUR 20 microgrammes/0,5 ml, suspension injectable, vaccin de l'hépatite B recombinant","GENHEVAC B PASTEUR"
CIS-62493849,VAC0048,"VACCIN GENHEVAC B PASTEUR 20 microgrammes/0,5 ml,suspension injectable en seringue préremplie, vaccin de l'hépatite B recombinant","GENHEVAC B PASTEUR"
CIS-60386414,VAC0049,"HAVRIX 1440 U/1 mL ADULTES, suspension injectable en seringue préremplie. Vaccin de l'hépatite A (inactivé, adsorbé)","HAVRIX 1440 U/1mL"
CIS-66600889,VAC0049,"HAVRIX ADULTES 1440 U/1 ml, suspension injectable en unidose. vaccin inactivé de l'hépatite A adsorbé","HAVRIX 1440 U/1mL"
CIS-60152436,VAC0050,"HAVRIX NOURRISSONS ET ENFANTS 720 U/0,5 mL, suspension injectable en seringue préremplie. Vaccin de l'hépatite A (inactivé, adsorbé)","HAVRIX 720 U/0,5 mL"
CIS-69617616,VAC0050,"HAVRIX NOURRISSONS ET ENFANTS 720 U/0,5 ml , suspension injectable en unidose. vaccin inactivé de l'hépatite A adsorbé","HAVRIX 720 U/0,5 mL"
CIS-63461516,VAC0054,"VACCIN RABIQUE PASTEUR, poudre et solvant pour suspension injectable en récipient multidose. Vaccin rabique pour usage humain préparé sur cultures cellulaires (inactivé)","VACCIN RABIQUE PASTEUR"
CIS-67498113,VAC0054,"VACCIN RABIQUE PASTEUR, poudre et solvant pour suspension injectable. Vaccin rabique pour usage humain préparé sur cultures cellulaires (inactivé)","VACCIN RABIQUE PASTEUR"
CIS-67718545,VAC0054,"VACCIN RABIQUE PASTEUR, poudre et solvant pour suspension injectable. Vaccin rabique, inactivé","VACCIN RABIQUE PASTEUR"
CIS-60017659,VAC0056,"VACCIN TETANIQUE PASTEUR, suspension injectable en multidose vaccin tétanique adsorbé","VACCIN TETANIQUE PASTEUR"
CIS-65076266,VAC0056,"VACCIN TETANIQUE PASTEUR, suspension injectable en unidose vaccin tétanique adsorbé","VACCIN TETANIQUE PASTEUR"
CIS-68747507,VAC0056,"VACCIN TETANIQUE PASTEUR, suspension injectable en seringue préremplie. Vaccin tétanique adsorbé","VACCIN TETANIQUE PASTEUR"
CIS-69107862,VAC0059,"TYPHERIX, solution injectable en seringue préremplie Vaccin typhoïdique polyosidique","TYPHERIX"
CIS-62521070,VAC0060,"VARILRIX, poudre et solvant pour solution injectable en seringue préremplie. Vaccin varicelleux (vivant)","VARILRIX"
CIS-69201849,VAC0061,"VARIVAX, poudre et solvant pour suspension injectable en seringue préremplie. Vaccin varicelleux (vivant)","VARIVAX"
CIS-61777031,VAC0062,"VAXIGRIP, suspension injectable en flacon multidose. Vaccin grippal (inactivé, à virion fragmenté)","VAXIGRIP"
CIS-62482112,VAC0062,"VAXIGRIP, suspension injectable en seringue préremplie. Vaccin grippal (inactivé, à virion fragmenté)","VAXIGRIP"
CIS-68622012,VAC0062,"VAXIGRIP, suspension injectable en ampoule, vaccin grippal inactivé à virion fragmenté","VAXIGRIP"
CIS-69675854,VAC0062,"VAXIGRIP suspension injectable en seringue préremplie. Vaccin grippal trivalent (inactivé, à virion fragmenté)","VAXIGRIP"
CIS-68007738,VAC0068,"MONOVAX, vaccin tuberculeux atténué, suspension pour multipuncture","MONOVAX"
CIS-62816512,VAC0073,"IXIARO, suspension injectable. Vaccin de l'encéphalite japonaise (inactivé, adsorbé)","IXIARO"
CIS-63661513,VAC0077,"IMOVAX OREILLONS, poudre et solvant pour préparation injectable. vaccin à virus vivants atténués contre les oreillons","IMOVAX Mumps"
CIS-69431992,VAC0079,"ENCEPUR 1,5 microgrammes/0,5 ml, suspension injectable en seringue préremplie. Vaccin de l'encéphalite à tiques (inactivé, adsorbé)","ENCEPUR"
CIS-67511443,VAC0080,"VACCIN BCG PASTEUR INTRADERMIQUE, poudre et solvant pour suspension injectable","BCG PASTEUR"
CIS-62105257,VAC0086,"TETAVAX, suspension injectable en multidose. Vaccin tétanique adsorbé","TETAVAX"
CIS-63715815,VAC0086,"TETAVAX, suspension injectable en seringue préremplie. Vaccin tétanique adsorbé","TETAVAX"
CIS-66344226,VAC0086,"TETAVAX, suspension injectable en unidose. Vaccin tétanique adsorbé","TETAVAX"
CIS-61895802,VAC0099,"MENINVACT, poudre et solvant pour suspension injectable, vaccin meningococcique du groupe C oligosidique conjugué (adsorbé)","MENINVACT"
CIS-66304783,VAC0105,"PANENZA, suspension injectable en flacon multidose. Vaccin grippal (H1N1)v (virion fragmenté, inactivé)","PANENZA"
CIS-68229315,VAC0105,"PANENZA, suspension injectable en seringue préremplie. Vaccin grippal (H1N1)v (virion fragmenté, inactivé)","PANENZA"
CIS-66384167,VAC0107,"CELVAPAN, suspension injectable. Vaccin grippal pandémique (H1N1) (virion entier, cultivé sur cellule Vero, inactivé)","CELVAPAN"
CIS-63343973,VAC0108,"PANDEMRIX suspension et émulsion pour émulsion injectable. Vaccin grippal (H1N1)v (virion fragmenté, inactivé, avec adjuvant)","PANDEMRIX"
CIS-64566840,VAC0109,"FOCETRIA, suspension injectable en seringue préremplie. Vaccin grippal pandémique (antigène de surface, inactivé, avec adjuvant)","FOCETRIA (unidose)"
CIS-63777215,VAC0115,"AVAXIM 80 U PEDIATRIQUE, suspension injectable en seringue préremplie. Vaccin de l'hépatite A (inactivé, adsorbé)","AVAXIM 80 U"
CIS-63937933,VAC0115,"AVAXIM 80 U PEDIATRIQUE, suspension injectable en récipient multidose. Vaccin de l'hépatite A (inactivé, adsorbé)","AVAXIM 80 U"
CIS-63100868,VAC0124,"FOCETRIA, suspension injectable en récipient multidose. Vaccin grippal pandémique (antigène de surface, inactivé, avec adjuvant)","FOCETRIA (multidose)"
CIS-62150850,VAC0127,"HB VAX DNA 5 microgrammes/0,5 ml, suspension injectable vaccin de l'hépatite B recombinant","HB VAX DNA 5 µg"
CIS-68554928,VAC0127,"HB VAX DNA 5 microgrammes/0,5 ml, suspension injectable en seringue pré-remplie, vaccin de l'hépatite B recombinant","HB VAX DNA 5 µg"
CIS-61781987,VAC0128,"HB VAX DNA 10 microgrammes/1 ml, suspension injectable en seringue pré-remplie, vaccin de l'hépatite B recombinant","HB VAX DNA 10 µg"
CIS-68716383,VAC0128,"HB VAX DNA 10 microgrammes/1 ml, suspension injectable, vaccin de l'hépatite B recombinant","HB VAX DNA 10 µg"
CIS-63011985,VAC0129,"HB VAX DNA 40 microgrammes/ 1 ml, suspension injectable vaccin de l'hépatite B recombinant","HB VAX DNA 40 µg"
CIS-69532557,VAC0140,"INTANZA 15 microgrammes/souche, suspension injectable. Vaccin grippal (inactivé, à virion fragmenté)","INTANZA"
CIS-60956323,VAC0161,"ZOSTAVAX, poudre et solvant pour suspension injectable en seringue préremplie. Vaccin zona (vivant atténué)","ZOSTAVAX"
CIS-61060930,VAC0161,"ZOSTAVAX, poudre et solvant pour suspension injectable. Vaccin zona (vivant aténué)","ZOSTAVAX"
CIS-62023917,VAC0164,"INTANZA 9 microgrammes/souche, suspension injectable. Vaccin grippal (inactivé, à virion fragmenté)","INTANZA 9 µg"
CIS-66339492,VAC0165,"VAQTA 25 U/0,5 mL, suspension injectable en seringue préremplie. Vaccin de l'hépatite A, inactivé, adsorbé. Pour enfants et adolescents","VAQTA 25 U/0,5 mL"
CIS-62087670,VAC0166,"VAQTA 50 U/1 ml, suspension injectable en seringue préremplie. Vaccin de l’hépatite A, inactivé, adsorbé. Pour adultes","VAQTA 50 U"
CIS-68471674,VAC0169,"OPTAFLU, suspension injectable en seringue préremplie. Vaccin grippal (antigène de surface, inactivé, préparé à partir de cultures cellulaires)","OPTAFLU"
CIS-65525113,VAC0173,"FLUENZ, suspension pour pulvérisation nasale. Vaccin grippal (vivant atténué, nasal)","FLUENZ"
CIS-66557142,VAC0173,"FLUENZ, suspension pour pulvérisation nasale. Vaccin grippal (vivant atténué, nasal)","FLUENZ"
CIS-64036265,VAC0227,"EPAXAL, suspension injectable en seringue préremplie. Vaccin de l'hépatite A (inactivé, virosomal)","EPAXAL"
CIS-64090291,VAC0230,"FLUAD suspension injectable en seringue préremplie.Vaccin antigrippal (antigènes de surface, inactivé, avec adjuvant)","FLUAD"
CIS-62565946,VAC0247,"HibTITER, solution injectable","HIBTITER"
CIS-62687284,VAC0252,"VAXIGRIP ENFANTS, suspension injectable en seringue préremplie. Vaccin grippal (inactivé, à virion fragmenté)","VAXIGRIP ENFANTS"
CIS-68510344,VAC0451,"VIVOTIF, gélule gastro-résistante","VIVOTIF"
CIS-62339477,VAC0477,"PUMARIX, suspension et emulsion pour émulsion injectable. Vaccin grippal pandémique (H5N1) (virion fragmenté, inactivé, avec adjuvant)","PUMARIX"
CIS-61173458,VAC0480,"FENDRIX, suspension injectable.Vaccin de l'hépatite B (ADNr) (avec adjuvant, adsorbé)","FENDRIX"
CIS-63263203,VAC0492,"AFLURIA, suspension injectable en seringue préremplie. Vaccin gippal (virion fragmenté, inactivé)","AFLURIA"
CIS-64493883,VAC0495,"BEXSERO suspension injectable en seringue préremplie. Vaccin méningococcique groupe B (ADNr, composant, adsorbé)","BEXSERO"
CIS-68979473,VAC0505,"HIBEST, VACCIN HAEMOPHILUS TYPE B CONJUGUE, lyophilisat et solution pour usage parentéral (I.M., S.C.) avec seringue","HIBEST"
CIS-60755263,VAC0514,"ROTARIX, suspension buvable en applicateur prérempli pour administration orale. Vaccin à rotavirus, vivant","ROTARIX"
CIS-60886387,VAC0514,"ROTARIX, suspension buvable en tube souple. Vaccin à rotavirus, vivant","ROTARIX"
CIS-64984697,VAC0514,"ROTARIX, poudre et solvant pour suspension buvable. Vaccin à rotavirus vivant","ROTARIX"
CIS-62464573,VAC0517,"FLUARIXTETRA, suspension injectable en seringue préremplie. Vaccin grippal inactivé à virion fragmenté","FLUARIXTETRA"
CIS-60215623,VAC0966,"IMVANEX, suspension injectable . Vaccin antivariolique et anti-variole du singe (virus vivant modifié de la vaccine Ankara)","JYNNEOS"
CIS-62818082,VAC0521,"FLUENZ TETRA, suspension pour pulvérisation nasale. Vaccin grippal (vivant atténué, nasal)","FLUENZ TETRA"
CIS-60245164,VAC0534,"MENJUGATE 10 microgrammes, suspension injectable. Vaccin conjugué méningococcique groupe C","MENJUGATE 10 µg"
CIS-60334798,VAC0534,"MENJUGATE, poudre et solvant pour suspension injectable vaccin meningococcique du groupe C oligosidique conjugué (adsorbé)","MENJUGATE 10 µg"
CIS-63301248,VAC0534,"MENJUGATE 10 microgrammes, suspension injectable en seringue préremplie. Vaccin conjugué méningococcique groupe C","MENJUGATE 10 µg"
CIS-69536790,VAC0539,"DENGVAXIA, poudre et solvant pour suspension injectable en seringue préremplie. Vaccin dengue quadrivalent (vivant, atténué)","DENGVAXIA"
CIS-61402736,VAC0560,"VAXIGRIPTETRA, suspension injectable en seringue préremplie. Vaccin grippal quadrivalent (inactivé, à virion fragmenté)","VAXIGRIPTETRA"
CIS-68257948,VAC0560,"VAXIGRIPTETRA, suspension injectable en flacon multidose,Vaccin grippal quadrivalent (inactivé, à virion fragmenté)","VAXIGRIPTETRA"
CIS-60716805,VAC0562,"INFLUVAC TETRA, suspension injectable en seringue préremplie. Vaccin grippal inactivé à antigènes de surface","INFLUVAC TETRA"
CIS-62887096,VAC0567,"SHINGRIX, poudre et suspension pour suspension injectable. Vaccin zona (recombinant, avec adjuvant)","SHINGRIX"
CIS-62216574,VAC0570,"HIBERIX 10 microgrammes/0,5 ml, poudre et solvant pour suspension injectable (IM) en seringue préremplie. Vaccin de l'Haemophilus influenzae type b (conjugué)","HIBERIX"
CIS-60730566,VAC0579,"CLAIRYG 50 mg/mL, solution pour perfusion","CLAIRYG 50 mg/mL"
CIS-65802140,VAC0582,"TRUMENBA, suspension injectable en seringue préremplie. Vaccin méningococcique groupe B (recombinant, adsorbé)","TRUMENBA"
CIS-62614126,VAC0586,"ERVEBO, solution injectable. Vaccin contre Ebola Zaïre (rVSVdeltaG-ZEBOV-GP, vivant)","Ervebo"
CIS-61077869,VAC0590,"VACCIN BCG AJVaccines, poudre et solvant pour suspension injectable. Vaccin BCG, lyophilisé","VACCIN BCG AJVACCINES"
CIS-62198717,VAC0593,"VERORAB, poudre et solvant pour suspension injectable. Vaccin rabique, inactivé","VERORAB"
CIS-65583006,VAC0593,"VERORAB, poudre et solvant pour suspension injectable. Vaccin rabique, inactivé","VERORAB"
CIS-65724720,VAC0593,"VERORAB, poudre et solvant pour suspension injectable en récipient multidose. Vaccin rabique pour usage humain préparé sur cultures cellulaires (inactivé)","VERORAB"
CIS-60590648,VAC0595,"FLUCELVAX TETRA, suspension injectable en seringue préremplie. Vaccin grippal inactivé (antigène de surface, préparé sur cultures cellulaires)","FLUCELVAX TETRA"
CIS-67395234,VAC0620,"IXCHIQ, poudre et solvant pour solution injectable. Vaccin contre le chikungunya (vivant)","IXCHIQ"
CIS-63179463,VAC0631,"MENINVACTKIT, poudre et solvant pour suspension injectable. Vaccin méningococcique du groupe C oligosidique conjugué (adsorbé)","MENINVACTKIT"
CIS-66738274,VAC0633,"ZABDENO suspension injectable, Vaccin contre Ebola (Ad26.ZEBOV-GP [recombinant])","ZABDENO"
CIS-67848058,VAC0634,"MVABEA suspension injectable. Vaccin contre Ebola (MVA-BN-Filo [recombinant])","MVABEA"
CIS-69091949,VAC0644,"QDENGA, poudre et solvant pour solution injectable en seringue préremplie","QDENGA"
CIS-62048742,VAC1347,"EFLUELDA, suspension injectable en seringue préremplie.Vaccin grippal trivalent (inactivé, à virion fragmenté), 60 microgrammes HA/souche","EFLUELDA"
CIS-67823603,VAC0649,"EFLUELDA TETRA, suspension injectable en seringue préremplie Vaccin grippal quadrivalent (inactivé, à virion fragmenté), 60 microgrammes HA/souche","EFLUELDA TETRA"
CIS-61875116,VAC0650,"VAXZEVRIA, suspension injectable. Vaccin COVID-19 (ChAdOx1-S [recombinant])","VAXZEVRIA ASTRAZENECA"
CIS-66689795,VAC0656,"SPIKEVAX 0,2 mg/mL, dispersion injectable. Vaccin à ARNm contre la COVID-19","SPIKEVAX 0,2 mg/mL MODERNA"
CIS-60495328,VAC0658,"COMIRNATY 30 microgrammes/dose, dispersion à diluer pour dispersion injectable. Vaccin à ARNm (à nucléoside modifié) contre la COVID-19","COMIRNATY 30 µg BIONTECH-PFIZER"
CIS-65456578,VAC0658,"COMIRNATY 30 microgrammes/dose, dispersion injectable.Vaccin à ARNm (à nucléoside modifié) contre la COVID-19","COMIRNATY 30 µg BIONTECH-PFIZER"
CIS-64798803,VAC0666,"JCOVDEN, suspension injectable Vaccin contre la COVID-19 (Ad26.COV2-S [recombinant])","JCOVDEN (former name: JANSSEN COVID-19 VACCINE)"
CIS-69544189,VAC0667,"NUVAXOVID, dispersion injectable. Vaccin contre la COVID-19 (recombinant, avec adjuvant)","NUVAXOVID"
CIS-67734275,VAC0685,"VIDPREVTYN BETA, solution et émulsion pour émulsion injectable. Vaccin contre la COVID-19 (recombinant avec adjuvant)","VIDPREVTYN BETA"
CIS-69975093,VAC0778,"VAXCHORA, poudre effervescente et poudre pour suspension buvable. Vaccin anticholérique (vivant,recombiné,orale)","VAXCHORA"
CIS-63060594,VAC0779,"BATREVAC, suspension injectable en seringue préremplie, vaccin grippal inactivé à antigènes de surface","BATREVAC"
CIS-69174918,VAC0833,"COMIRNATY 10 microgrammes/dose, dispersion à diluer pour dispersion injectable.Vaccin à ARNm (à nucléoside modifié) contre la COVID-19","COMIRNATY 10 µg  BIONTECH-PFIZER"
CIS-60094805,VAC0836,"FLUAD TETRA, suspension injectable en seringue préremplie.Vaccin antigrippal (antigènes de surface, inactivé, avec adjuvant)","FLUAD TETRA"
CIS-69539345,VAC0840,"ADDIGRIP, suspension injectable en seringue préremplie vaccin grippal inactivé à antigènes de surface avec adjuvant MF59C.1","ADDIGRIP"
CIS-66481278,VAC0841,"INFLUVAC ENFANT, suspension injectable en seringue préremplie, vaccin grippal inactivé à antigènes de surface. Saison 2015/2016","INFLUVAC 0,25 mL"
CIS-66853860,VAC0842,"NEORABIS, poudre et solvant pour suspension injectable, vaccin rabique inactivé","NEORABIS"
CIS-63980169,VAC0843,"NOVIRAB, poudre et solvant pour suspension injectable, vaccin rabique inactivé","NOVIRAB"
CIS-67539955,VAC0844,"VERORABVAX, poudre et solvant pour suspension injectable en seringue préremplie. Vaccin rabique, inactivé","VERORABVAX"
CIS-60111635,VAC0845,"VACCIN POLIOMYELITIQUE ORAL, PRODUIT SUR CELLULES VERO MERIEUX, solution buvable en récipient unidose","ORAL POLIO VACCINE PRODUCED ON VERO MERIEUX CELLS"
CIS-63770391,VAC0848,"VACCIN BCG INSTITUT MERIEUX, poudre et solvant pour suspension injectable en multidose","VACCIN BCG INSTITUT MERIEUX"
CIS-62752472,VAC0926,"FLUCELVAX suspension injectable en seringue préremplie. Vaccin antigrippal inactivé (antigène de surface, préparé sur cultures cellulaires)","FLUCELVAX"
CIS-69122679,VAC0933,"TICOVAC 2,7 microgrammes, suspension injectable en seringue préremplie. vaccin de l'encéphalite à tiques, adsorbé","TICOVAC 2,7µg"
CIS-66630665,VAC0934,"VACCIN OREILLONS AVENTIS PASTEUR MSD, poudre et solvant pour suspension injectable en seringue préremplie vaccin des oreillons, atténué","VACCIN OREILLONS AVENTIS PASTEUR MSD"
CIS-60253264,VAC0935,"VACCIN RABIQUE INACTIVE MERIEUX, poudre et solvant pour suspension injectable. Vaccin rabique préparé sur cellules diploïdes humaines","VACCIN RABIQUE INACTIVE MERIEUX"
CIS-62830871,VAC1020,"VACCIN HEPATITE A AVENTIS PASTEUR MSD, suspension injectable en seringue préremplie. Vaccin de l'hépatite A (inactivé, adsorbé)","Hepatitis A vaccine aventis pasteur MSD"
CIS-63786926,VAC1022,"COMIRNATY 3 microgrammes/dose, dispersion à diluer pour dispersion injectable.Vaccin à ARNm (à nucléoside modifié) contre la COVID-19","COMIRNATY 3 µg INFANTS AND CHILDREN BIONTECH-PFIZER"
CIS-64431629,VAC1040,"AREXVY, poudre et suspension pour suspension injectable. Vaccin du Virus Respiratoire Syncytial (VRS) (recombinant, avec adjuvant)","AREXVY"
CIS-60990140,VAC1047,"ABRYSVO, poudre et solvant pour solution injectable. Vaccin du virus respiratoire syncytial (bivalent, recombinant)","ABRYSVO"
CIS-60144425,VAC1051,"COMIRNATY OMICRON XBB.1.5 30 microgrammes/dose, dispersion injectable en seringue préremplie. Vaccin à ARNm (à nucléoside modifié) contre la COVID-19","COMIRNATY OMICRON XBB.1.5 30 µg"
CIS-64548397,VAC1051,"COMIRNATY OMICRON XBB.1.5 30 microgrammes/dose, dispersion injectable. Vaccin à ARNm (à nucléoside modifié) contre la COVID-19","COMIRNATY OMICRON XBB.1.5 30 µg"
CIS-60327063,VAC1052,"COMIRNATY OMICRON XBB.1.5 10 microgrammes/dose, dispersion injectable. Vaccin à ARNm (à nucléoside modifié) contre la COVID-19","COMIRNATY OMICRON XBB.1.5 10 µg"
CIS-65248463,VAC1052,"COMIRNATY OMICRON XBB.1.5 10 microgrammes/dose, dispersion à diluer pour dispersion injectable. Vaccin à ARNm (à nucléoside modifié) contre la COVID-19","COMIRNATY OMICRON XBB.1.5 10 µg"
CIS-64995124,VAC1053,"COMIRNATY OMICRON XBB.1.5 3 microgrammes/dose, dispersion à diluer pour dispersion injectable. Vaccin à ARNm (à nucléoside modifié) contre la COVID-19","COMIRNATY OMICRON XBB.1.5 3 µg"
CIS-65689785,VAC1055,"NUVAXOVID XBB.1.5, dispersion injectable. Vaccin contre la COVID-19 (recombinant, avec adjuvant)","NUVAXOVID XBB.1.5"
CIS-60914655,VAC1060,"SPIKEVAX XBB.1.5 50 microgrammes, dispersion injectable en seringue préemplie. Vaccin à ARNm contre la COVID-19","SPIKEVAX XBB.1.5 50 µg MODERNA"
CIS-61906476,VAC1060,"SPIKEVAX XBB.1.5 50 microgrammes, dispersion injectable. Vaccin à ARNm contre la COVID-19","SPIKEVAX XBB.1.5 50 µg MODERNA"
CIS-61838388,VAC1258,"COMIRNATY JN.1 30 microgrammes/dose, dispersion injectable en seringue préremplie. Vaccin à ARNm contre la COVID-19","COMIRNATY JN.1 30 µg"
CIS-64281916,VAC1258,"COMIRNATY JN.1 30 microgrammes/dose, dispersion injectable. Vaccin à ARNm contre la COVID-19","COMIRNATY JN.1 30 µg"
CIS-64397504,VAC1259,"COMIRNATY JN.1 10 microgrammes/dose, dispersion injectable. Vaccin à ARNm contre la COVID-19","COMIRNATY JN.1 10 µg CHILDREN (5-11 YEARS)"
CIS-65290793,VAC1260,"COMIRNATY JN.1 3 microgrammes/dose, dispersion à diluer pour dispersion injectable. Vaccin à ARNm contre la COVID-19","COMIRNATY JN.1 3 µg CHILDREN (6 MONTHS-4 YEARS)"
CIS-67954296,VAC1261,"NUVAXOVID JN.1, dispersion injectable. Vaccin contre la COVID-19 (recombinant, avec adjuvant)","NUVAXOVID JN.1"
CIS-64933425,VAC1262,"MRESVIA, dispersion injectable en seringue préremplie. Vaccin à ARNm contre le virus respiratoire syncytial","MRESVIA"
CIS-67392551,VAC1267,"VIMKUNYA, suspension injectable en seringue préremplie. Vaccin contre le chikungunya (recombinant, adsorbé)","VIMKUNYA"
CIS-63466367,VAC1466,"COMIRNATY LP.8.1 30 microgrammes/dose, dispersion injectable. Vaccin à ARNm contre la COVID-19","COMIRNATY LP.8.1 30 µg"
