NUVA,NUVA label,IsAbstract,SNOMED-CT,SNOMED-CT label,Best,Blur,Equiv
VAC0014,INFANRIX HEXA,False,SNOMED-CT-2101000221107,"Hexavalent vaccine DTPCaHibHepB - Diphtheria-Tetanus-Polio-Acellular Pertussis-Hib-HepB, unspecified",True,9,0
VAC0014,INFANRIX HEXA,False,SNOMED-CT-871895005,"Hexavalent vaccine DTPerHibPHepB - Diphtheria-Tetanus-Pertussis-Polio-Hib-Hepatitis B vaccine, unspecified",False,,
VAC0015,INFANRIXQUINTA,False,SNOMED-CT-2091000221104,"Pentavalent DTaPHibIPV vaccine, unspecified",True,13,0
VAC0015,INFANRIXQUINTA,False,SNOMED-CT-871888001,"Pentavalent DTaPHibIPV vaccine, unspecified",True,13,0
VAC0015,INFANRIXQUINTA,False,SNOMED-CT-871887006,"Pentavalent Diphtheria-Tetanus-Pertussis-Hib-Polio (DTPerHibIPV) vaccine, unspecified",False,,
VAC0016,INFLUVAC,False,SNOMED-CT-1181000221105,"Influenza vaccine, unspecified",True,107,0
VAC0016,INFLUVAC,False,SNOMED-CT-836377006,"Influenza vaccine, unspecified",True,107,0
VAC0017,M-M-RVAXPRO,False,SNOMED-CT-2241000221103,"MMR vaccine, live attenuated, unspecified",True,26,0
VAC0017,M-M-RVAXPRO,False,SNOMED-CT-871831003,"MMR vaccine, live attenuated, unspecified",True,26,0
VAC0018,MENCEVAX ACWY,False,SNOMED-CT-871873006,"Unconjugated meningococcal vaccine ACWY, unspecified",True,6,0
VAC0019,MENINGITEC,False,SNOMED-CT-871866001,"Meningococcal conjugate vaccine C, unspecified",True,11,0
VAC0019,MENINGITEC,False,SNOMED-CT-951000221102,"Meningococcal conjugate vaccine C, unspecified",True,11,0
VAC0020,MENJUGATEKIT 10 µg,False,SNOMED-CT-871866001,"Meningococcal conjugate vaccine C, unspecified",True,11,0
VAC0020,MENJUGATEKIT 10 µg,False,SNOMED-CT-951000221102,"Meningococcal conjugate vaccine C, unspecified",True,11,0
VAC0021,MUTAGRIP,False,SNOMED-CT-1181000221105,"Influenza vaccine, unspecified",True,107,0
VAC0021,MUTAGRIP,False,SNOMED-CT-836377006,"Influenza vaccine, unspecified",True,107,0
VAC0022,NEISVAC,False,SNOMED-CT-871866001,"Meningococcal conjugate vaccine C, unspecified",True,11,0
VAC0022,NEISVAC,False,SNOMED-CT-951000221102,"Meningococcal conjugate vaccine C, unspecified",True,11,0
VAC0023,PENTAVAC,False,SNOMED-CT-2091000221104,"Pentavalent DTaPHibIPV vaccine, unspecified",True,13,0
VAC0023,PENTAVAC,False,SNOMED-CT-871888001,"Pentavalent DTaPHibIPV vaccine, unspecified",True,13,0
VAC0023,PENTAVAC,False,SNOMED-CT-871887006,"Pentavalent Diphtheria-Tetanus-Pertussis-Hib-Polio (DTPerHibIPV) vaccine, unspecified",False,,
VAC0024,PNEUMO 23,False,SNOMED-CT-1119220001,"Pneumococcal polysaccharide vaccine 23-valent, unspecified",True,11,0
VAC0024,PNEUMO 23,False,SNOMED-CT-836398006,"Pneumococcal vaccine, unspecified",False,,
VAC0024,PNEUMO 23,False,SNOMED-CT-981000221107,"Pneumococcal vaccine, unspecified",False,,
VAC0025,PREVENAR,False,SNOMED-CT-1052328007,"Pneumococcal conjugate vaccine, 7 valent, unspecified",True,4,0
VAC0025,PREVENAR,False,SNOMED-CT-1801000221105,"Pneumococcal conjugate vaccine, serotypes unspecified",False,,
VAC0025,PREVENAR,False,SNOMED-CT-836398006,"Pneumococcal vaccine, unspecified",False,,
VAC0025,PREVENAR,False,SNOMED-CT-981000221107,"Pneumococcal vaccine, unspecified",False,,
VAC0026,PREVIGRIP,False,SNOMED-CT-1181000221105,"Influenza vaccine, unspecified",True,107,0
VAC0026,PREVIGRIP,False,SNOMED-CT-836377006,"Influenza vaccine, unspecified",True,107,0
VAC0027,R.O.R. VAX,False,SNOMED-CT-2241000221103,"MMR vaccine, live attenuated, unspecified",True,26,0
VAC0027,R.O.R. VAX,False,SNOMED-CT-871831003,"MMR vaccine, live attenuated, unspecified",True,26,0
VAC0028,RABIPUR,False,SNOMED-CT-2191000221103,"Rabies vaccine, inactivated, whole virion, cell culture-based, unspecified",True,23,0
VAC0028,RABIPUR,False,SNOMED-CT-1131000221109,"Rabies vaccine, unspecified",False,,
VAC0028,RABIPUR,False,SNOMED-CT-836393002,"Rabies vaccine, unspecified",False,,
VAC0028,RABIPUR,False,SNOMED-CT-871726005,"Rabies vaccine, unspecified",False,,
VAC0029,REPEVAX,False,SNOMED-CT-871894009,"TdapIPV - Diphtheria-Tetanus-Pertussis-Polio vaccine, low dose, unspecified",True,7,0
VAC0029,REPEVAX,False,SNOMED-CT-871878002,"Diphtheria-Tetanus-Pertussis-Polio vaccine, unspecified",False,,
VAC0030,REVAXIS,False,SNOMED-CT-871838009,"dTIPV - Diphtheria-Tetanus-Polio, low dose, unspecified",True,5,0
VAC0030,REVAXIS,False,SNOMED-CT-871837004,"Diphtheria-Tetanus-Polio vaccine, unspecified",False,,
VAC0031,ROTATEQ,False,SNOMED-CT-1290764006,"Rotavirus pentavalent vaccine, unspecified",True,2,0
VAC0031,ROTATEQ,False,SNOMED-CT-1081000221109,"Rotavirus vaccine, unspecified",False,,
VAC0031,ROTATEQ,False,SNOMED-CT-836387005,"Rotavirus vaccine, unspecified",False,,
VAC0031,ROTATEQ,False,SNOMED-CT-871761004,"Rotavirus vaccine, unspecified",False,,
VAC0032,ROUVAX,False,SNOMED-CT-836382004,"Live attenuated measles vaccine, unspecified",True,25,0
VAC0032,ROUVAX,False,SNOMED-CT-871765008,"Live attenuated measles vaccine, unspecified",True,25,0
VAC0032,ROUVAX,False,SNOMED-CT-871766009,"Live attenuated measles vaccine, unspecified",True,25,0
VAC0033,RUDIVAX,False,SNOMED-CT-1297215000,"Rubella vaccine, live attenuated, unspecified",True,21,0
VAC0033,RUDIVAX,False,SNOMED-CT-836388000,"Rubella vaccine, live attenuated, unspecified",True,21,0
VAC0033,RUDIVAX,False,SNOMED-CT-871732000,"Rubella vaccine, live attenuated, unspecified",True,21,0
VAC0034,SPIROLEPT,False,SNOMED-CT-840564009,"Leptospirosis vaccine, unspecified",True,3,0
VAC0035,STAMARIL,False,SNOMED-CT-1121000221106,"Yellow fever vaccine, unspecified",True,7,0
VAC0035,STAMARIL,False,SNOMED-CT-836385002,"Yellow fever vaccine, unspecified",True,7,0
VAC0035,STAMARIL,False,SNOMED-CT-871717007,"Yellow fever vaccine, unspecified",True,7,0
VAC0036,TETAGRIP,False,,,,,
VAC0037,TETRAVAC-ACELLULAIRE,False,SNOMED-CT-318351000221106,"DTaPIPV vaccine, standard dose, unspecified",True,12,0
VAC0037,TETRAVAC-ACELLULAIRE,False,SNOMED-CT-871883005,"DTaPIPV vaccine, standard dose, unspecified",True,12,0
VAC0037,TETRAVAC-ACELLULAIRE,False,SNOMED-CT-871878002,"Diphtheria-Tetanus-Pertussis-Polio vaccine, unspecified",False,,
VAC0038,"TICOVAC 0,5 mL",False,SNOMED-CT-836403007,"Tick-borne encephalitis vaccine, unspecified",True,9,0
VAC0038,"TICOVAC 0,5 mL",False,SNOMED-CT-871719005,"Tick-borne encephalitis vaccine, unspecified",True,9,0
VAC0039,"TICOVAC 0,25 mL",False,SNOMED-CT-1287338003,"Tick-borne encephalitis vaccine, Neudörfl strain, paediatric dose, unspecified",True,3,0
VAC0039,"TICOVAC 0,25 mL",False,SNOMED-CT-836403007,"Tick-borne encephalitis vaccine, unspecified",False,,
VAC0039,"TICOVAC 0,25 mL",False,SNOMED-CT-871719005,"Tick-borne encephalitis vaccine, unspecified",False,,
VAC0040,TYAVAX,False,SNOMED-CT-871804001,"Typhoid-hepatitis A vaccine, unspecified",True,6,0
VAC0041,TYPHIM VI,False,SNOMED-CT-2171000221104,"Typhoid polysaccharide vaccine, unspecified",True,7,0
VAC0041,TYPHIM VI,False,SNOMED-CT-871755002,"Typhoid polysaccharide vaccine, unspecified",True,7,0
VAC0041,TYPHIM VI,False,SNOMED-CT-961000221100,"Typhoid polysaccharide vaccine, unspecified",True,7,0
VAC0041,TYPHIM VI,False,SNOMED-CT-836390004,"Typhoid vaccine, unspecified",False,,
VAC0042,VACCIN BCG SSI,False,SNOMED-CT-1861000221106,"BCG vaccine, unspecified",True,19,0
VAC0042,VACCIN BCG SSI,False,SNOMED-CT-319941000221104,"BCG vaccine, unspecified",True,19,0
VAC0042,VACCIN BCG SSI,False,SNOMED-CT-836402002,"BCG vaccine, unspecified",True,19,0
VAC0043,BOOSTRIXTETRA,False,SNOMED-CT-871894009,"TdapIPV - Diphtheria-Tetanus-Pertussis-Polio vaccine, low dose, unspecified",True,7,0
VAC0043,BOOSTRIXTETRA,False,SNOMED-CT-871878002,"Diphtheria-Tetanus-Pertussis-Polio vaccine, unspecified",False,,
VAC0044,CERVARIX,False,SNOMED-CT-1991000221106,"HPV vaccine bivalent, unspecified",True,3,0
VAC0044,CERVARIX,False,SNOMED-CT-836379009,HPV Vaccine,False,,
VAC0044,CERVARIX,False,SNOMED-CT-911000221103,HPV Vaccine,False,,
VAC0045,ENGERIX B 10 µg,False,SNOMED-CT-1296864005,"Hepatitis B vaccine, monovalent, pediatric dose, unspecified",True,16,0
VAC0045,ENGERIX B 10 µg,False,SNOMED-CT-1296676008,"Hepatitis B vaccine, recombinant, unspecified",False,,
VAC0045,ENGERIX B 10 µg,False,SNOMED-CT-1304283008,"Hepatitis B vaccine, recombinant, unspecified",False,,
VAC0045,ENGERIX B 10 µg,False,SNOMED-CT-836374004,"Hepatitis B vaccine, unspecified",False,,
VAC0045,ENGERIX B 10 µg,False,SNOMED-CT-871822003,"Hepatitis B vaccine, unspecified",False,,
VAC0045,ENGERIX B 10 µg,False,SNOMED-CT-871925000,"Hepatitis B vaccine, unspecified",False,,
VAC0046,ENGERIX B 20 µg,False,SNOMED-CT-1296677004,"Hepatitis B vaccine, monovalent, adult dose, unspecified",True,15,0
VAC0046,ENGERIX B 20 µg,False,SNOMED-CT-1296676008,"Hepatitis B vaccine, recombinant, unspecified",False,,
VAC0046,ENGERIX B 20 µg,False,SNOMED-CT-1304283008,"Hepatitis B vaccine, recombinant, unspecified",False,,
VAC0046,ENGERIX B 20 µg,False,SNOMED-CT-836374004,"Hepatitis B vaccine, unspecified",False,,
VAC0046,ENGERIX B 20 µg,False,SNOMED-CT-871822003,"Hepatitis B vaccine, unspecified",False,,
VAC0046,ENGERIX B 20 µg,False,SNOMED-CT-871925000,"Hepatitis B vaccine, unspecified",False,,
VAC0047,FLUARIX,False,SNOMED-CT-1181000221105,"Influenza vaccine, unspecified",True,107,0
VAC0047,FLUARIX,False,SNOMED-CT-836377006,"Influenza vaccine, unspecified",True,107,0
VAC0048,GENHEVAC B PASTEUR,False,SNOMED-CT-1296677004,"Hepatitis B vaccine, monovalent, adult dose, unspecified",True,15,0
VAC0048,GENHEVAC B PASTEUR,False,SNOMED-CT-1296676008,"Hepatitis B vaccine, recombinant, unspecified",False,,
VAC0048,GENHEVAC B PASTEUR,False,SNOMED-CT-1304283008,"Hepatitis B vaccine, recombinant, unspecified",False,,
VAC0048,GENHEVAC B PASTEUR,False,SNOMED-CT-836374004,"Hepatitis B vaccine, unspecified",False,,
VAC0048,GENHEVAC B PASTEUR,False,SNOMED-CT-871822003,"Hepatitis B vaccine, unspecified",False,,
VAC0048,GENHEVAC B PASTEUR,False,SNOMED-CT-871925000,"Hepatitis B vaccine, unspecified",False,,
VAC0049,HAVRIX 1440 U/1mL,False,SNOMED-CT-1010308001,"Inactivated hepatitis A vaccine, unspecified",True,12,0
VAC0049,HAVRIX 1440 U/1mL,False,SNOMED-CT-1010318006,"Inactivated hepatitis A vaccine, unspecified",True,12,0
VAC0049,HAVRIX 1440 U/1mL,False,SNOMED-CT-836375003,"Inactivated hepatitis A vaccine, unspecified",True,12,0
VAC0049,HAVRIX 1440 U/1mL,False,SNOMED-CT-91000221102,"Inactivated hepatitis A vaccine, unspecified",True,12,0
VAC0049,HAVRIX 1440 U/1mL,False,SNOMED-CT-865997008,"Hepatitis A vaccine, unspecified",False,,
VAC0049,HAVRIX 1440 U/1mL,False,SNOMED-CT-871751006,"Hepatitis A vaccine, unspecified",False,,
VAC0050,"HAVRIX 720 U/0,5 mL",False,SNOMED-CT-871750007,"Hepatitis A vaccine, pediatric dose, unspecified",True,6,0
VAC0050,"HAVRIX 720 U/0,5 mL",False,SNOMED-CT-1010308001,"Inactivated hepatitis A vaccine, unspecified",False,,
VAC0050,"HAVRIX 720 U/0,5 mL",False,SNOMED-CT-1010318006,"Inactivated hepatitis A vaccine, unspecified",False,,
VAC0050,"HAVRIX 720 U/0,5 mL",False,SNOMED-CT-836375003,"Inactivated hepatitis A vaccine, unspecified",False,,
VAC0050,"HAVRIX 720 U/0,5 mL",False,SNOMED-CT-865997008,"Hepatitis A vaccine, unspecified",False,,
VAC0050,"HAVRIX 720 U/0,5 mL",False,SNOMED-CT-871751006,"Hepatitis A vaccine, unspecified",False,,
VAC0050,"HAVRIX 720 U/0,5 mL",False,SNOMED-CT-91000221102,"Inactivated hepatitis A vaccine, unspecified",False,,
VAC0051,INFANRIXTETRA,False,SNOMED-CT-318351000221106,"DTaPIPV vaccine, standard dose, unspecified",True,12,0
VAC0051,INFANRIXTETRA,False,SNOMED-CT-871883005,"DTaPIPV vaccine, standard dose, unspecified",True,12,0
VAC0051,INFANRIXTETRA,False,SNOMED-CT-871878002,"Diphtheria-Tetanus-Pertussis-Polio vaccine, unspecified",False,,
VAC0052,VACCIN MENINGOCOCCIQUE A+C,False,SNOMED-CT-871871008,"Meningococcal A + C vaccine, unspecified",True,7,0
VAC0053,PRIORIX,False,SNOMED-CT-2241000221103,"MMR vaccine, live attenuated, unspecified",True,26,0
VAC0053,PRIORIX,False,SNOMED-CT-871831003,"MMR vaccine, live attenuated, unspecified",True,26,0
VAC0054,VACCIN RABIQUE PASTEUR,False,SNOMED-CT-2191000221103,"Rabies vaccine, inactivated, whole virion, cell culture-based, unspecified",True,23,0
VAC0054,VACCIN RABIQUE PASTEUR,False,SNOMED-CT-1131000221109,"Rabies vaccine, unspecified",False,,
VAC0054,VACCIN RABIQUE PASTEUR,False,SNOMED-CT-836393002,"Rabies vaccine, unspecified",False,,
VAC0054,VACCIN RABIQUE PASTEUR,False,SNOMED-CT-871726005,"Rabies vaccine, unspecified",False,,
VAC0056,VACCIN TETANIQUE PASTEUR,False,SNOMED-CT-1101000221104,"Tetanus vaccine, unspecified",True,36,0
VAC0056,VACCIN TETANIQUE PASTEUR,False,SNOMED-CT-2021000221101,"Tetanus vaccine, unspecified",True,36,0
VAC0056,VACCIN TETANIQUE PASTEUR,False,SNOMED-CT-777725002,"Tetanus vaccine, unspecified",True,36,0
VAC0056,VACCIN TETANIQUE PASTEUR,False,SNOMED-CT-863911006,"Tetanus vaccine, unspecified",True,36,0
VAC0056,VACCIN TETANIQUE PASTEUR,False,SNOMED-CT-871742003,"Tetanus vaccine, unspecified",True,36,0
VAC0057,TWINRIX 20 µg,False,SNOMED-CT-121000221105,"Combined hepatitis A and hepatitis B vaccine, unspecified",True,6,0
VAC0057,TWINRIX 20 µg,False,SNOMED-CT-871803007,"Combined hepatitis A and hepatitis B vaccine, unspecified",True,6,0
VAC0058,TWINRIX 10 µg,False,SNOMED-CT-1296753004,"Hepatitis A + Hepatitis B vaccine Child, unspecified",True,3,0
VAC0058,TWINRIX 10 µg,False,SNOMED-CT-121000221105,"Combined hepatitis A and hepatitis B vaccine, unspecified",False,,
VAC0058,TWINRIX 10 µg,False,SNOMED-CT-871803007,"Combined hepatitis A and hepatitis B vaccine, unspecified",False,,
VAC0059,TYPHERIX,False,SNOMED-CT-2171000221104,"Typhoid polysaccharide vaccine, unspecified",True,7,0
VAC0059,TYPHERIX,False,SNOMED-CT-871755002,"Typhoid polysaccharide vaccine, unspecified",True,7,0
VAC0059,TYPHERIX,False,SNOMED-CT-961000221100,"Typhoid polysaccharide vaccine, unspecified",True,7,0
VAC0059,TYPHERIX,False,SNOMED-CT-836390004,"Typhoid vaccine, unspecified",False,,
VAC0060,VARILRIX,False,SNOMED-CT-1010310004,"Chickenpox vaccine, unspecified",True,9,0
VAC0060,VARILRIX,False,SNOMED-CT-1010322001,"Chickenpox vaccine, unspecified",True,9,0
VAC0060,VARILRIX,False,SNOMED-CT-2221000221107,"Chickenpox vaccine, unspecified",True,9,0
VAC0060,VARILRIX,False,SNOMED-CT-871919004,"Chickenpox vaccine, unspecified",True,9,0
VAC0061,VARIVAX,False,SNOMED-CT-1010310004,"Chickenpox vaccine, unspecified",True,9,0
VAC0061,VARIVAX,False,SNOMED-CT-1010322001,"Chickenpox vaccine, unspecified",True,9,0
VAC0061,VARIVAX,False,SNOMED-CT-2221000221107,"Chickenpox vaccine, unspecified",True,9,0
VAC0061,VARIVAX,False,SNOMED-CT-871919004,"Chickenpox vaccine, unspecified",True,9,0
VAC0062,VAXIGRIP,False,SNOMED-CT-1181000221105,"Influenza vaccine, unspecified",True,107,0
VAC0062,VAXIGRIP,False,SNOMED-CT-836377006,"Influenza vaccine, unspecified",True,107,0
VAC0063,TETRACOQ,False,SNOMED-CT-871878002,"Diphtheria-Tetanus-Pertussis-Polio vaccine, unspecified",True,7,0
VAC0064,PENTACOQ,False,SNOMED-CT-871887006,"Pentavalent Diphtheria-Tetanus-Pertussis-Hib-Polio (DTPerHibIPV) vaccine, unspecified",True,8,0
VAC0066,DTCP PASTEUR,False,SNOMED-CT-318351000221106,"DTaPIPV vaccine, standard dose, unspecified",True,12,0
VAC0066,DTCP PASTEUR,False,SNOMED-CT-871883005,"DTaPIPV vaccine, standard dose, unspecified",True,12,0
VAC0066,DTCP PASTEUR,False,SNOMED-CT-871878002,"Diphtheria-Tetanus-Pertussis-Polio vaccine, unspecified",False,,
VAC0067,HAVRIX 360 U,False,SNOMED-CT-871750007,"Hepatitis A vaccine, pediatric dose, unspecified",True,6,0
VAC0067,HAVRIX 360 U,False,SNOMED-CT-1010308001,"Inactivated hepatitis A vaccine, unspecified",False,,
VAC0067,HAVRIX 360 U,False,SNOMED-CT-1010318006,"Inactivated hepatitis A vaccine, unspecified",False,,
VAC0067,HAVRIX 360 U,False,SNOMED-CT-836375003,"Inactivated hepatitis A vaccine, unspecified",False,,
VAC0067,HAVRIX 360 U,False,SNOMED-CT-865997008,"Hepatitis A vaccine, unspecified",False,,
VAC0067,HAVRIX 360 U,False,SNOMED-CT-871751006,"Hepatitis A vaccine, unspecified",False,,
VAC0067,HAVRIX 360 U,False,SNOMED-CT-91000221102,"Inactivated hepatitis A vaccine, unspecified",False,,
VAC0068,MONOVAX,False,SNOMED-CT-1861000221106,"BCG vaccine, unspecified",True,19,0
VAC0068,MONOVAX,False,SNOMED-CT-319941000221104,"BCG vaccine, unspecified",True,19,0
VAC0068,MONOVAX,False,SNOMED-CT-836402002,"BCG vaccine, unspecified",True,19,0
VAC0069,MENOMUNE,False,SNOMED-CT-871873006,"Unconjugated meningococcal vaccine ACWY, unspecified",True,6,0
VAC0070,DT BIS,False,SNOMED-CT-775641005,"Tetanus diphtheria vaccine, unspecified",True,30,0
VAC0070,DT BIS,False,SNOMED-CT-871826000,"Tetanus diphtheria vaccine, unspecified",True,30,0
VAC0071,D.T. BIS - RUDIVAX,False,,,,,
VAC0072,JE-VAX,False,SNOMED-CT-871725009,"Inactivated Japanese Encephalitis vaccine, unspecified",True,14,0
VAC0072,JE-VAX,False,SNOMED-CT-871825001,"Inactivated Japanese Encephalitis vaccine, unspecified",True,14,0
VAC0072,JE-VAX,False,SNOMED-CT-836378001,"Japanese encephalitis vaccine, unspecified",False,,
VAC0072,JE-VAX,False,SNOMED-CT-871724008,"Japanese encephalitis vaccine, unspecified",False,,
VAC0073,IXIARO,False,SNOMED-CT-871725009,"Inactivated Japanese Encephalitis vaccine, unspecified",True,14,0
VAC0073,IXIARO,False,SNOMED-CT-871825001,"Inactivated Japanese Encephalitis vaccine, unspecified",True,14,0
VAC0073,IXIARO,False,SNOMED-CT-836378001,"Japanese encephalitis vaccine, unspecified",False,,
VAC0073,IXIARO,False,SNOMED-CT-871724008,"Japanese encephalitis vaccine, unspecified",False,,
VAC0074,D.T. COQ MERIEUX,False,SNOMED-CT-2061000221109,"DTwP - Diphtheria-Tetanus-Pertussis, unspecified",True,24,0
VAC0074,D.T. COQ MERIEUX,False,SNOMED-CT-774618008,"DTwP - Diphtheria-Tetanus-Pertussis, unspecified",True,24,0
VAC0074,D.T. COQ MERIEUX,False,SNOMED-CT-871875004,"DPT Diphtheria-Pertussis-Tetanus vaccine, unspecified",False,,
VAC0076,DTVax,False,SNOMED-CT-775641005,"Tetanus diphtheria vaccine, unspecified",True,30,0
VAC0076,DTVax,False,SNOMED-CT-871826000,"Tetanus diphtheria vaccine, unspecified",True,30,0
VAC0077,IMOVAX OREILLONS,False,SNOMED-CT-836498007,"Mumps vaccine, unspecified",True,12,0
VAC0077,IMOVAX OREILLONS,False,SNOMED-CT-871737006,"Mumps vaccine, unspecified",True,12,0
VAC0077,IMOVAX OREILLONS,False,SNOMED-CT-871738001,"Mumps vaccine, unspecified",True,12,0
VAC0078,RUDI-ROUVAX,False,SNOMED-CT-2231000221105,"Measles-Rubella vaccine, unspecified",True,12,0
VAC0078,RUDI-ROUVAX,False,SNOMED-CT-871817003,"Measles-Rubella vaccine, unspecified",True,12,0
VAC0079,ENCEPUR,False,SNOMED-CT-836403007,"Tick-borne encephalitis vaccine, unspecified",True,9,0
VAC0079,ENCEPUR,False,SNOMED-CT-871719005,"Tick-borne encephalitis vaccine, unspecified",True,9,0
VAC0080,BCG PASTEUR,False,SNOMED-CT-1861000221106,"BCG vaccine, unspecified",True,19,0
VAC0080,BCG PASTEUR,False,SNOMED-CT-319941000221104,"BCG vaccine, unspecified",True,19,0
VAC0080,BCG PASTEUR,False,SNOMED-CT-836402002,"BCG vaccine, unspecified",True,19,0
VAC0082,MENBVAC,False,SNOMED-CT-1981000221108,"Meningococcal B vaccine, unspecified",True,9,0
