NUVA,NUVA label,IsAbstract,SCT_NUVA,SCT_NUVA label,Best,Blur,Equiv
VAC0005,DUKORAL,False,SCT_NUVA-14731002000109,"Cholera vaccine containing recombinant cholera toxin B subunit and inactivated whole V. cholerae O1 bacteria, unspecified",False,,
VAC0005,DUKORAL,False,SCT_NUVA-2491002000106,"Cholera vaccine, unspecified",False,,
VAC0006,FLUVIRINE,False,SCT_NUVA-171002000109,FLUVIRINE,True,1,1
VAC0006,FLUVIRINE,False,SCT_NUVA-11131002000105,"Trivalent inactivated influenza vaccine, unspecified",False,,
VAC0006,FLUVIRINE,False,SCT_NUVA-2051002000105,"Influenza vaccine, unspecified",False,,
VAC0006,FLUVIRINE,False,SCT_NUVA-9811002000105,"Inactivated influenza vaccine, split or subunit, unspecified",False,,
VAC0007,GARDASIL,False,SCT_NUVA-231002000102,GARDASIL,True,1,1
VAC0007,GARDASIL,False,SCT_NUVA-10271002000108,"HPV vaccine quadrivalent, unspecified",False,,
VAC0007,GARDASIL,False,SCT_NUVA-2671002000108,HPV Vaccine,False,,
VAC0008,GRIPGUARD,False,SCT_NUVA-241002000105,GRIPGUARD,True,1,1
VAC0008,GRIPGUARD,False,SCT_NUVA-11131002000105,"Trivalent inactivated influenza vaccine, unspecified",False,,
VAC0008,GRIPGUARD,False,SCT_NUVA-2051002000105,"Influenza vaccine, unspecified",False,,
VAC0008,GRIPGUARD,False,SCT_NUVA-9811002000105,"Inactivated influenza vaccine, split or subunit, unspecified",False,,
VAC0009,HBVAXPRO 10 µg,False,SCT_NUVA-261002000109,HBVAXPRO 10 µg,True,1,1
VAC0009,HBVAXPRO 10 µg,False,SCT_NUVA-10991002000104,"Hepatitis B vaccine, monovalent, pediatric dose, unspecified",False,,
VAC0009,HBVAXPRO 10 µg,False,SCT_NUVA-13831002000101,"Hepatitis B vaccine, unspecified",False,,
VAC0009,HBVAXPRO 10 µg,False,SCT_NUVA-1901002000104,"Hepatitis B vaccine, recombinant, unspecified",False,,
VAC0010,HBVAXPRO 40 µg,False,SCT_NUVA-281002000101,HBVAXPRO 40 µg,True,1,1
VAC0010,HBVAXPRO 40 µg,False,SCT_NUVA-11011002000100,"Hepatitis B vaccine, monovalent, dialysis patient dosage, unspecified",False,,
VAC0010,HBVAXPRO 40 µg,False,SCT_NUVA-13831002000101,"Hepatitis B vaccine, unspecified",False,,
VAC0010,HBVAXPRO 40 µg,False,SCT_NUVA-1901002000104,"Hepatitis B vaccine, recombinant, unspecified",False,,
VAC0011,HBVAXPRO 5 µg,False,SCT_NUVA-301002000102,HBVAXPRO 5 µg,True,1,1
VAC0011,HBVAXPRO 5 µg,False,SCT_NUVA-13831002000101,"Hepatitis B vaccine, unspecified",False,,
VAC0011,HBVAXPRO 5 µg,False,SCT_NUVA-14871002000100,"Recombinant hepatitis B vaccine, pediatric dose, unspecified",False,,
VAC0011,HBVAXPRO 5 µg,False,SCT_NUVA-1901002000104,"Hepatitis B vaccine, recombinant, unspecified",False,,
VAC0012,IMMUGRIP,False,SCT_NUVA-311002000104,IMMUGRIP,True,1,1
VAC0012,IMMUGRIP,False,SCT_NUVA-11131002000105,"Trivalent inactivated influenza vaccine, unspecified",False,,
VAC0012,IMMUGRIP,False,SCT_NUVA-2051002000105,"Influenza vaccine, unspecified",False,,
VAC0012,IMMUGRIP,False,SCT_NUVA-9811002000105,"Inactivated influenza vaccine, split or subunit, unspecified",False,,
VAC0013,IMOVAX POLIO,False,SCT_NUVA-321002000105,IMOVAX POLIO,True,1,1
VAC0013,IMOVAX POLIO,False,SCT_NUVA-2341002000105,"Polio vaccine, unspecified",False,,
VAC0013,IMOVAX POLIO,False,SCT_NUVA-3891002000104,"Inactivated Polio vaccine, unspecified",False,,
VAC0014,INFANRIX HEXA,False,SCT_NUVA-341002000100,INFANRIX HEXA,True,1,1
VAC0014,INFANRIX HEXA,False,SCT_NUVA-13791002000106,"Hexavalent vaccine DTPaHibPHepB - Diphtheria-Tetanus-Pertussis-Hib-Polio-Hepatitis B 10µg, unspecified",False,,
VAC0014,INFANRIX HEXA,False,SCT_NUVA-6871002000108,"Hexavalent vaccine DTPCaHibHepB - Diphtheria-Tetanus-Polio-Acellular Pertussis-Hib-HepB, unspecified",False,,
VAC0014,INFANRIX HEXA,False,SCT_NUVA-9401002000109,"Hexavalent vaccine DTPerHibPHepB - Diphtheria-Tetanus-Pertussis-Polio-Hib-Hepatitis B vaccine, unspecified",False,,
VAC0015,INFANRIXQUINTA,False,SCT_NUVA-351002000103,INFANRIXQUINTA,True,1,1
VAC0015,INFANRIXQUINTA,False,SCT_NUVA-10491002000108,"Pentavalent Diphtheria-Tetanus-Pertussis-Hib-Polio (DTPerHibIPV) vaccine, unspecified",False,,
VAC0015,INFANRIXQUINTA,False,SCT_NUVA-13731002000107,"Pentavalent vaccine DTPaHibP - Diphtheria-Tetanus-Pertussis-Hib PRP-Polio, unspecified",False,,
VAC0015,INFANRIXQUINTA,False,SCT_NUVA-6341002000106,"Pentavalent DTaPHibIPV vaccine, unspecified",False,,
VAC0016,INFLUVAC,False,SCT_NUVA-361002000101,INFLUVAC,True,1,1
VAC0016,INFLUVAC,False,SCT_NUVA-11131002000105,"Trivalent inactivated influenza vaccine, unspecified",False,,
VAC0016,INFLUVAC,False,SCT_NUVA-2051002000105,"Influenza vaccine, unspecified",False,,
VAC0016,INFLUVAC,False,SCT_NUVA-9811002000105,"Inactivated influenza vaccine, split or subunit, unspecified",False,,
VAC0017,M-M-RVAXPRO,False,SCT_NUVA-401002000109,M-M-RVAXPRO,True,1,1
VAC0017,M-M-RVAXPRO,False,SCT_NUVA-2261002000101,"MMR vaccine, live attenuated, unspecified",False,,
VAC0018,MENCEVAX ACWY,False,SCT_NUVA-451002000108,MENCEVAX ACWY,True,1,1
VAC0018,MENCEVAX ACWY,False,SCT_NUVA-2601002000104,"Unconjugated meningococcal vaccine ACWY, unspecified",False,,
VAC0019,MENINGITEC,False,SCT_NUVA-471002000100,MENINGITEC,True,1,1
VAC0019,MENINGITEC,False,SCT_NUVA-14711002000100,"Meningococcal C polysaccharide vaccine conjugated to CRM197 protein, unspecified",False,,
VAC0019,MENINGITEC,False,SCT_NUVA-2581002000107,"Meningococcal conjugate vaccine C, unspecified",False,,
VAC0020,MENJUGATEKIT 10 µg,False,SCT_NUVA-481002000102,MENJUGATEKIT 10 µg,True,1,1
VAC0020,MENJUGATEKIT 10 µg,False,SCT_NUVA-14711002000100,"Meningococcal C polysaccharide vaccine conjugated to CRM197 protein, unspecified",False,,
VAC0020,MENJUGATEKIT 10 µg,False,SCT_NUVA-2581002000107,"Meningococcal conjugate vaccine C, unspecified",False,,
VAC0021,MUTAGRIP,False,SCT_NUVA-491002000104,MUTAGRIP,True,1,1
VAC0021,MUTAGRIP,False,SCT_NUVA-11131002000105,"Trivalent inactivated influenza vaccine, unspecified",False,,
VAC0021,MUTAGRIP,False,SCT_NUVA-2051002000105,"Influenza vaccine, unspecified",False,,
VAC0021,MUTAGRIP,False,SCT_NUVA-9811002000105,"Inactivated influenza vaccine, split or subunit, unspecified",False,,
VAC0022,NEISVAC,False,SCT_NUVA-511002000108,NEISVAC,True,1,1
VAC0022,NEISVAC,False,SCT_NUVA-14431002000100,"Meningococcal C polysaccharide vaccine conjugated to tetanus toxoid, unspecified",False,,
VAC0022,NEISVAC,False,SCT_NUVA-2581002000107,"Meningococcal conjugate vaccine C, unspecified",False,,
VAC0023,PENTAVAC,False,SCT_NUVA-521002000102,PENTAVAC,True,1,1
VAC0023,PENTAVAC,False,SCT_NUVA-10491002000108,"Pentavalent Diphtheria-Tetanus-Pertussis-Hib-Polio (DTPerHibIPV) vaccine, unspecified",False,,
VAC0023,PENTAVAC,False,SCT_NUVA-13731002000107,"Pentavalent vaccine DTPaHibP - Diphtheria-Tetanus-Pertussis-Hib PRP-Polio, unspecified",False,,
VAC0023,PENTAVAC,False,SCT_NUVA-6341002000106,"Pentavalent DTaPHibIPV vaccine, unspecified",False,,
VAC0024,PNEUMO 23,False,SCT_NUVA-761002000100,PNEUMO 23,True,1,1
VAC0024,PNEUMO 23,False,SCT_NUVA-2681002000106,"Pneumococcal vaccine, unspecified",False,,
VAC0024,PNEUMO 23,False,SCT_NUVA-4611002000108,"Pneumococcal polysaccharide vaccine 23-valent, unspecified",False,,
VAC0024,PNEUMO 23,False,SCT_NUVA-9701002000101,"Pneumococcal unconjugated polysaccharide vaccine, unspecified",False,,
VAC0025,PREVENAR,False,SCT_NUVA-841002000109,PREVENAR,True,1,1
VAC0025,PREVENAR,False,SCT_NUVA-2681002000106,"Pneumococcal vaccine, unspecified",False,,
VAC0025,PREVENAR,False,SCT_NUVA-4471002000104,"Pneumococcal conjugate vaccine, 7 valent, unspecified",False,,
VAC0025,PREVENAR,False,SCT_NUVA-9721002000109,"Pneumococcal conjugate vaccine, serotypes unspecified",False,,
VAC0026,PREVIGRIP,False,SCT_NUVA-851002000106,PREVIGRIP,True,1,1
VAC0026,PREVIGRIP,False,SCT_NUVA-11131002000105,"Trivalent inactivated influenza vaccine, unspecified",False,,
VAC0026,PREVIGRIP,False,SCT_NUVA-2051002000105,"Influenza vaccine, unspecified",False,,
VAC0026,PREVIGRIP,False,SCT_NUVA-9811002000105,"Inactivated influenza vaccine, split or subunit, unspecified",False,,
VAC0027,R.O.R. VAX,False,SCT_NUVA-861002000108,R.O.R. VAX,True,1,1
VAC0027,R.O.R. VAX,False,SCT_NUVA-2261002000101,"MMR vaccine, live attenuated, unspecified",False,,
VAC0028,RABIPUR,False,SCT_NUVA-881002000100,RABIPUR,True,1,1
VAC0028,RABIPUR,False,SCT_NUVA-11391002000106,"Chicken embryo rabies vaccine, unspecified",False,,
VAC0028,RABIPUR,False,SCT_NUVA-2281002000109,"Rabies vaccine, unspecified",False,,
VAC0029,REPEVAX,False,SCT_NUVA-911002000100,REPEVAX,True,1,1
VAC0029,REPEVAX,False,SCT_NUVA-2391002000103,"Diphtheria-Tetanus-Pertussis-Polio vaccine, unspecified",False,,
VAC0029,REPEVAX,False,SCT_NUVA-7141002000105,"TdapIPV - Diphtheria-Tetanus-Pertussis-Polio vaccine, low dose, unspecified",False,,
VAC0030,REVAXIS,False,SCT_NUVA-921002000106,REVAXIS,True,1,1
VAC0030,REVAXIS,False,SCT_NUVA-10231002000105,"Diphtheria-Tetanus-Polio vaccine, unspecified",False,,
VAC0030,REVAXIS,False,SCT_NUVA-6841002000102,"dTIPV - Diphtheria-Tetanus-Polio, low dose, unspecified",False,,
VAC0031,ROTATEQ,False,SCT_NUVA-941002000101,ROTATEQ,True,1,1
VAC0031,ROTATEQ,False,SCT_NUVA-2701002000109,"Rotavirus vaccine, unspecified",False,,
VAC0031,ROTATEQ,False,SCT_NUVA-9901002000103,"Rotavirus pentavalent vaccine, unspecified",False,,
VAC0032,ROUVAX,False,SCT_NUVA-951002000104,ROUVAX,True,1,1
VAC0032,ROUVAX,False,SCT_NUVA-2101002000105,"Live attenuated measles vaccine, unspecified",False,,
VAC0033,RUDIVAX,False,SCT_NUVA-961002000102,RUDIVAX,True,1,1
VAC0033,RUDIVAX,False,SCT_NUVA-2091002000101,"Rubella vaccine, live attenuated, unspecified",False,,
VAC0034,SPIROLEPT,False,SCT_NUVA-981002000105,SPIROLEPT,True,1,1
VAC0034,SPIROLEPT,False,SCT_NUVA-2551002000101,"Leptospirosis vaccine, unspecified",False,,
VAC0035,STAMARIL,False,SCT_NUVA-1001002000100,STAMARIL,True,1,1
VAC0035,STAMARIL,False,SCT_NUVA-2061002000107,"Yellow fever vaccine, unspecified",False,,
VAC0036,TETAGRIP,False,SCT_NUVA-1011002000102,TETAGRIP,True,1,1
VAC0036,TETAGRIP,False,SCT_NUVA-13881002000100,"Trivalent inactivated seasonal influenza vaccine and tetanus toxoid, unspecified",False,,
VAC0037,TETRAVAC-ACELLULAIRE,False,SCT_NUVA-1021002000108,TETRAVAC-ACELLULAIRE,True,1,1
VAC0037,TETRAVAC-ACELLULAIRE,False,SCT_NUVA-2391002000103,"Diphtheria-Tetanus-Pertussis-Polio vaccine, unspecified",False,,
VAC0037,TETRAVAC-ACELLULAIRE,False,SCT_NUVA-6861002000103,"DTaPIPV vaccine, standard dose, unspecified",False,,
VAC0038,"TICOVAC 0,5 mL",False,SCT_NUVA-1041002000103,"TICOVAC 0,5 mL",True,1,1
VAC0038,"TICOVAC 0,5 mL",False,SCT_NUVA-12531002000109,"Tick-borne encephalitis vaccine, Neudörfl strain, adult dose, unspecified",False,,
VAC0038,"TICOVAC 0,5 mL",False,SCT_NUVA-2511002000102,"Tick-borne encephalitis vaccine, unspecified",False,,
VAC0039,"TICOVAC 0,25 mL",False,SCT_NUVA-1061002000104,"TICOVAC 0,25 mL",True,1,1
VAC0039,"TICOVAC 0,25 mL",False,SCT_NUVA-12521002000106,"Tick-borne encephalitis vaccine, Neudörfl strain, paediatric dose, unspecified",False,,
VAC0039,"TICOVAC 0,25 mL",False,SCT_NUVA-2511002000102,"Tick-borne encephalitis vaccine, unspecified",False,,
VAC0040,TYAVAX,False,SCT_NUVA-1091002000105,TYAVAX,True,1,1
VAC0040,TYAVAX,False,SCT_NUVA-13721002000109,"Vaccine against typhoid fever and hepatitis A, unspecified",False,,
VAC0040,TYAVAX,False,SCT_NUVA-8551002000103,"Typhoid-hepatitis A vaccine, unspecified",False,,
VAC0041,TYPHIM VI,False,SCT_NUVA-1101002000101,TYPHIM VI,True,1,1
VAC0041,TYPHIM VI,False,SCT_NUVA-2081002000104,"Typhoid vaccine, unspecified",False,,
VAC0041,TYPHIM VI,False,SCT_NUVA-8561002000101,"Typhoid polysaccharide vaccine, unspecified",False,,
VAC0042,VACCIN BCG SSI,False,SCT_NUVA-1121002000109,VACCIN BCG SSI,True,1,1
VAC0042,VACCIN BCG SSI,False,SCT_NUVA-2321002000100,"BCG vaccine, unspecified",False,,
VAC0043,BOOSTRIXTETRA,False,SCT_NUVA-1131002000107,BOOSTRIXTETRA,True,1,1
VAC0043,BOOSTRIXTETRA,False,SCT_NUVA-2391002000103,"Diphtheria-Tetanus-Pertussis-Polio vaccine, unspecified",False,,
VAC0043,BOOSTRIXTETRA,False,SCT_NUVA-7141002000105,"TdapIPV - Diphtheria-Tetanus-Pertussis-Polio vaccine, low dose, unspecified",False,,
VAC0044,CERVARIX,False,SCT_NUVA-1151002000102,CERVARIX,True,1,1
VAC0044,CERVARIX,False,SCT_NUVA-10261002000103,"HPV vaccine bivalent, unspecified",False,,
VAC0044,CERVARIX,False,SCT_NUVA-2671002000108,HPV Vaccine,False,,
VAC0045,ENGERIX B 10 µg,False,SCT_NUVA-1161002000100,ENGERIX B 10 µg,True,1,1
VAC0045,ENGERIX B 10 µg,False,SCT_NUVA-10991002000104,"Hepatitis B vaccine, monovalent, pediatric dose, unspecified",False,,
VAC0045,ENGERIX B 10 µg,False,SCT_NUVA-13831002000101,"Hepatitis B vaccine, unspecified",False,,
VAC0045,ENGERIX B 10 µg,False,SCT_NUVA-1901002000104,"Hepatitis B vaccine, recombinant, unspecified",False,,
VAC0046,ENGERIX B 20 µg,False,SCT_NUVA-1181002000108,ENGERIX B 20 µg,True,1,1
VAC0046,ENGERIX B 20 µg,False,SCT_NUVA-11001002000103,"Hepatitis B vaccine, monovalent, adult dose, unspecified",False,,
VAC0046,ENGERIX B 20 µg,False,SCT_NUVA-13831002000101,"Hepatitis B vaccine, unspecified",False,,
VAC0046,ENGERIX B 20 µg,False,SCT_NUVA-1901002000104,"Hepatitis B vaccine, recombinant, unspecified",False,,
VAC0047,FLUARIX,False,SCT_NUVA-1191002000106,FLUARIX,True,1,1
VAC0047,FLUARIX,False,SCT_NUVA-11131002000105,"Trivalent inactivated influenza vaccine, unspecified",False,,
VAC0047,FLUARIX,False,SCT_NUVA-2051002000105,"Influenza vaccine, unspecified",False,,
VAC0047,FLUARIX,False,SCT_NUVA-9811002000105,"Inactivated influenza vaccine, split or subunit, unspecified",False,,
VAC0048,GENHEVAC B PASTEUR,False,SCT_NUVA-1201002000109,GENHEVAC B PASTEUR,True,1,1
VAC0048,GENHEVAC B PASTEUR,False,SCT_NUVA-11001002000103,"Hepatitis B vaccine, monovalent, adult dose, unspecified",False,,
VAC0048,GENHEVAC B PASTEUR,False,SCT_NUVA-13831002000101,"Hepatitis B vaccine, unspecified",False,,
VAC0048,GENHEVAC B PASTEUR,False,SCT_NUVA-1901002000104,"Hepatitis B vaccine, recombinant, unspecified",False,,
VAC0049,HAVRIX 1440 U/1mL,False,SCT_NUVA-1211002000107,HAVRIX 1440 U/1mL,True,1,1
VAC0049,HAVRIX 1440 U/1mL,False,SCT_NUVA-10941002000106,"Inactivated hepatitis A vaccine, adult dose, unspecified",False,,
VAC0049,HAVRIX 1440 U/1mL,False,SCT_NUVA-15081002000107,"Hepatitis A vaccine, unspecified",False,,
VAC0049,HAVRIX 1440 U/1mL,False,SCT_NUVA-1911002000101,"Inactivated hepatitis A vaccine, unspecified",False,,
VAC0050,"HAVRIX 720 U/0,5 mL",False,SCT_NUVA-1231002000103,"HAVRIX 720 U/0,5 mL",True,1,1
VAC0050,"HAVRIX 720 U/0,5 mL",False,SCT_NUVA-10951002000108,"Hepatitis A whole inactivated vaccine, monovalent, pediatric dose, unspecified",False,,
VAC0050,"HAVRIX 720 U/0,5 mL",False,SCT_NUVA-10971002000100,"Hepatitis A vaccine, pediatric dose, unspecified",False,,
VAC0050,"HAVRIX 720 U/0,5 mL",False,SCT_NUVA-15081002000107,"Hepatitis A vaccine, unspecified",False,,
VAC0050,"HAVRIX 720 U/0,5 mL",False,SCT_NUVA-1911002000101,"Inactivated hepatitis A vaccine, unspecified",False,,
VAC0051,INFANRIXTETRA,False,SCT_NUVA-1241002000106,INFANRIXTETRA,True,1,1
VAC0051,INFANRIXTETRA,False,SCT_NUVA-2391002000103,"Diphtheria-Tetanus-Pertussis-Polio vaccine, unspecified",False,,
VAC0051,INFANRIXTETRA,False,SCT_NUVA-6861002000103,"DTaPIPV vaccine, standard dose, unspecified",False,,
VAC0052,VACCIN MENINGOCOCCIQUE A+C,False,SCT_NUVA-1251002000108,VACCIN MENINGOCOCCIQUE A+C,True,1,1
VAC0052,VACCIN MENINGOCOCCIQUE A+C,False,SCT_NUVA-2591002000105,"Meningococcal A + C vaccine, unspecified",False,,
VAC0053,PRIORIX,False,SCT_NUVA-1261002000105,PRIORIX,True,1,1
VAC0053,PRIORIX,False,SCT_NUVA-2261002000101,"MMR vaccine, live attenuated, unspecified",False,,
VAC0054,VACCIN RABIQUE PASTEUR,False,SCT_NUVA-1281002000102,VACCIN RABIQUE PASTEUR,True,1,1
VAC0054,VACCIN RABIQUE PASTEUR,False,SCT_NUVA-13741002000104,"Rabies vaccine, whole inactivated, prepared in Vero cell culture, unspecified",False,,
VAC0054,VACCIN RABIQUE PASTEUR,False,SCT_NUVA-2281002000109,"Rabies vaccine, unspecified",False,,
VAC0056,VACCIN TETANIQUE PASTEUR,False,SCT_NUVA-1291002000104,VACCIN TETANIQUE PASTEUR,True,1,1
VAC0056,VACCIN TETANIQUE PASTEUR,False,SCT_NUVA-2291002000107,"Tetanus vaccine, unspecified",False,,
VAC0057,TWINRIX 20 µg,False,SCT_NUVA-1311002000100,TWINRIX 20 µg,True,1,1
VAC0057,TWINRIX 20 µg,False,SCT_NUVA-7801002000101,"Hepatitis A + Hepatitis B vaccine Adult, unspecified",False,,
VAC0057,TWINRIX 20 µg,False,SCT_NUVA-9871002000103,"Combined hepatitis A and hepatitis B vaccine, unspecified",False,,
VAC0058,TWINRIX 10 µg,False,SCT_NUVA-1331002000109,TWINRIX 10 µg,True,1,1
VAC0058,TWINRIX 10 µg,False,SCT_NUVA-7791002000102,"Hepatitis A + Hepatitis B vaccine Child, unspecified",False,,
VAC0058,TWINRIX 10 µg,False,SCT_NUVA-9871002000103,"Combined hepatitis A and hepatitis B vaccine, unspecified",False,,
VAC0059,TYPHERIX,False,SCT_NUVA-1341002000101,TYPHERIX,True,1,1
VAC0059,TYPHERIX,False,SCT_NUVA-2081002000104,"Typhoid vaccine, unspecified",False,,
VAC0059,TYPHERIX,False,SCT_NUVA-8561002000101,"Typhoid polysaccharide vaccine, unspecified",False,,
VAC0060,VARILRIX,False,SCT_NUVA-1361002000102,VARILRIX,True,1,1
VAC0060,VARILRIX,False,SCT_NUVA-2711002000107,"Chickenpox vaccine, unspecified",False,,
VAC0061,VARIVAX,False,SCT_NUVA-1371002000107,VARIVAX,True,1,1
VAC0061,VARIVAX,False,SCT_NUVA-2711002000107,"Chickenpox vaccine, unspecified",False,,
VAC0062,VAXIGRIP,False,SCT_NUVA-1381002000105,VAXIGRIP,True,1,1
VAC0062,VAXIGRIP,False,SCT_NUVA-11131002000105,"Trivalent inactivated influenza vaccine, unspecified",False,,
VAC0062,VAXIGRIP,False,SCT_NUVA-2051002000105,"Influenza vaccine, unspecified",False,,
VAC0062,VAXIGRIP,False,SCT_NUVA-9811002000105,"Inactivated influenza vaccine, split or subunit, unspecified",False,,
VAC0063,TETRACOQ,False,SCT_NUVA-1401002000105,TETRACOQ,True,1,1
VAC0063,TETRACOQ,False,SCT_NUVA-14101002000102,"Quadrivalent DTPeP vaccine - Diphtheria-Tetanus-Pertussis-Polio, unspecified",False,,
VAC0063,TETRACOQ,False,SCT_NUVA-2391002000103,"Diphtheria-Tetanus-Pertussis-Polio vaccine, unspecified",False,,
VAC0064,PENTACOQ,False,SCT_NUVA-1411002000108,PENTACOQ,True,1,1
VAC0064,PENTACOQ,False,SCT_NUVA-10491002000108,"Pentavalent Diphtheria-Tetanus-Pertussis-Hib-Polio (DTPerHibIPV) vaccine, unspecified",False,,
VAC0064,PENTACOQ,False,SCT_NUVA-13841002000109,"Pentavalent DTP Hib vaccine - Diphtheria-Tetanus-Pertussis-Hib PRP-Polio, unspecified",False,,
VAC0064,PENTACOQ,False,SCT_NUVA-6881002000106,"Pentavalent DTwPHibIPV vaccine, unspecified",False,,
VAC0066,DTCP PASTEUR,False,SCT_NUVA-1421002000102,DTCP PASTEUR,True,1,1
VAC0066,DTCP PASTEUR,False,SCT_NUVA-2391002000103,"Diphtheria-Tetanus-Pertussis-Polio vaccine, unspecified",False,,
VAC0066,DTCP PASTEUR,False,SCT_NUVA-6861002000103,"DTaPIPV vaccine, standard dose, unspecified",False,,
VAC0067,HAVRIX 360 U,False,SCT_NUVA-1431002000104,HAVRIX 360 U,True,1,1
VAC0067,HAVRIX 360 U,False,SCT_NUVA-10951002000108,"Hepatitis A whole inactivated vaccine, monovalent, pediatric dose, unspecified",False,,
VAC0067,HAVRIX 360 U,False,SCT_NUVA-10971002000100,"Hepatitis A vaccine, pediatric dose, unspecified",False,,
VAC0067,HAVRIX 360 U,False,SCT_NUVA-15081002000107,"Hepatitis A vaccine, unspecified",False,,
VAC0067,HAVRIX 360 U,False,SCT_NUVA-1911002000101,"Inactivated hepatitis A vaccine, unspecified",False,,
VAC0068,MONOVAX,False,SCT_NUVA-1441002000107,MONOVAX,True,1,1
VAC0068,MONOVAX,False,SCT_NUVA-2321002000100,"BCG vaccine, unspecified",False,,
VAC0069,MENOMUNE,False,SCT_NUVA-1451002000109,MENOMUNE,True,1,1
VAC0069,MENOMUNE,False,SCT_NUVA-2601002000104,"Unconjugated meningococcal vaccine ACWY, unspecified",False,,
VAC0070,DT BIS,False,SCT_NUVA-1461002000106,DT BIS,True,1,1
VAC0070,DT BIS,False,SCT_NUVA-2361002000109,"DT vaccine, unspecified",False,,
VAC0070,DT BIS,False,SCT_NUVA-5071002000106,"Tetanus diphtheria vaccine, unspecified",False,,
VAC0071,D.T. BIS - RUDIVAX,False,SCT_NUVA-1471002000101,D.T. BIS - RUDIVAX,True,1,1
VAC0071,D.T. BIS - RUDIVAX,False,SCT_NUVA-14811002000107,"Trivalent vaccine against diphtheria, tetanus and rubella, unspecified",False,,
VAC0071,D.T. BIS - RUDIVAX,False,SCT_NUVA-9361002000101,"Diphtheria-Tetanus-Rubella, unspecified",False,,
VAC0072,JE-VAX,False,SCT_NUVA-1491002000100,JE-VAX,True,1,1
VAC0072,JE-VAX,False,SCT_NUVA-11071002000107,"Japanese encephalitis vaccine, unspecified",False,,
VAC0072,JE-VAX,False,SCT_NUVA-14551002000106,"Japanese encephalitis vaccine, whole inactivated prepared from murine brain tissue, unspecified",False,,
VAC0072,JE-VAX,False,SCT_NUVA-9781002000108,"Inactivated Japanese Encephalitis vaccine, unspecified",False,,
VAC0073,IXIARO,False,SCT_NUVA-1511002000109,IXIARO,True,1,1
VAC0073,IXIARO,False,SCT_NUVA-11071002000107,"Japanese encephalitis vaccine, unspecified",False,,
VAC0073,IXIARO,False,SCT_NUVA-13691002000101,"Japanese Encephalitis Vaccine, whole inactivated, prepared on Vero cells, unspecified",False,,
VAC0073,IXIARO,False,SCT_NUVA-9781002000108,"Inactivated Japanese Encephalitis vaccine, unspecified",False,,
VAC0074,D.T. COQ MERIEUX,False,SCT_NUVA-1521002000103,D.T. COQ MERIEUX,True,1,1
VAC0074,D.T. COQ MERIEUX,False,SCT_NUVA-2351002000107,"DTwP - Diphtheria-Tetanus-Pertussis, unspecified",False,,
VAC0074,D.T. COQ MERIEUX,False,SCT_NUVA-7271002000109,"DPT Diphtheria-Pertussis-Tetanus vaccine, unspecified",False,,
VAC0076,DTVax,False,SCT_NUVA-1531002000100,DTVax,True,1,1
VAC0076,DTVax,False,SCT_NUVA-2361002000109,"DT vaccine, unspecified",False,,
VAC0076,DTVax,False,SCT_NUVA-5071002000106,"Tetanus diphtheria vaccine, unspecified",False,,
VAC0077,IMOVAX OREILLONS,False,SCT_NUVA-1541002000108,IMOVAX OREILLONS,True,1,1
