NDC,NUVA,Label
NDC-49281-0250,VAC0259,IMOVAX Rabies
NDC-49281-0252,VAC0259,IMOVAX Rabies
NDC-49281-252,VAC0259,IMOVAX Rabies
NDC-50090-2883,VAC0264,INFANRIX
NDC-58160-0810,VAC0264,INFANRIX
NDC-58160-810,VAC0264,INFANRIX
NDC-49281-0860,VAC0268,IPOL
NDC-49281-860,VAC0268,IPOL
NDC-50090-1693,VAC0268,IPOL
NDC-00006-4681,VAC0286,M-M-R II
NDC-0006-4681,VAC0286,M-M-R II
NDC-50090-1860,VAC0286,M-M-R II
NDC-54868-0980,VAC0286,M-M-R II
NDC-49281-0489,VAC0295,MENOMUNE-A/C/Y/W-135
NDC-50090-7541,VAC0325,PEDIARIX
NDC-58160-0811,VAC0325,PEDIARIX
NDC-58160-811,VAC0325,PEDIARIX
NDC-00006-4897,VAC0326,PEDVAXHIB
NDC-0006-4897,VAC0326,PEDVAXHIB
NDC-49281-0510,VAC0328,PENTACEL
NDC-49281-0511,VAC0328,PENTACEL
NDC-49281-511,VAC0328,PENTACEL
NDC-50090-7544,VAC0328,PENTACEL
NDC-00006-4739,VAC0336,PNEUMOVAX
NDC-00006-4837,VAC0336,PNEUMOVAX
NDC-00006-4943,VAC0336,PNEUMOVAX
NDC-54868-3339,VAC0336,PNEUMOVAX
NDC-54868-4320,VAC0336,PNEUMOVAX
NDC-00005-1970,VAC0341,PREVNAR
NDC-49281-0562,VAC0347,QUADRACEL
NDC-49281-0564,VAC0347,QUADRACEL
NDC-49281-564,VAC0347,QUADRACEL
NDC-50090-3096,VAC0355,RABAVERT
NDC-50632-0010,VAC0355,RABAVERT
NDC-50632-010,VAC0355,RABAVERT
NDC-58160-0964,VAC0355,RABAVERT
NDC-63851-0501,VAC0355,RABAVERT
NDC-00006-4093,VAC0356,RECOMBIVAX HB PÉDIATRIQUE
NDC-00006-4094,VAC0356,RECOMBIVAX HB PÉDIATRIQUE
NDC-00006-4980,VAC0356,RECOMBIVAX HB PÉDIATRIQUE
NDC-00006-4981,VAC0356,RECOMBIVAX HB PÉDIATRIQUE
NDC-00006-4992,VAC0356,RECOMBIVAX HB PÉDIATRIQUE
NDC-00006-4995,VAC0356,RECOMBIVAX HB PÉDIATRIQUE
NDC-0006-4093,VAC0356,RECOMBIVAX HB PÉDIATRIQUE
NDC-0006-4094,VAC0356,RECOMBIVAX HB PÉDIATRIQUE
NDC-0006-4981,VAC0356,RECOMBIVAX HB PÉDIATRIQUE
NDC-0006-4992,VAC0356,RECOMBIVAX HB PÉDIATRIQUE
NDC-0006-4995,VAC0356,RECOMBIVAX HB PÉDIATRIQUE
NDC-54868-2219,VAC0356,RECOMBIVAX HB PÉDIATRIQUE
NDC-49281-0298,VAC0405,TRIPEDIA
NDC-50632-016,VAC0451,VIVOTIF
NDC-69401-0000,VAC0451,VIVOTIF
NDC-49281-0915,VAC0457,YF-VAX
NDC-49281-915,VAC0457,YF-VAX
NDC-58160-0808,VAC0473,PRE-PANDEMIC INFLUENZA VACCINE H5N1
NDC-58160-0801,VAC0487,MENHIBRIX
NDC-58160-0809,VAC0487,MENHIBRIX
NDC-58160-0812,VAC0490,KINRIX
NDC-58160-812,VAC0490,KINRIX
NDC-49281-0215,VAC0491,TENIVAC
NDC-49281-215,VAC0491,TENIVAC
NDC-50090-2062,VAC0491,TENIVAC
NDC-33332-0010,VAC0492,AFLURIA
NDC-33332-0013,VAC0492,AFLURIA
NDC-33332-0014,VAC0492,AFLURIA
NDC-33332-0015,VAC0492,AFLURIA
NDC-33332-0016,VAC0492,AFLURIA
NDC-33332-0017,VAC0492,AFLURIA
NDC-33332-0018,VAC0492,AFLURIA
NDC-33332-0110,VAC0492,AFLURIA
NDC-33332-0113,VAC0492,AFLURIA
NDC-33332-0114,VAC0492,AFLURIA
NDC-33332-0115,VAC0492,AFLURIA
NDC-33332-0116,VAC0492,AFLURIA
NDC-33332-0117,VAC0492,AFLURIA
NDC-33332-0118,VAC0492,AFLURIA
NDC-33332-025,VAC0492,AFLURIA
NDC-33332-125,VAC0492,AFLURIA
NDC-46028-0114,VAC0495,BEXSERO
NDC-58160-0976,VAC0495,BEXSERO
NDC-58160-976,VAC0495,BEXSERO
NDC-58160-0854,VAC0514,ROTARIX
NDC-58160-740,VAC0514,ROTARIX
NDC-58160-0885,VAC0517,FLUARIXTETRA
NDC-58160-0887,VAC0517,FLUARIXTETRA
NDC-58160-0896,VAC0517,FLUARIXTETRA
NDC-58160-0898,VAC0517,FLUARIXTETRA
NDC-58160-0900,VAC0517,FLUARIXTETRA
NDC-58160-0901,VAC0517,FLUARIXTETRA
NDC-58160-0903,VAC0517,FLUARIXTETRA
NDC-58160-0905,VAC0517,FLUARIXTETRA
NDC-58160-0907,VAC0517,FLUARIXTETRA
NDC-00006-4119,VAC0523,GARDASIL 9
NDC-00006-4121,VAC0523,GARDASIL 9
NDC-0006-4119,VAC0523,GARDASIL 9
NDC-0006-4121,VAC0523,GARDASIL 9
NDC-50090-4958,VAC0523,GARDASIL 9
NDC-49281-0225,VAC0527,VACCIN DIPHTERIQUE ET TETANIQUE ADSORBE
NDC-49281-0278,VAC0527,VACCIN DIPHTERIQUE ET TETANIQUE ADSORBE
NDC-49281-0820,VAC0531,TETANOS ADSORBE MERIEUX
NDC-50090-7542,VAC0535,VAXELIS
NDC-63361-0243,VAC0535,VAXELIS
NDC-63361-0245,VAC0535,VAXELIS
NDC-63361-243,VAC0535,VAXELIS
NDC-49281-0605,VAC0539,DENGVAXIA
NDC-49281-605,VAC0539,DENGVAXIA
NDC-50090-1377,VAC0541,BOOSTRIX
NDC-50090-1831,VAC0541,BOOSTRIX
NDC-58160-0842,VAC0541,BOOSTRIX
NDC-58160-842,VAC0541,BOOSTRIX
NDC-50090-3372,VAC0567,SHINGRIX
NDC-50090-5147,VAC0567,SHINGRIX
NDC-58160-0819,VAC0567,SHINGRIX
NDC-58160-0823,VAC0567,SHINGRIX
NDC-58160-823,VAC0567,SHINGRIX
NDC-58160-849,VAC0567,SHINGRIX
NDC-58160-0806,VAC0570,HIBERIX
NDC-58160-0816,VAC0570,HIBERIX
NDC-58160-0818,VAC0570,HIBERIX
NDC-58160-726,VAC0570,HIBERIX
NDC-58160-818,VAC0570,HIBERIX
NDC-00005-0100,VAC0582,TRUMENBA
NDC-0005-0100,VAC0582,TRUMENBA
NDC-0006-4293,VAC0586,ERVEBO
NDC-49281-0590,VAC0594,MENQUADFI
NDC-49281-590,VAC0594,MENQUADFI
NDC-50090-6180,VAC0594,MENQUADFI
NDC-70461-0200,VAC0595,FLUCELVAX TETRA
NDC-70461-0201,VAC0595,FLUCELVAX TETRA
NDC-70461-0301,VAC0595,FLUCELVAX TETRA
NDC-70461-0318,VAC0595,FLUCELVAX TETRA
NDC-70461-0319,VAC0595,FLUCELVAX TETRA
NDC-70461-0320,VAC0595,FLUCELVAX TETRA
NDC-70461-0321,VAC0595,FLUCELVAX TETRA
NDC-70461-0418,VAC0595,FLUCELVAX TETRA
NDC-70461-0419,VAC0595,FLUCELVAX TETRA
NDC-70461-0420,VAC0595,FLUCELVAX TETRA
NDC-70461-0421,VAC0595,FLUCELVAX TETRA
NDC-66019-0300,VAC0636,FLUMIST QUADRIVALENT
NDC-66019-0301,VAC0636,FLUMIST QUADRIVALENT
NDC-66019-0302,VAC0636,FLUMIST QUADRIVALENT
NDC-66019-0303,VAC0636,FLUMIST QUADRIVALENT
NDC-66019-0304,VAC0636,FLUMIST QUADRIVALENT
NDC-66019-0305,VAC0636,FLUMIST QUADRIVALENT
NDC-66019-0306,VAC0636,FLUMIST QUADRIVALENT
NDC-66019-0307,VAC0636,FLUMIST QUADRIVALENT
NDC-66019-0308,VAC0636,FLUMIST QUADRIVALENT
NDC-49281-0120,VAC0642,FLUZONE HIGH-DOSE QUADRIVALENT
NDC-49281-0121,VAC0642,FLUZONE HIGH-DOSE QUADRIVALENT
NDC-49281-125,VAC0642,FLUZONE HIGH-DOSE QUADRIVALENT
NDC-49281-541,VAC0642,FLUZONE HIGH-DOSE QUADRIVALENT
NDC-49281-926,VAC0642,FLUZONE HIGH-DOSE QUADRIVALENT
NDC-83703-044,VAC0642,FLUZONE HIGH-DOSE QUADRIVALENT
NDC-00310-1222,VAC0650,VAXZEVRIA ASTRAZENECA
NDC-80777-0273,VAC0656,"SPIKEVAX 0,2 mg/mL MODERNA"
NDC-80777-0275,VAC0656,"SPIKEVAX 0,2 mg/mL MODERNA"
NDC-00069-2025,VAC0658,COMIRNATY 30 µg BIONTECH-PFIZER
NDC-59267-1000,VAC0658,COMIRNATY 30 µg BIONTECH-PFIZER
NDC-59267-1025,VAC0658,COMIRNATY 30 µg BIONTECH-PFIZER
NDC-59676-0580,VAC0666,JCOVDEN (ancien nom : JANSSEN COVID-19 VACCINE)
NDC-80631-207,VAC0667,NUVAXOVID
NDC-49281-0181,VAC0706,FLUZONE QUADRIVALENT
NDC-49281-0182,VAC0706,FLUZONE QUADRIVALENT
NDC-49281-0320,VAC0706,FLUZONE QUADRIVALENT
NDC-49281-0321,VAC0706,FLUZONE QUADRIVALENT
NDC-49281-0322,VAC0706,FLUZONE QUADRIVALENT
NDC-49281-0336,VAC0706,FLUZONE QUADRIVALENT
NDC-49281-0337,VAC0706,FLUZONE QUADRIVALENT
NDC-49281-0339,VAC0706,FLUZONE QUADRIVALENT
NDC-49281-0413,VAC0706,FLUZONE QUADRIVALENT
NDC-49281-0414,VAC0706,FLUZONE QUADRIVALENT
NDC-49281-0415,VAC0706,FLUZONE QUADRIVALENT
NDC-49281-0416,VAC0706,FLUZONE QUADRIVALENT
NDC-49281-0417,VAC0706,FLUZONE QUADRIVALENT
NDC-49281-0418,VAC0706,FLUZONE QUADRIVALENT
NDC-49281-0419,VAC0706,FLUZONE QUADRIVALENT
NDC-49281-0420,VAC0706,FLUZONE QUADRIVALENT
NDC-49281-0421,VAC0706,FLUZONE QUADRIVALENT
NDC-49281-0513,VAC0706,FLUZONE QUADRIVALENT
NDC-49281-0514,VAC0706,FLUZONE QUADRIVALENT
NDC-49281-0516,VAC0706,FLUZONE QUADRIVALENT
NDC-49281-0517,VAC0706,FLUZONE QUADRIVALENT
NDC-49281-0518,VAC0706,FLUZONE QUADRIVALENT
NDC-49281-0519,VAC0706,FLUZONE QUADRIVALENT
NDC-49281-0520,VAC0706,FLUZONE QUADRIVALENT
NDC-49281-0521,VAC0706,FLUZONE QUADRIVALENT
NDC-49281-0621,VAC0706,FLUZONE QUADRIVALENT
NDC-49281-0625,VAC0706,FLUZONE QUADRIVALENT
NDC-49281-0627,VAC0706,FLUZONE QUADRIVALENT
NDC-49281-0629,VAC0706,FLUZONE QUADRIVALENT
NDC-49281-0631,VAC0706,FLUZONE QUADRIVALENT
NDC-49281-0633,VAC0706,FLUZONE QUADRIVALENT
NDC-49281-0635,VAC0706,FLUZONE QUADRIVALENT
NDC-49281-0708,VAC0706,FLUZONE QUADRIVALENT
NDC-76420-0482,VAC0706,FLUZONE QUADRIVALENT
NDC-76420-0483,VAC0706,FLUZONE QUADRIVALENT
NDC-43528-0002,VAC0733,HEPLISAV-B
NDC-43528-0003,VAC0733,HEPLISAV-B
NDC-43528-003,VAC0733,HEPLISAV-B
NDC-50090-3469,VAC0733,HEPLISAV-B
NDC-50090-4526,VAC0733,HEPLISAV-B
NDC-50632-015,VAC0778,VAXCHORA
NDC-70460-0001,VAC0778,VAXCHORA
NDC-70460-0004,VAC0778,VAXCHORA
NDC-00006-4329,VAC0780,VAXNEUVANCE
NDC-0006-4329,VAC0780,VAXNEUVANCE
NDC-00005-2000,VAC0786,PREVNAR 20
NDC-0005-2000,VAC0786,PREVNAR 20
NDC-50090-6026,VAC0786,PREVNAR 20
NDC-59267-0078,VAC0833,COMIRNATY 10 µg BIONTECH-PFIZER
NDC-59267-1055,VAC0833,COMIRNATY 10 µg BIONTECH-PFIZER
NDC-70461-0121,VAC0836,FLUAD TETRA
NDC-80631-0100,VAC0838,COVOVAX NOVAVAX
NDC-51285-138,VAC0922,"Live attenuated adenovirus vaccine, type 4 and type 7, oral"
NDC-49281-0703,VAC0924,FLUZONE INTRADERMAL
NDC-49281-0705,VAC0924,FLUZONE INTRADERMAL
NDC-49281-0709,VAC0924,FLUZONE INTRADERMAL
NDC-49281-0710,VAC0924,FLUZONE INTRADERMAL
NDC-63851-0612,VAC0926,FLUCELVAX
NDC-70461-555,VAC0926,FLUCELVAX
NDC-70461-655,VAC0926,FLUCELVAX
NDC-42874-0117,VAC0931,FLUBLOK QUADRIVALENT
NDC-49281-0718,VAC0931,FLUBLOK QUADRIVALENT
NDC-49281-0719,VAC0931,FLUBLOK QUADRIVALENT
NDC-49281-0720,VAC0931,FLUBLOK QUADRIVALENT
NDC-49281-0721,VAC0931,FLUBLOK QUADRIVALENT
NDC-75052-0001,VAC0939,PREHEVBRIO
NDC-50632-001,VAC0966,JYNNEOS
NDC-50632-002,VAC0966,JYNNEOS
NDC-50632-022,VAC0966,JYNNEOS
NDC-50632-023,VAC0966,JYNNEOS
NDC-19515-0816,VAC0991,FLULAVAL QUADRIVALENT
NDC-19515-0818,VAC0991,FLULAVAL QUADRIVALENT
NDC-19515-0891,VAC0991,FLULAVAL QUADRIVALENT
NDC-19515-0894,VAC0991,FLULAVAL QUADRIVALENT
NDC-19515-0895,VAC0991,FLULAVAL QUADRIVALENT
NDC-19515-0896,VAC0991,FLULAVAL QUADRIVALENT
NDC-19515-0897,VAC0991,FLULAVAL QUADRIVALENT
NDC-19515-0898,VAC0991,FLULAVAL QUADRIVALENT
NDC-19515-0900,VAC0991,FLULAVAL QUADRIVALENT
NDC-19515-0901,VAC0991,FLULAVAL QUADRIVALENT
NDC-19515-0903,VAC0991,FLULAVAL QUADRIVALENT
NDC-19515-0906,VAC0991,FLULAVAL QUADRIVALENT
NDC-19515-0908,VAC0991,FLULAVAL QUADRIVALENT
NDC-19515-0909,VAC0991,FLULAVAL QUADRIVALENT
NDC-19515-0912,VAC0991,FLULAVAL QUADRIVALENT
NDC-33332-0219,VAC0992,AFLURIA QUADRIVALENT
NDC-33332-0220,VAC0992,AFLURIA QUADRIVALENT
NDC-33332-0221,VAC0992,AFLURIA QUADRIVALENT
NDC-33332-0316,VAC0992,AFLURIA QUADRIVALENT
NDC-33332-0317,VAC0992,AFLURIA QUADRIVALENT
NDC-33332-0318,VAC0992,AFLURIA QUADRIVALENT
NDC-33332-0319,VAC0992,AFLURIA QUADRIVALENT
NDC-33332-0320,VAC0992,AFLURIA QUADRIVALENT
NDC-33332-0321,VAC0992,AFLURIA QUADRIVALENT
NDC-33332-0416,VAC0992,AFLURIA QUADRIVALENT
NDC-33332-0417,VAC0992,AFLURIA QUADRIVALENT
NDC-33332-0418,VAC0992,AFLURIA QUADRIVALENT
NDC-33332-0419,VAC0992,AFLURIA QUADRIVALENT
NDC-33332-0420,VAC0992,AFLURIA QUADRIVALENT
NDC-33332-0421,VAC0992,AFLURIA QUADRIVALENT
NDC-49281-225,VAC0993,TD ADSORBED
NDC-71665-330,VAC0996,ACAM2000
NDC-71665-430,VAC0996,ACAM2000
NDC-42874-0012,VAC1013,FLUBLOK TRIVALENT
NDC-42874-0013,VAC1013,FLUBLOK TRIVALENT
NDC-42874-0014,VAC1013,FLUBLOK TRIVALENT
NDC-42874-0015,VAC1013,FLUBLOK TRIVALENT
NDC-42874-0016,VAC1013,FLUBLOK TRIVALENT
NDC-42874-0017,VAC1013,FLUBLOK TRIVALENT
NDC-49281-725,VAC1013,FLUBLOK TRIVALENT
NDC-58160-848,VAC1040,AREXVY
NDC-0069-0344,VAC1047,ABRYSVO
NDC-0069-2465,VAC1047,ABRYSVO
NDC-0069-0600,VAC1061,PENBRAYA
NDC-49281-935,VAC1070,FLUZONE HIGH-DOSE QUADRIVALENT SOUTHERN HEMISPHERE
NDC-71665-001,VAC1074,CYFENDUS
NDC-13533-0636,VAC1089,HYPERHEP B
NDC-0006-4347,VAC1254,CAPVAXIVE
NDC-80777-345,VAC1262,MRESVIA
NDC-58160-757,VAC1266,PENMENVY
NDC-50632-018,VAC1267,VIMKUNYA
NDC-0052-0603,VAC1448,BCG VACCINE MERCK
NDC-80777-400,VAC1469,mNEXSPIKE
NDC-0006-4837,VAC1480,PNEUMOVAX 23
NDC-0006-4943,VAC1480,PNEUMOVAX 23
NDC-50090-7036,VAC1480,PNEUMOVAX 23
