CTI,NUVA,Label
CTI-287962,VAC0161,ZOSTAVAX
CTI-287971,VAC0161,ZOSTAVAX
CTI-288084,VAC0161,ZOSTAVAX
CTI-288093,VAC0161,ZOSTAVAX
CTI-288102,VAC0161,ZOSTAVAX
CTI-288111,VAC0161,ZOSTAVAX
CTI-288127,VAC0161,ZOSTAVAX
CTI-288136,VAC0161,ZOSTAVAX
CTI-288145,VAC0161,ZOSTAVAX
CTI-288154,VAC0161,ZOSTAVAX
CTI-187004,VAC0165,"VAQTA 25 U/0,5 mL"
CTI-187013,VAC0165,"VAQTA 25 U/0,5 mL"
CTI-187022,VAC0166,VAQTA 50 U
CTI-187031,VAC0166,VAQTA 50 U
CTI-247493,VAC0168,AMBIRIX
CTI-247502,VAC0168,AMBIRIX
CTI-247511,VAC0168,AMBIRIX
CTI-247527,VAC0168,AMBIRIX
CTI-247536,VAC0168,AMBIRIX
CTI-385646,VAC0170,AFLUNOV
CTI-385655,VAC0170,AFLUNOV
CTI-662793,VAC0173,FLUENZ
CTI-662794,VAC0173,FLUENZ
CTI-287201,VAC0174,PROQUAD
CTI-287217,VAC0174,PROQUAD
CTI-287244,VAC0174,PROQUAD
CTI-287253,VAC0174,PROQUAD
CTI-287262,VAC0174,PROQUAD
CTI-287271,VAC0174,PROQUAD
CTI-287287,VAC0174,PROQUAD
CTI-287296,VAC0174,PROQUAD
CTI-287305,VAC0174,PROQUAD
CTI-288172,VAC0174,PROQUAD
CTI-288181,VAC0174,PROQUAD
CTI-663610,VAC0230,FLUAD
CTI-663611,VAC0230,FLUAD
CTI-663612,VAC0230,FLUAD
CTI-663613,VAC0230,FLUAD
CTI-169303,VAC0264,INFANRIX
CTI-224165,VAC0336,PNEUMOVAX
CTI-483182,VAC0336,PNEUMOVAX
CTI-534080,VAC0451,VIVOTIF
CTI-357831,VAC0475,FOCLIVIA
CTI-357847,VAC0475,FOCLIVIA
CTI-357856,VAC0475,FOCLIVIA
CTI-357865,VAC0475,FOCLIVIA
CTI-571457,VAC0475,FOCLIVIA
CTI-571466,VAC0475,FOCLIVIA
CTI-502222,VAC0479,TRIAXIS
CTI-275956,VAC0480,FENDRIX
CTI-275965,VAC0480,FENDRIX
CTI-275974,VAC0480,FENDRIX
CTI-420402,VAC0486,NIMENRIX
CTI-420411,VAC0486,NIMENRIX
CTI-420427,VAC0486,NIMENRIX
CTI-420436,VAC0486,NIMENRIX
CTI-566551,VAC0486,NIMENRIX
CTI-434506,VAC0495,BEXSERO
CTI-434515,VAC0495,BEXSERO
CTI-434524,VAC0495,BEXSERO
CTI-434533,VAC0495,BEXSERO
CTI-441052,VAC0507,HEXACIMA
CTI-441061,VAC0507,HEXACIMA
CTI-441077,VAC0507,HEXACIMA
CTI-441086,VAC0507,HEXACIMA
CTI-441095,VAC0507,HEXACIMA
CTI-441104,VAC0507,HEXACIMA
CTI-441113,VAC0507,HEXACIMA
CTI-662550,VAC0507,HEXACIMA
CTI-662551,VAC0507,HEXACIMA
CTI-441122,VAC0510,HEXYON
CTI-441131,VAC0510,HEXYON
CTI-441147,VAC0510,HEXYON
CTI-441156,VAC0510,HEXYON
CTI-441165,VAC0510,HEXYON
CTI-441174,VAC0510,HEXYON
CTI-441183,VAC0510,HEXYON
CTI-495635,VAC0510,HEXYON
CTI-495644,VAC0510,HEXYON
CTI-662540,VAC0510,HEXYON
CTI-662541,VAC0510,HEXYON
CTI-324956,VAC0514,ROTARIX
CTI-324965,VAC0514,ROTARIX
CTI-324974,VAC0514,ROTARIX
CTI-324983,VAC0514,ROTARIX
CTI-324992,VAC0514,ROTARIX
CTI-325001,VAC0514,ROTARIX
CTI-325017,VAC0514,ROTARIX
CTI-565982,VAC0514,ROTARIX
CTI-444516,VAC0520,IMVANEX
CTI-661237,VAC0520,IMVANEX
CTI-663217,VAC0520,IMVANEX
CTI-482791,VAC0521,FLUENZ TETRA
CTI-482800,VAC0521,FLUENZ TETRA
CTI-475946,VAC0523,GARDASIL 9
CTI-476186,VAC0523,GARDASIL 9
CTI-476195,VAC0523,GARDASIL 9
CTI-581235,VAC0523,GARDASIL 9
CTI-494106,VAC0535,VAXELIS
CTI-494177,VAC0535,VAXELIS
CTI-494186,VAC0535,VAXELIS
CTI-494195,VAC0535,VAXELIS
CTI-494204,VAC0535,VAXELIS
CTI-494213,VAC0535,VAXELIS
CTI-494222,VAC0535,VAXELIS
CTI-538284,VAC0539,DENGVAXIA
CTI-538417,VAC0539,DENGVAXIA
CTI-538426,VAC0539,DENGVAXIA
CTI-538435,VAC0539,DENGVAXIA
CTI-538444,VAC0539,DENGVAXIA
CTI-220954,VAC0541,BOOSTRIX
CTI-220963,VAC0541,BOOSTRIX
CTI-321447,VAC0556,MENITORIX
CTI-501511,VAC0560,VAXIGRIPTETRA
CTI-514142,VAC0562,INFLUVAC TETRA
CTI-456924,VAC0563,ALPHA-RIX-TETRA
CTI-529093,VAC0567,SHINGRIX
CTI-529191,VAC0567,SHINGRIX
CTI-270435,VAC0568,BOOSTRIX-POLIO
CTI-212152,VAC0569,INFANRIX-IPV
CTI-230151,VAC0570,HIBERIX
CTI-459137,VAC0575,FSME-IMMUN
CTI-519484,VAC0582,TRUMENBA
CTI-51991,VAC0582,TRUMENBA
CTI-519982,VAC0582,TRUMENBA
CTI-520000,VAC0582,TRUMENBA
CTI-520017,VAC0582,TRUMENBA
CTI-520026,VAC0582,TRUMENBA
CTI-552080,VAC0586,ERVEBO
CTI-661685,VAC0593,VERORAB
CTI-575173,VAC0594,MENQUADFI
CTI-575182,VAC0594,MENQUADFI
CTI-593360,VAC0594,MENQUADFI
CTI-599537,VAC0594,MENQUADFI
CTI-538275,VAC0595,FLUCELVAX TETRA
CTI-566035,VAC0595,FLUCELVAX TETRA
CTI-566044,VAC0595,FLUCELVAX TETRA
CTI-566053,VAC0595,FLUCELVAX TETRA
CTI-441707,VAC0614,TDAPBOOSTER AJ VACCINES
CTI-567262,VAC0633,ZABDENO
CTI-567253,VAC0634,MVABEA
CTI-660937,VAC0644,QDENGA
CTI-660959,VAC0644,QDENGA
CTI-660960,VAC0644,QDENGA
CTI-660961,VAC0644,QDENGA
CTI-660962,VAC0644,QDENGA
CTI-660963,VAC0644,QDENGA
CTI-560471,VAC0649,EFLUELDA TETRA
CTI-577742,VAC0656,"SPIKEVAX 0,2 mg/mL MODERNA"
CTI-577164,VAC0658,COMIRNATY 30 µg BIONTECH-PFIZER
CTI-591795,VAC0658,COMIRNATY 30 µg BIONTECH-PFIZER
CTI-591804,VAC0658,COMIRNATY 30 µg BIONTECH-PFIZER
CTI-660950,VAC0658,COMIRNATY 30 µg BIONTECH-PFIZER
CTI-593884,VAC0667,NUVAXOVID
CTI-661244,VAC0667,NUVAXOVID
CTI-661582,VAC0667,NUVAXOVID
CTI-661583,VAC0667,NUVAXOVID
CTI-580880,VAC0733,HEPLISAV-B
CTI-661896,VAC0733,HEPLISAV-B
CTI-241096,VAC0736,TRIAXIS POLIO
CTI-276841,VAC0774,"FSME-IMMUN 0,25 mL"
CTI-357874,VAC0777,ADJUPANRIX
CTI-559697,VAC0778,VAXCHORA
CTI-594702,VAC0780,VAXNEUVANCE
CTI-594862,VAC0780,VAXNEUVANCE
CTI-594871,VAC0780,VAXNEUVANCE
CTI-594880,VAC0780,VAXNEUVANCE
CTI-594897,VAC0780,VAXNEUVANCE
CTI-594906,VAC0780,VAXNEUVANCE
CTI-598853,VAC0780,VAXNEUVANCE
CTI-349334,VAC0803,Polio Sabin One and Three GSK
CTI-592497,VAC0833,COMIRNATY 10 µg BIONTECH-PFIZER
CTI-592506,VAC0833,COMIRNATY 10 µg BIONTECH-PFIZER
CTI-562791,VAC0836,FLUAD TETRA
CTI-562800,VAC0836,FLUAD TETRA
CTI-562817,VAC0836,FLUAD TETRA
CTI-562826,VAC0836,FLUAD TETRA
CTI-226274,VAC0850,NEISVAC-C
CTI-389882,VAC0851,POLIO SABIN MONO TWO (ORAL) GSK
CTI-575004,VAC0871,SUPEMTEK
CTI-575111,VAC0871,SUPEMTEK
CTI-575120,VAC0871,SUPEMTEK
CTI-575137,VAC0871,SUPEMTEK
CTI-575146,VAC0871,SUPEMTEK
CTI-575155,VAC0871,SUPEMTEK
CTI-274391,VAC0886,MONO OPV1
CTI-289152,VAC0889,MONO OPV3
CTI-596657,VAC0900,PREVENAR 20
CTI-596666,VAC0900,PREVENAR 20
CTI-596675,VAC0900,PREVENAR 20
CTI-596684,VAC0900,PREVENAR 20
CTI-596693,VAC0900,PREVENAR 20
CTI-596702,VAC0900,PREVENAR 20
CTI-661366,VAC0913,BIMERVAX
CTI-662475,VAC0913,BIMERVAX
CTI-662476,VAC0913,BIMERVAX
CTI-662477,VAC0913,BIMERVAX
CTI-663850,VAC0913,BIMERVAX
CTI-663851,VAC0913,BIMERVAX
CTI-663852,VAC0913,BIMERVAX
CTI-663552,VAC0926,FLUCELVAX
CTI-663568,VAC0926,FLUCELVAX
CTI-663569,VAC0926,FLUCELVAX
CTI-663570,VAC0926,FLUCELVAX
CTI-663934,VAC0990,ALPHARIX
CTI-660572,VAC1017,SPIKEVAX BIVALENT ORIGINAL/OMICRON BA.1 (50 µg/50 µg)/mL MULTIDOSE MODERNA
CTI-660573,VAC1017,SPIKEVAX BIVALENT ORIGINAL/OMICRON BA.1 (50 µg/50 µg)/mL MULTIDOSE MODERNA
CTI-660540,VAC1019,"SPIKEVAX 0,1 mg/mL MODERNA"
CTI-660574,VAC1021,COMIRNATY ORIGINAL/OMICRON BA.1 (15/15 µg) BIONTECH-PFIZER
CTI-660575,VAC1021,COMIRNATY ORIGINAL/OMICRON BA.1 (15/15 µg) BIONTECH-PFIZER
CTI-660784,VAC1022,COMIRNATY 3 µg 6 MOIS-4 ANS BIONTECH-PFIZER
CTI-660609,VAC1023,COMIRNATY ORIGINAL/OMICRON BA.4-5 (15/15 µg) BIONTECH-PFIZER
CTI-660610,VAC1023,COMIRNATY ORIGINAL/OMICRON BA.4-5 (15/15 µg) BIONTECH-PFIZER
CTI-660953,VAC1023,COMIRNATY ORIGINAL/OMICRON BA.4-5 (15/15 µg) BIONTECH-PFIZER
CTI-660781,VAC1024,SPIKEVAX BIVALENT ORIGINAL/OMICRON BA.4-5 (50 µg/50 µg)/mL MODERNA
CTI-660541,VAC1031,SPIKEVAX 50 µg MONODOSE MODERNA
CTI-660782,VAC1032,SPIKEVAX BIVALENT ORIGINAL/OMICRON BA.1 (25 µg/25 µg) MODERNA
CTI-660783,VAC1032,SPIKEVAX BIVALENT ORIGINAL/OMICRON BA.1 (25 µg/25 µg) MODERNA
CTI-660832,VAC1033,COMIRNATY ORIGINAL/OMICRON BA.4-5 (5/5 µg) BIONTECH-PFIZER
CTI-660833,VAC1033,COMIRNATY ORIGINAL/OMICRON BA.4-5 (5/5 µg) BIONTECH-PFIZER
CTI-661712,VAC1033,COMIRNATY ORIGINAL/OMICRON BA.4-5 (5/5 µg) BIONTECH-PFIZER
CTI-661717,VAC1033,COMIRNATY ORIGINAL/OMICRON BA.4-5 (5/5 µg) BIONTECH-PFIZER
CTI-661133,VAC1036,SPIKEVAX BIVALENT ORIGINAL/OMICRON BA.4-5 25 µg/25 µg MODERNA
CTI-661136,VAC1036,SPIKEVAX BIVALENT ORIGINAL/OMICRON BA.4-5 25 µg/25 µg MODERNA
CTI-661565,VAC1040,AREXVY
CTI-661566,VAC1040,AREXVY
CTI-193961,VAC1045,INFANRIX-IPV/HIB
CTI-66081801,VAC1046,BEYFORTUS 50 MG (NIRSEVIMAB)
CTI-661771,VAC1047,ABRYSVO
CTI-66177101,VAC1047,ABRYSVO
CTI-661772,VAC1047,ABRYSVO
CTI-661773,VAC1047,ABRYSVO
CTI-661774,VAC1047,ABRYSVO
CTI-661775,VAC1047,ABRYSVO
CTI-661776,VAC1047,ABRYSVO
CTI-662412,VAC1047,ABRYSVO
CTI-663041,VAC1047,ABRYSVO
CTI-66082301,VAC1050,BEYFORTUS 100 MG (NIRSEVIMAB)
CTI-661734,VAC1051,PFIZER COMIRNATY-30 XBB.1.5
CTI-661735,VAC1051,PFIZER COMIRNATY-30 XBB.1.5
CTI-661736,VAC1051,PFIZER COMIRNATY-30 XBB.1.5
CTI-662700,VAC1051,PFIZER COMIRNATY-30 XBB.1.5
CTI-662864,VAC1051,PFIZER COMIRNATY-30 XBB.1.5
CTI-661737,VAC1052,PFIZER COMIRNATY-10 XBB.1.5
CTI-661738,VAC1052,PFIZER COMIRNATY-10 XBB.1.5
CTI-661739,VAC1052,PFIZER COMIRNATY-10 XBB.1.5
CTI-661740,VAC1053,PFIZER COMIRNATY-3 XBB.1.5
CTI-662701,VAC1053,PFIZER COMIRNATY-3 XBB.1.5
CTI-661718,VAC1054,"COMIRNATY ORIGINAL/OMICRON BA.4-5 (1,5/1,5 µg)"
CTI-661936,VAC1055,NUVAXOVID XBB.1.5
CTI-661937,VAC1055,NUVAXOVID XBB.1.5
CTI-663318,VAC1055,NUVAXOVID XBB.1.5
CTI-663319,VAC1055,NUVAXOVID XBB.1.5
CTI-252716,VAC1057,ENGERIX B JUNIOR
CTI-252725,VAC1057,ENGERIX B JUNIOR
CTI-661765,VAC1058,"SPIKEVAX XBB.1.5 0,1 mg/mL dose 50 µg MODERNA"
CTI-661766,VAC1058,"SPIKEVAX XBB.1.5 0,1 mg/mL dose 50 µg MODERNA"
CTI-661767,VAC1060,SPIKEVAX XBB.1.5 50 µg MODERNA
CTI-661768,VAC1060,SPIKEVAX XBB.1.5 50 µg MODERNA
CTI-661769,VAC1060,SPIKEVAX XBB.1.5 50 µg MODERNA
CTI-661770,VAC1060,SPIKEVAX XBB.1.5 50 µg MODERNA
CTI-662861,VAC1060,SPIKEVAX XBB.1.5 50 µg MODERNA
CTI-662862,VAC1060,SPIKEVAX XBB.1.5 50 µg MODERNA
CTI-662865,VAC1258,COMIRNATY JN.1 30 µg
CTI-662867,VAC1258,COMIRNATY JN.1 30 µg
CTI-662868,VAC1258,COMIRNATY JN.1 30 µg
CTI-662869,VAC1258,COMIRNATY JN.1 30 µg
CTI-662870,VAC1259,COMIRNATY JN.1 10 µg
CTI-662871,VAC1259,COMIRNATY JN.1 10 µg
CTI-662872,VAC1259,COMIRNATY JN.1 10 µg
CTI-662873,VAC1260,COMIRNATY JN.1 3 µg
CTI-662874,VAC1260,COMIRNATY JN.1 3 µg
CTI-663772,VAC1261,NUVAXOVID JN.1
CTI-663773,VAC1261,NUVAXOVID JN.1
CTI-663214,VAC1262,MRESVIA
CTI-663215,VAC1262,MRESVIA
CTI-663261,VAC1268,SPIKEVAX JN.1 50 µg
CTI-663262,VAC1268,SPIKEVAX JN.1 50 µg
CTI-663263,VAC1268,SPIKEVAX JN.1 50 µg
CTI-663264,VAC1268,SPIKEVAX JN.1 50 µg
CTI-663265,VAC1268,SPIKEVAX JN.1 50 µg
CTI-663266,VAC1268,SPIKEVAX JN.1 50 µg
CTI-663259,VAC1270,"SPIKEVAX JN.1 0,1 mg/mL dose 50 µg"
CTI-663260,VAC1270,"SPIKEVAX JN.1 0,1 mg/mL dose 50 µg"
CTI-662556,VAC1331,CELLDEMIC
CTI-663376,VAC1332,COMIRNATY KP.2 3 µg
CTI-663374,VAC1333,COMIRNATY KP.2 10 µg
CTI-663375,VAC1333,COMIRNATY KP.2 10 µg
CTI-663371,VAC1334,COMIRNATY KP.2 30 µg
CTI-663372,VAC1334,COMIRNATY KP.2 30 µg
CTI-663373,VAC1334,COMIRNATY KP.2 30 µg
CTI-662557,VAC1335,INCELLIPAN
CTI-663960,VAC1336,KOSTAIVE
CTI-662050,VAC1338,ZOONOTIC
CTI-662051,VAC1338,ZOONOTIC
CTI-663606,VAC1347,EFLUELDA
