NUVA;NUVA label;IsAbstract;CVC;CVC label;Best;Blur;Equiv
VAC0031;ROTATEQ;False;CVC-7821000087102;Rotavirus pentavalent vaccine, unspecified;False;;
VAC0032;ROUVAX;False;CVC-386012008;Live attenuated measles vaccine, unspecified;True;25;0
VAC0033;RUDIVAX;False;CVC-386013003;Rubella vaccine, live attenuated, unspecified;True;19;0
VAC0034;SPIROLEPT;False;;;;
VAC0035;STAMARIL;False;CVC-56844000;Yellow fever vaccine, unspecified;True;6;0
VAC0036;TETAGRIP;False;;;;
VAC0037;TETRAVAC-ACELLULAIRE;False;CVC-23721000087109;TETRAVAC-ACELLULAIRE;True;1;1
VAC0037;TETRAVAC-ACELLULAIRE;False;CVC-7871000087103;Diphtheria-Tetanus-Pertussis-Polio vaccine, unspecified;False;;
VAC0037;TETRAVAC-ACELLULAIRE;False;CVC-7881000087101;DTaPIPV vaccine, standard dose, unspecified;False;;
VAC0038;TICOVAC 0,5 mL;False;CVC-333699008;Tick-borne encephalitis vaccine, unspecified;True;10;0
VAC0039;TICOVAC 0,25 mL;False;CVC-333699008;Tick-borne encephalitis vaccine, unspecified;True;10;0
VAC0040;TYAVAX;False;CVC-333707007;Typhoid-hepatitis A vaccine, unspecified;True;5;0
VAC0041;TYPHIM VI;False;CVC-7311000087102;TYPHIM VI;True;1;1
VAC0041;TYPHIM VI;False;CVC-346639000;Typhoid polysaccharide vaccine, unspecified;False;;
VAC0041;TYPHIM VI;False;CVC-89428009;Typhoid vaccine, unspecified;False;;
VAC0042;VACCIN BCG SSI;False;CVC-418268006;BCG vaccine, unspecified;True;18;0
VAC0043;BOOSTRIXTETRA;False;CVC-7891000087104;TdapIPV - Diphtheria-Tetanus-Pertussis-Polio vaccine, low dose, unspecified;True;5;0
VAC0043;BOOSTRIXTETRA;False;CVC-7871000087103;Diphtheria-Tetanus-Pertussis-Polio vaccine, unspecified;False;;
VAC0044;CERVARIX;False;CVC-7341000087101;CERVARIX;True;1;1
VAC0044;CERVARIX;False;CVC-424519000;HPV Vaccine;False;;
VAC0044;CERVARIX;False;CVC-7791000087109;HPV vaccine bivalent, unspecified;False;;
VAC0045;ENGERIX B 10 µg;False;CVC-6921000087107;ENGERIX B 10 µg;True;1;1
VAC0045;ENGERIX B 10 µg;False;CVC-34689006;Hepatitis B vaccine, recombinant, unspecified;False;;
VAC0045;ENGERIX B 10 µg;False;CVC-9831000087108;Hepatitis B vaccine, monovalent, pediatric dose, unspecified;False;;
VAC0046;ENGERIX B 20 µg;False;CVC-6911000087104;ENGERIX B 20 µg;True;1;1
VAC0046;ENGERIX B 20 µg;False;CVC-34689006;Hepatitis B vaccine, recombinant, unspecified;False;;
VAC0046;ENGERIX B 20 µg;False;CVC-8771000087109;Hepatitis B vaccine, monovalent, adult dose, unspecified;False;;
VAC0047;FLUARIX;False;CVC-7691000087100;Trivalent inactivated influenza vaccine, unspecified;True;40;0
VAC0048;GENHEVAC B PASTEUR;False;CVC-8771000087109;Hepatitis B vaccine, monovalent, adult dose, unspecified;True;14;0
VAC0048;GENHEVAC B PASTEUR;False;CVC-34689006;Hepatitis B vaccine, recombinant, unspecified;False;;
VAC0049;HAVRIX 1440 U/1mL;False;CVC-6871000087101;HAVRIX 1440 U/1mL;True;1;1
VAC0050;HAVRIX 720 U/0,5 mL;False;CVC-6881000087104;HAVRIX 720 U/0,5 mL;True;1;1
VAC0050;HAVRIX 720 U/0,5 mL;False;CVC-9811000087103;Hepatitis A whole inactivated vaccine, monovalent, pediatric dose, unspecified;False;;
VAC0051;INFANRIXTETRA;False;CVC-7881000087101;DTaPIPV vaccine, standard dose, unspecified;True;8;0
VAC0051;INFANRIXTETRA;False;CVC-7871000087103;Diphtheria-Tetanus-Pertussis-Polio vaccine, unspecified;False;;
VAC0052;VACCIN MENINGOCOCCIQUE A+C;False;CVC-21721000087105;Meningococcal A + C vaccine, unspecified;True;7;0
VAC0052;VACCIN MENINGOCOCCIQUE A+C;False;CVC-7091000087106;Meningococcal A + C vaccine, unspecified;True;7;0
VAC0053;PRIORIX;False;CVC-7171000087106;PRIORIX;True;1;1
VAC0053;PRIORIX;False;CVC-61153008;MMR vaccine, live attenuated, unspecified;False;;
VAC0054;VACCIN RABIQUE PASTEUR;False;;;;
VAC0056;VACCIN TETANIQUE PASTEUR;False;CVC-333621002;Tetanus vaccine, unspecified;True;36;0
VAC0057;TWINRIX 20 µg;False;CVC-24371000087105;Hepatitis A + Hepatitis B vaccine Adult, unspecified;True;3;0
VAC0058;TWINRIX 10 µg;False;CVC-6971000087106;TWINRIX 10 µg;True;1;1
VAC0058;TWINRIX 10 µg;False;CVC-9801000087100;Hepatitis A + Hepatitis B vaccine Child, unspecified;False;;
VAC0059;TYPHERIX;False;CVC-7301000087104;TYPHERIX;True;1;1
VAC0059;TYPHERIX;False;CVC-346639000;Typhoid polysaccharide vaccine, unspecified;False;;
VAC0059;TYPHERIX;False;CVC-89428009;Typhoid vaccine, unspecified;False;;
VAC0060;VARILRIX;False;CVC-31541000087105;VARILRIX;True;1;2
VAC0060;VARILRIX;False;CVC-7231000087104;VARILRIX;True;1;2
VAC0060;VARILRIX;False;CVC-108729007;Chickenpox vaccine, unspecified;False;;
VAC0061;VARIVAX;False;CVC-7241000087105;VARIVAX;True;1;1
VAC0061;VARIVAX;False;CVC-108729007;Chickenpox vaccine, unspecified;False;;
VAC0062;VAXIGRIP;False;CVC-7561000087109;VAXIGRIP;True;1;1
VAC0062;VAXIGRIP;False;CVC-7691000087100;Trivalent inactivated influenza vaccine, unspecified;False;;
VAC0063;TETRACOQ;False;CVC-7871000087103;Diphtheria-Tetanus-Pertussis-Polio vaccine, unspecified;True;7;0
VAC0064;PENTACOQ;False;;;;
VAC0066;DTCP PASTEUR;False;CVC-7881000087101;DTaPIPV vaccine, standard dose, unspecified;True;8;0
VAC0066;DTCP PASTEUR;False;CVC-7871000087103;Diphtheria-Tetanus-Pertussis-Polio vaccine, unspecified;False;;
VAC0067;HAVRIX 360 U;False;CVC-9811000087103;Hepatitis A whole inactivated vaccine, monovalent, pediatric dose, unspecified;True;2;0
VAC0068;MONOVAX;False;CVC-418268006;BCG vaccine, unspecified;True;18;0
VAC0069;MENOMUNE;False;CVC-420261000;Unconjugated meningococcal vaccine ACWY, unspecified;True;5;0
VAC0069;MENOMUNE;False;CVC-7101000087101;Unconjugated meningococcal vaccine ACWY, unspecified;True;5;0
VAC0070;DT BIS;False;CVC-7921000087109;DT vaccine, unspecified;True;28;0
VAC0071;D.T. BIS - RUDIVAX;False;;;;
VAC0072;JE-VAX;False;CVC-9821000087106;JE-VAX;True;1;1
VAC0072;JE-VAX;False;CVC-333697005;Japanese encephalitis vaccine, unspecified;False;;
VAC0073;IXIARO;False;CVC-21771000087109;IXIARO;True;1;2
VAC0073;IXIARO;False;CVC-7151000087100;IXIARO;True;1;2
VAC0073;IXIARO;False;CVC-333697005;Japanese encephalitis vaccine, unspecified;False;;
VAC0074;D.T. COQ MERIEUX;False;CVC-7831000087100;DPT Diphtheria-Pertussis-Tetanus vaccine, unspecified;True;29;0
VAC0076;DTVax;False;CVC-7921000087109;DT vaccine, unspecified;True;28;0
VAC0077;IMOVAX OREILLONS;False;CVC-90043005;Mumps vaccine, unspecified;True;12;0
VAC0078;RUDI-ROUVAX;False;CVC-7281000087100;Measles-Rubella vaccine, unspecified;True;12;0
VAC0079;ENCEPUR;False;CVC-333699008;Tick-borne encephalitis vaccine, unspecified;True;10;0
VAC0080;BCG PASTEUR;False;CVC-7011000087100;BCG PASTEUR;True;1;1
VAC0080;BCG PASTEUR;False;CVC-418268006;BCG vaccine, unspecified;False;;
VAC0082;MENBVAC;False;CVC-785864002;Meningococcal B vaccine, unspecified;True;7;0
VAC0083;SYNFLORIX;False;CVC-7671000087104;SYNFLORIX;True;1;1
VAC0083;SYNFLORIX;False;CVC-135642004;Pneumococcal vaccine, unspecified;False;;
VAC0083;SYNFLORIX;False;CVC-333598008;Pneumococcal vaccine, unspecified;False;;
VAC0083;SYNFLORIX;False;CVC-7261000087106;Pneumococcal conjugate vaccine, serotypes unspecified;False;;
VAC0084;H5N1 pre-pandemic influenza vaccine, unspecified;True;CVC-1003499009;H5N1 pre-pandemic influenza vaccine, unspecified;True;16;1
VAC0085;T POLIO MERIEUX;False;CVC-7751000087104;T.Polio, unspecified;True;4;0
VAC0086;TETAVAX;False;CVC-333621002;Tetanus vaccine, unspecified;True;36;0
VAC0087;VAXICOQ;False;CVC-61602008;Pertussis vaccine, unspecified;True;7;0
VAC0088;DTIPV vaccine, unspecified;True;CVC-7901000087103;DTIPV vaccine, unspecified;True;9;1
VAC0090;VACCIN BRUCELLIQUE P.I. à usage humain;False;;;;
VAC0091;VACCIN CCB PASTEUR;False;CVC-135642004;Pneumococcal vaccine, unspecified;True;8;0
VAC0091;VACCIN CCB PASTEUR;False;CVC-333598008;Pneumococcal vaccine, unspecified;True;8;0
VAC0092;VACCIN CHOLERIQUE PASTEUR;False;CVC-35736007;Cholera vaccine, unspecified;True;20;0
VAC0093;VACCIN DT TAB PASTEUR;False;;;;
VAC0094;VACCIN SABIN POLIOVAC MERIEUX;False;CVC-125690004;Monovalent oral polio vaccine - type unknown, unspecified;True;28;0
VAC0094;VACCIN SABIN POLIOVAC MERIEUX;False;CVC-111164008;Polio vaccine, unspecified;False;;
VAC0095;VACCIN TAB PASTEUR;False;CVC-89428009;Typhoid vaccine, unspecified;True;23;0
VAC0096;VACCIN GRIPPAL RONCHESE (VGR);False;CVC-7691000087100;Trivalent inactivated influenza vaccine, unspecified;True;40;0
VAC0097;VACCIN LEPTOSPIRES ICTEROHEMORRAGIAE PASTEUR;False;;;;
VAC0098;HEXAVAC;False;CVC-7731000087108;Hexavalent vaccine DTPCaHibHepB - Diphtheria-Tetanus-Polio-Acellular Pertussis-Hib-HepB, unspecified;True;8;0
VAC0099;MENINVACT;False;CVC-359068008;Meningococcal conjugate vaccine C, unspecified;True;8;0
VAC0101;Hepatitis B vaccine, recombinant, unspecified;True;CVC-34689006;Hepatitis B vaccine, recombinant, unspecified;True;6;1
VAC0102;Inactivated hepatitis A vaccine, unspecified;True;;;;
VAC0103;MENACTRA;False;CVC-7131000087109;MENACTRA;True;1;1
VAC0103;MENACTRA;False;CVC-7121000087107;Meningococcal ACWY conjugate vaccine, unspecified;False;;
VAC0104;HUMENZA;False;CVC-443651005;Influenza A(H1N1)2009 vaccine, unspecified;True;10;0
VAC0104;HUMENZA;False;CVC-6981000087108;Influenza A(H1N1)2009 vaccine, unspecified;True;10;0
VAC0104;HUMENZA;False;CVC-6991000087105;Influenza A(H1N1)2009 vaccine, unspecified;True;10;0
VAC0104;HUMENZA;False;CVC-7001000087102;Influenza A(H1N1)2009 vaccine, unspecified;True;10;0
VAC0105;PANENZA;False;CVC-443651005;Influenza A(H1N1)2009 vaccine, unspecified;True;10;0
VAC0105;PANENZA;False;CVC-6981000087108;Influenza A(H1N1)2009 vaccine, unspecified;True;10;0
VAC0105;PANENZA;False;CVC-6991000087105;Influenza A(H1N1)2009 vaccine, unspecified;True;10;0
VAC0105;PANENZA;False;CVC-7001000087102;Influenza A(H1N1)2009 vaccine, unspecified;True;10;0
VAC0106;Q-Pan H1N1;False;CVC-443651005;Influenza A(H1N1)2009 vaccine, unspecified;True;10;0
VAC0106;Q-Pan H1N1;False;CVC-6981000087108;Influenza A(H1N1)2009 vaccine, unspecified;True;10;0
VAC0106;Q-Pan H1N1;False;CVC-6991000087105;Influenza A(H1N1)2009 vaccine, unspecified;True;10;0
VAC0106;Q-Pan H1N1;False;CVC-7001000087102;Influenza A(H1N1)2009 vaccine, unspecified;True;10;0
VAC0107;CELVAPAN;False;CVC-443651005;Influenza A(H1N1)2009 vaccine, unspecified;True;10;0
VAC0107;CELVAPAN;False;CVC-6981000087108;Influenza A(H1N1)2009 vaccine, unspecified;True;10;0
VAC0107;CELVAPAN;False;CVC-6991000087105;Influenza A(H1N1)2009 vaccine, unspecified;True;10;0
VAC0107;CELVAPAN;False;CVC-7001000087102;Influenza A(H1N1)2009 vaccine, unspecified;True;10;0
VAC0108;PANDEMRIX;False;CVC-443651005;Influenza A(H1N1)2009 vaccine, unspecified;True;10;0
VAC0108;PANDEMRIX;False;CVC-6981000087108;Influenza A(H1N1)2009 vaccine, unspecified;True;10;0
VAC0108;PANDEMRIX;False;CVC-6991000087105;Influenza A(H1N1)2009 vaccine, unspecified;True;10;0
VAC0108;PANDEMRIX;False;CVC-7001000087102;Influenza A(H1N1)2009 vaccine, unspecified;True;10;0
VAC0109;FOCETRIA (unidose);False;CVC-443651005;Influenza A(H1N1)2009 vaccine, unspecified;True;10;0
VAC0109;FOCETRIA (unidose);False;CVC-6981000087108;Influenza A(H1N1)2009 vaccine, unspecified;True;10;0
VAC0109;FOCETRIA (unidose);False;CVC-6991000087105;Influenza A(H1N1)2009 vaccine, unspecified;True;10;0
VAC0109;FOCETRIA (unidose);False;CVC-7001000087102;Influenza A(H1N1)2009 vaccine, unspecified;True;10;0
VAC0110;Influenza vaccine, unspecified;True;;;;
VAC0111;Yellow fever vaccine, unspecified;True;CVC-56844000;Yellow fever vaccine, unspecified;True;6;1
VAC0112;Typhoid vaccine, unspecified;True;CVC-89428009;Typhoid vaccine, unspecified;True;23;1
VAC0113;Rubella vaccine, live attenuated, unspecified;True;CVC-386013003;Rubella vaccine, live attenuated, unspecified;True;19;1
VAC0114;Live attenuated measles vaccine, unspecified;True;CVC-386012008;Live attenuated measles vaccine, unspecified;True;25;1
VAC0115;AVAXIM 80 U PEDIATRIQUE;False;CVC-6861000087105;AVAXIM 80 U PEDIATRIQUE;True;1;1
VAC0115;AVAXIM 80 U PEDIATRIQUE;False;CVC-9811000087103;Hepatitis A whole inactivated vaccine, monovalent, pediatric dose, unspecified;False;;
VAC0116;R.O.R SANOFI PASTEUR;False;CVC-61153008;MMR vaccine, live attenuated, unspecified;True;24;0
VAC0120;VACCIN VARICELLE MERIEUX;False;CVC-108729007;Chickenpox vaccine, unspecified;True;7;0
VAC0121;PRIORIX-TETRA;False;CVC-7181000087108;PRIORIX-TETRA;True;1;1
VAC0121;PRIORIX-TETRA;False;CVC-419550004;MMRV - Measles-Mumps-Rubella-Varicella vaccine, unspecified;False;;
VAC0123;PREVENAR 13;False;CVC-7681000087102;PREVENAR 13;True;1;1
VAC0123;PREVENAR 13;False;CVC-135642004;Pneumococcal vaccine, unspecified;False;;
VAC0123;PREVENAR 13;False;CVC-333598008;Pneumococcal vaccine, unspecified;False;;
VAC0123;PREVENAR 13;False;CVC-448964007;Pneumococcal 13-valent conjugate vaccine, unspecified;False;;
VAC0123;PREVENAR 13;False;CVC-7261000087106;Pneumococcal conjugate vaccine, serotypes unspecified;False;;
VAC0124;FOCETRIA (multidose);False;CVC-443651005;Influenza A(H1N1)2009 vaccine, unspecified;True;10;0
VAC0124;FOCETRIA (multidose);False;CVC-6981000087108;Influenza A(H1N1)2009 vaccine, unspecified;True;10;0
VAC0124;FOCETRIA (multidose);False;CVC-6991000087105;Influenza A(H1N1)2009 vaccine, unspecified;True;10;0
VAC0124;FOCETRIA (multidose);False;CVC-7001000087102;Influenza A(H1N1)2009 vaccine, unspecified;True;10;0
VAC0125;AREPANRIX;False;CVC-9841000087102;AREPANRIX;True;1;1
VAC0125;AREPANRIX;False;CVC-443651005;Influenza A(H1N1)2009 vaccine, unspecified;False;;
VAC0125;AREPANRIX;False;CVC-6981000087108;Influenza A(H1N1)2009 vaccine, unspecified;False;;
VAC0125;AREPANRIX;False;CVC-6991000087105;Influenza A(H1N1)2009 vaccine, unspecified;False;;
VAC0125;AREPANRIX;False;CVC-7001000087102;Influenza A(H1N1)2009 vaccine, unspecified;False;;
VAC0126;HEVAC B;False;;;;
VAC0127;HB VAX DNA 5 µg;False;CVC-34689006;Hepatitis B vaccine, recombinant, unspecified;True;6;0
VAC0128;HB VAX DNA 10 µg;False;CVC-9831000087108;Hepatitis B vaccine, monovalent, pediatric dose, unspecified;True;14;0
VAC0128;HB VAX DNA 10 µg;False;CVC-34689006;Hepatitis B vaccine, recombinant, unspecified;False;;
VAC0129;HB VAX DNA 40 µg;False;CVC-8781000087106;Hepatitis B vaccine, monovalent, dialysis patient dosage, unspecified;True;5;0
VAC0129;HB VAX DNA 40 µg;False;CVC-34689006;Hepatitis B vaccine, recombinant, unspecified;False;;
VAC0130;MMR vaccine, live attenuated, unspecified;True;CVC-61153008;MMR vaccine, live attenuated, unspecified;True;24;1
VAC0131;Rabies vaccine, unspecified;True;;;;
VAC0132;Tetanus vaccine, unspecified;True;CVC-333621002;Tetanus vaccine, unspecified;True;36;1
VAC0133;Smallpox vaccine, unspecified;True;CVC-33234009;Smallpox vaccine, unspecified;True;18;1
VAC0134;BCG vaccine, unspecified;True;CVC-418268006;BCG vaccine, unspecified;True;18;1
VAC0135;Polio vaccine, unspecified;True;CVC-111164008;Polio vaccine, unspecified;True;3;1
VAC0136;DTwP - Diphtheria-Tetanus-Pertussis, unspecified;True;CVC-7831000087100;DPT Diphtheria-Pertussis-Tetanus vaccine, unspecified;True;29;0
VAC0137;DT vaccine, unspecified;True;CVC-7921000087109;DT vaccine, unspecified;True;28;1
VAC0138;Diphtheria-Tetanus-Pertussis-Polio vaccine, unspecified;True;CVC-7871000087103;Diphtheria-Tetanus-Pertussis-Polio vaccine, unspecified;True;7;1
VAC0139;PENT-HIBEST;False;;;;
VAC0140;INTANZA;False;CVC-7611000087106;INTANZA;True;1;1
VAC0140;INTANZA;False;CVC-7691000087100;Trivalent inactivated influenza vaccine, unspecified;False;;
VAC0141;MENVEO;False;CVC-21681000087101;MENVEO;True;1;2
VAC0141;MENVEO;False;CVC-7141000087103;MENVEO;True;1;2
VAC0141;MENVEO;False;CVC-7121000087107;Meningococcal ACWY conjugate vaccine, unspecified;False;;
VAC0143;Haemophilus influenzae B (or Hib) vaccine, unspecified;True;CVC-333680004;Haemophilus influenzae B (or Hib) vaccine, unspecified;True;16;1
VAC0144;Cholera vaccine, unspecified;True;CVC-35736007;Cholera vaccine, unspecified;True;20;1
VAC0145;Tick-borne encephalitis vaccine, unspecified;True;CVC-333699008;Tick-borne encephalitis vaccine, unspecified;True;10;1
VAC0146;Live attenuated Japanese Encephalitis vaccine 14-14-2 strain, unspecified;True;CVC-333697005;Japanese encephalitis vaccine, unspecified;True;20;0
VAC0147;Influenza A(H1N1)2009 vaccine, unspecified;True;CVC-443651005;Influenza A(H1N1)2009 vaccine, unspecified;True;10;4
VAC0147;Influenza A(H1N1)2009 vaccine, unspecified;True;CVC-6981000087108;Influenza A(H1N1)2009 vaccine, unspecified;True;10;4
VAC0147;Influenza A(H1N1)2009 vaccine, unspecified;True;CVC-6991000087105;Influenza A(H1N1)2009 vaccine, unspecified;True;10;4
VAC0147;Influenza A(H1N1)2009 vaccine, unspecified;True;CVC-7001000087102;Influenza A(H1N1)2009 vaccine, unspecified;True;10;4
VAC0148;Leptospirosis vaccine, unspecified;True;;;;
VAC0149;Meningococcal B:14:P1.7,16 vaccine, unspecified;True;CVC-785864002;Meningococcal B vaccine, unspecified;True;7;0
VAC0150;Meningococcal conjugate vaccine C, unspecified;True;CVC-359068008;Meningococcal conjugate vaccine C, unspecified;True;8;1
VAC0151;Meningococcal A + C vaccine, unspecified;True;CVC-21721000087105;Meningococcal A + C vaccine, unspecified;True;7;2
VAC0151;Meningococcal A + C vaccine, unspecified;True;CVC-7091000087106;Meningococcal A + C vaccine, unspecified;True;7;2
VAC0152;Unconjugated meningococcal vaccine ACWY, unspecified;True;CVC-420261000;Unconjugated meningococcal vaccine ACWY, unspecified;True;5;2
VAC0152;Unconjugated meningococcal vaccine ACWY, unspecified;True;CVC-7101000087101;Unconjugated meningococcal vaccine ACWY, unspecified;True;5;2
VAC0153;Mumps vaccine, unspecified;True;CVC-90043005;Mumps vaccine, unspecified;True;12;1
VAC0154;Malaria vaccine, unspecified;True;;;;
VAC0155;Dengue vaccine, unspecified;True;;;;
VAC0156;HPV Vaccine;True;CVC-424519000;HPV Vaccine;True;3;1
VAC0157;Pneumococcal vaccine, unspecified;True;CVC-135642004;Pneumococcal vaccine, unspecified;True;8;2
VAC0157;Pneumococcal vaccine, unspecified;True;CVC-333598008;Pneumococcal vaccine, unspecified;True;8;2
VAC0158;Rotavirus vaccine, unspecified;True;CVC-116077000;Rotavirus vaccine, unspecified;True;6;2
VAC0158;Rotavirus vaccine, unspecified;True;CVC-7811000087105;Rotavirus vaccine, unspecified;True;6;2
VAC0159;Chickenpox vaccine, unspecified;True;CVC-108729007;Chickenpox vaccine, unspecified;True;7;1
VAC0160;Live attenuated shingles vaccine, unspecified;True;CVC-407746005;Live attenuated shingles vaccine, unspecified;True;1;1
VAC0160;Live attenuated shingles vaccine, unspecified;True;CVC-23001000087100;Shingles vaccine, unspecified;False;;
VAC0160;Live attenuated shingles vaccine, unspecified;True;CVC-407737004;Shingles vaccine, unspecified;False;;
VAC0161;ZOSTAVAX;False;CVC-19321000087101;ZOSTAVAX;True;1;2
VAC0161;ZOSTAVAX;False;CVC-7411000087108;ZOSTAVAX;True;1;2
VAC0161;ZOSTAVAX;False;CVC-23001000087100;Shingles vaccine, unspecified;False;;
VAC0161;ZOSTAVAX;False;CVC-407737004;Shingles vaccine, unspecified;False;;
VAC0161;ZOSTAVAX;False;CVC-407746005;Live attenuated shingles vaccine, unspecified;False;;
VAC0162;Brucellosis vaccine, unspecified;True;;;;
VAC0163;Whole-cell inactivated pertussis vaccine, unspecified;True;CVC-61602008;Pertussis vaccine, unspecified;True;7;0
VAC0164;INTANZA 9 µg;False;CVC-7601000087109;INTANZA 9 µg;True;1;1
VAC0164;INTANZA 9 µg;False;CVC-7691000087100;Trivalent inactivated influenza vaccine, unspecified;False;;
