NUVA,NUVA label,IsAbstract,AIC,AIC label,Best,Blur,Equiv
VAC0003,AVAXIM 160 U,False,AIC-028725051,"Inactivated hepatitis A vaccine, unspecified",False,,
VAC0003,AVAXIM 160 U,False,AIC-028725063,"Inactivated hepatitis A vaccine, unspecified",False,,
VAC0003,AVAXIM 160 U,False,AIC-028725075,"Inactivated hepatitis A vaccine, unspecified",False,,
VAC0003,AVAXIM 160 U,False,AIC-028725087,"Inactivated hepatitis A vaccine, unspecified",False,,
VAC0003,AVAXIM 160 U,False,AIC-033247,"Inactivated hepatitis A vaccine, unspecified",False,,
VAC0003,AVAXIM 160 U,False,AIC-033317,"Inactivated hepatitis A vaccine, unspecified",False,,
VAC0004,D.T. POLIO MERIEUX,False,,,,
VAC0005,DUKORAL,False,AIC-036561,DUKORAL,True,1,4
VAC0005,DUKORAL,False,AIC-036561013,DUKORAL,True,1,4
VAC0005,DUKORAL,False,AIC-036561025,DUKORAL,True,1,4
VAC0005,DUKORAL,False,AIC-036561037,DUKORAL,True,1,4
VAC0006,FLUVIRINE,False,,,,
VAC0007,GARDASIL,False,AIC-037311,GARDASIL,True,1,22
VAC0007,GARDASIL,False,AIC-037311014,GARDASIL,True,1,22
VAC0007,GARDASIL,False,AIC-037311026,GARDASIL,True,1,22
VAC0007,GARDASIL,False,AIC-037311038,GARDASIL,True,1,22
VAC0007,GARDASIL,False,AIC-037311040,GARDASIL,True,1,22
VAC0007,GARDASIL,False,AIC-037311053,GARDASIL,True,1,22
VAC0007,GARDASIL,False,AIC-037311065,GARDASIL,True,1,22
VAC0007,GARDASIL,False,AIC-037311077,GARDASIL,True,1,22
VAC0007,GARDASIL,False,AIC-037311089,GARDASIL,True,1,22
VAC0007,GARDASIL,False,AIC-037311091,GARDASIL,True,1,22
VAC0007,GARDASIL,False,AIC-037311103,GARDASIL,True,1,22
VAC0007,GARDASIL,False,AIC-037311115,GARDASIL,True,1,22
VAC0007,GARDASIL,False,AIC-037311127,GARDASIL,True,1,22
VAC0007,GARDASIL,False,AIC-037311139,GARDASIL,True,1,22
VAC0007,GARDASIL,False,AIC-037311141,GARDASIL,True,1,22
VAC0007,GARDASIL,False,AIC-037311154,GARDASIL,True,1,22
VAC0007,GARDASIL,False,AIC-037311166,GARDASIL,True,1,22
VAC0007,GARDASIL,False,AIC-037311178,GARDASIL,True,1,22
VAC0007,GARDASIL,False,AIC-037311180,GARDASIL,True,1,22
VAC0007,GARDASIL,False,AIC-037311192,GARDASIL,True,1,22
VAC0007,GARDASIL,False,AIC-037311204,GARDASIL,True,1,22
VAC0007,GARDASIL,False,AIC-037311216,GARDASIL,True,1,22
VAC0008,GRIPGUARD,False,,,,
VAC0009,HBVAXPRO 10 µg,False,AIC-035262070,HBVAXPRO 10 µg,True,1,13
VAC0009,HBVAXPRO 10 µg,False,AIC-035262082,HBVAXPRO 10 µg,True,1,13
VAC0009,HBVAXPRO 10 µg,False,AIC-035262094,HBVAXPRO 10 µg,True,1,13
VAC0009,HBVAXPRO 10 µg,False,AIC-035262106,HBVAXPRO 10 µg,True,1,13
VAC0009,HBVAXPRO 10 µg,False,AIC-035262118,HBVAXPRO 10 µg,True,1,13
VAC0009,HBVAXPRO 10 µg,False,AIC-035262120,HBVAXPRO 10 µg,True,1,13
VAC0009,HBVAXPRO 10 µg,False,AIC-035262132,HBVAXPRO 10 µg,True,1,13
VAC0009,HBVAXPRO 10 µg,False,AIC-035262144,HBVAXPRO 10 µg,True,1,13
VAC0009,HBVAXPRO 10 µg,False,AIC-035262260,HBVAXPRO 10 µg,True,1,13
VAC0009,HBVAXPRO 10 µg,False,AIC-035262272,HBVAXPRO 10 µg,True,1,13
VAC0009,HBVAXPRO 10 µg,False,AIC-035262284,HBVAXPRO 10 µg,True,1,13
VAC0009,HBVAXPRO 10 µg,False,AIC-035262296,HBVAXPRO 10 µg,True,1,13
VAC0009,HBVAXPRO 10 µg,False,AIC-035262322,HBVAXPRO 10 µg,True,1,13
VAC0009,HBVAXPRO 10 µg,False,AIC-026653,"Hepatitis B vaccine, recombinant, unspecified",False,,
VAC0009,HBVAXPRO 10 µg,False,AIC-026653016,"Hepatitis B vaccine, recombinant, unspecified",False,,
VAC0009,HBVAXPRO 10 µg,False,AIC-026653028,"Hepatitis B vaccine, recombinant, unspecified",False,,
VAC0009,HBVAXPRO 10 µg,False,AIC-026653030,"Hepatitis B vaccine, recombinant, unspecified",False,,
VAC0009,HBVAXPRO 10 µg,False,AIC-026653042,"Hepatitis B vaccine, recombinant, unspecified",False,,
VAC0009,HBVAXPRO 10 µg,False,AIC-035262,"Hepatitis B vaccine, recombinant, unspecified",False,,
VAC0010,HBVAXPRO 40 µg,False,AIC-035262157,HBVAXPRO 40 µg,True,1,3
VAC0010,HBVAXPRO 40 µg,False,AIC-035262169,HBVAXPRO 40 µg,True,1,3
VAC0010,HBVAXPRO 40 µg,False,AIC-035262171,HBVAXPRO 40 µg,True,1,3
VAC0010,HBVAXPRO 40 µg,False,AIC-026653,"Hepatitis B vaccine, recombinant, unspecified",False,,
VAC0010,HBVAXPRO 40 µg,False,AIC-026653016,"Hepatitis B vaccine, recombinant, unspecified",False,,
VAC0010,HBVAXPRO 40 µg,False,AIC-026653028,"Hepatitis B vaccine, recombinant, unspecified",False,,
VAC0010,HBVAXPRO 40 µg,False,AIC-026653030,"Hepatitis B vaccine, recombinant, unspecified",False,,
VAC0010,HBVAXPRO 40 µg,False,AIC-026653042,"Hepatitis B vaccine, recombinant, unspecified",False,,
VAC0010,HBVAXPRO 40 µg,False,AIC-035262,"Hepatitis B vaccine, recombinant, unspecified",False,,
VAC0011,HBVAXPRO 5 µg,False,AIC-035262017,HBVAXPRO 5 µg,True,1,16
VAC0011,HBVAXPRO 5 µg,False,AIC-035262029,HBVAXPRO 5 µg,True,1,16
VAC0011,HBVAXPRO 5 µg,False,AIC-035262031,HBVAXPRO 5 µg,True,1,16
VAC0011,HBVAXPRO 5 µg,False,AIC-035262043,HBVAXPRO 5 µg,True,1,16
VAC0011,HBVAXPRO 5 µg,False,AIC-035262056,HBVAXPRO 5 µg,True,1,16
VAC0011,HBVAXPRO 5 µg,False,AIC-035262068,HBVAXPRO 5 µg,True,1,16
VAC0011,HBVAXPRO 5 µg,False,AIC-035262183,HBVAXPRO 5 µg,True,1,16
VAC0011,HBVAXPRO 5 µg,False,AIC-035262195,HBVAXPRO 5 µg,True,1,16
VAC0011,HBVAXPRO 5 µg,False,AIC-035262207,HBVAXPRO 5 µg,True,1,16
VAC0011,HBVAXPRO 5 µg,False,AIC-035262219,HBVAXPRO 5 µg,True,1,16
VAC0011,HBVAXPRO 5 µg,False,AIC-035262221,HBVAXPRO 5 µg,True,1,16
VAC0011,HBVAXPRO 5 µg,False,AIC-035262233,HBVAXPRO 5 µg,True,1,16
VAC0011,HBVAXPRO 5 µg,False,AIC-035262245,HBVAXPRO 5 µg,True,1,16
VAC0011,HBVAXPRO 5 µg,False,AIC-035262258,HBVAXPRO 5 µg,True,1,16
VAC0011,HBVAXPRO 5 µg,False,AIC-035262308,HBVAXPRO 5 µg,True,1,16
VAC0011,HBVAXPRO 5 µg,False,AIC-035262310,HBVAXPRO 5 µg,True,1,16
VAC0011,HBVAXPRO 5 µg,False,AIC-026653,"Hepatitis B vaccine, recombinant, unspecified",False,,
VAC0011,HBVAXPRO 5 µg,False,AIC-026653016,"Hepatitis B vaccine, recombinant, unspecified",False,,
VAC0011,HBVAXPRO 5 µg,False,AIC-026653028,"Hepatitis B vaccine, recombinant, unspecified",False,,
VAC0011,HBVAXPRO 5 µg,False,AIC-026653030,"Hepatitis B vaccine, recombinant, unspecified",False,,
VAC0011,HBVAXPRO 5 µg,False,AIC-026653042,"Hepatitis B vaccine, recombinant, unspecified",False,,
VAC0011,HBVAXPRO 5 µg,False,AIC-035262,"Hepatitis B vaccine, recombinant, unspecified",False,,
VAC0012,IMMUGRIP,False,,,,
VAC0013,IMOVAX POLIO,False,AIC-029310,IMOVAX POLIO,True,1,2
VAC0013,IMOVAX POLIO,False,AIC-029310012,IMOVAX POLIO,True,1,2
VAC0014,INFANRIX HEXA,False,AIC-034960,INFANRIX HEXA,True,1,22
VAC0014,INFANRIX HEXA,False,AIC-034960017,INFANRIX HEXA,True,1,22
VAC0014,INFANRIX HEXA,False,AIC-034960029,INFANRIX HEXA,True,1,22
VAC0014,INFANRIX HEXA,False,AIC-034960031,INFANRIX HEXA,True,1,22
VAC0014,INFANRIX HEXA,False,AIC-034960043,INFANRIX HEXA,True,1,22
VAC0014,INFANRIX HEXA,False,AIC-034960056,INFANRIX HEXA,True,1,22
VAC0014,INFANRIX HEXA,False,AIC-034960068,INFANRIX HEXA,True,1,22
VAC0014,INFANRIX HEXA,False,AIC-034960070,INFANRIX HEXA,True,1,22
VAC0014,INFANRIX HEXA,False,AIC-034960082,INFANRIX HEXA,True,1,22
VAC0014,INFANRIX HEXA,False,AIC-034960094,INFANRIX HEXA,True,1,22
VAC0014,INFANRIX HEXA,False,AIC-034960106,INFANRIX HEXA,True,1,22
VAC0014,INFANRIX HEXA,False,AIC-034960118,INFANRIX HEXA,True,1,22
VAC0014,INFANRIX HEXA,False,AIC-034960120,INFANRIX HEXA,True,1,22
VAC0014,INFANRIX HEXA,False,AIC-034960132,INFANRIX HEXA,True,1,22
VAC0014,INFANRIX HEXA,False,AIC-034960144,INFANRIX HEXA,True,1,22
VAC0014,INFANRIX HEXA,False,AIC-034960157,INFANRIX HEXA,True,1,22
VAC0014,INFANRIX HEXA,False,AIC-034960169,INFANRIX HEXA,True,1,22
VAC0014,INFANRIX HEXA,False,AIC-034960171,INFANRIX HEXA,True,1,22
VAC0014,INFANRIX HEXA,False,AIC-034960183,INFANRIX HEXA,True,1,22
VAC0014,INFANRIX HEXA,False,AIC-034960195,INFANRIX HEXA,True,1,22
VAC0014,INFANRIX HEXA,False,AIC-034960207,INFANRIX HEXA,True,1,22
VAC0014,INFANRIX HEXA,False,AIC-034960219,INFANRIX HEXA,True,1,22
VAC0015,INFANRIXQUINTA,False,,,,
VAC0016,INFLUVAC,False,AIC-028851,INFLUVAC,True,1,17
VAC0016,INFLUVAC,False,AIC-028851018,INFLUVAC,True,1,17
VAC0016,INFLUVAC,False,AIC-028851020,INFLUVAC,True,1,17
VAC0016,INFLUVAC,False,AIC-028851032,INFLUVAC,True,1,17
VAC0016,INFLUVAC,False,AIC-028851044,INFLUVAC,True,1,17
VAC0016,INFLUVAC,False,AIC-028851057,INFLUVAC,True,1,17
VAC0016,INFLUVAC,False,AIC-028851069,INFLUVAC,True,1,17
VAC0016,INFLUVAC,False,AIC-028851071,INFLUVAC,True,1,17
VAC0016,INFLUVAC,False,AIC-028851083,INFLUVAC,True,1,17
VAC0016,INFLUVAC,False,AIC-028851095,INFLUVAC,True,1,17
VAC0016,INFLUVAC,False,AIC-028851107,INFLUVAC,True,1,17
VAC0016,INFLUVAC,False,AIC-028851119,INFLUVAC,True,1,17
VAC0016,INFLUVAC,False,AIC-028851121,INFLUVAC,True,1,17
VAC0016,INFLUVAC,False,AIC-028851133,INFLUVAC,True,1,17
VAC0016,INFLUVAC,False,AIC-028851145,INFLUVAC,True,1,17
VAC0016,INFLUVAC,False,AIC-028851158,INFLUVAC,True,1,17
VAC0016,INFLUVAC,False,AIC-028851160,INFLUVAC,True,1,17
VAC0017,M-M-RVAXPRO,False,AIC-037172,M-M-RVAXPRO,True,1,15
VAC0017,M-M-RVAXPRO,False,AIC-037172018,M-M-RVAXPRO,True,1,15
VAC0017,M-M-RVAXPRO,False,AIC-037172020,M-M-RVAXPRO,True,1,15
VAC0017,M-M-RVAXPRO,False,AIC-037172032,M-M-RVAXPRO,True,1,15
VAC0017,M-M-RVAXPRO,False,AIC-037172044,M-M-RVAXPRO,True,1,15
VAC0017,M-M-RVAXPRO,False,AIC-037172057,M-M-RVAXPRO,True,1,15
VAC0017,M-M-RVAXPRO,False,AIC-037172069,M-M-RVAXPRO,True,1,15
VAC0017,M-M-RVAXPRO,False,AIC-037172071,M-M-RVAXPRO,True,1,15
VAC0017,M-M-RVAXPRO,False,AIC-037172083,M-M-RVAXPRO,True,1,15
VAC0017,M-M-RVAXPRO,False,AIC-037172095,M-M-RVAXPRO,True,1,15
VAC0017,M-M-RVAXPRO,False,AIC-037172107,M-M-RVAXPRO,True,1,15
VAC0017,M-M-RVAXPRO,False,AIC-037172119,M-M-RVAXPRO,True,1,15
VAC0017,M-M-RVAXPRO,False,AIC-037172121,M-M-RVAXPRO,True,1,15
VAC0017,M-M-RVAXPRO,False,AIC-037172133,M-M-RVAXPRO,True,1,15
VAC0017,M-M-RVAXPRO,False,AIC-037172145,M-M-RVAXPRO,True,1,15
VAC0018,MENCEVAX ACWY,False,AIC-038504,MENCEVAX ACWY,True,1,7
VAC0018,MENCEVAX ACWY,False,AIC-038504015,MENCEVAX ACWY,True,1,7
VAC0018,MENCEVAX ACWY,False,AIC-038504027,MENCEVAX ACWY,True,1,7
VAC0018,MENCEVAX ACWY,False,AIC-038504039,MENCEVAX ACWY,True,1,7
VAC0018,MENCEVAX ACWY,False,AIC-038504041,MENCEVAX ACWY,True,1,7
VAC0018,MENCEVAX ACWY,False,AIC-038504054,MENCEVAX ACWY,True,1,7
VAC0018,MENCEVAX ACWY,False,AIC-038504066,MENCEVAX ACWY,True,1,7
VAC0019,MENINGITEC,False,AIC-035438,MENINGITEC,True,1,8
VAC0019,MENINGITEC,False,AIC-035438011,MENINGITEC,True,1,8
VAC0019,MENINGITEC,False,AIC-035438023,MENINGITEC,True,1,8
VAC0019,MENINGITEC,False,AIC-035438035,MENINGITEC,True,1,8
VAC0019,MENINGITEC,False,AIC-035438047,MENINGITEC,True,1,8
VAC0019,MENINGITEC,False,AIC-035438050,MENINGITEC,True,1,8
VAC0019,MENINGITEC,False,AIC-035438062,MENINGITEC,True,1,8
VAC0019,MENINGITEC,False,AIC-035438074,MENINGITEC,True,1,8
VAC0020,MENJUGATEKIT 10 µg,False,,,,
VAC0021,MUTAGRIP,False,AIC-027278,MUTAGRIP,True,1,23
VAC0021,MUTAGRIP,False,AIC-027278011,MUTAGRIP,True,1,23
VAC0021,MUTAGRIP,False,AIC-027278023,MUTAGRIP,True,1,23
VAC0021,MUTAGRIP,False,AIC-027278035,MUTAGRIP,True,1,23
VAC0021,MUTAGRIP,False,AIC-027278047,MUTAGRIP,True,1,23
VAC0021,MUTAGRIP,False,AIC-027278050,MUTAGRIP,True,1,23
VAC0021,MUTAGRIP,False,AIC-027278062,MUTAGRIP,True,1,23
VAC0021,MUTAGRIP,False,AIC-027278074,MUTAGRIP,True,1,23
VAC0021,MUTAGRIP,False,AIC-027278086,MUTAGRIP,True,1,23
VAC0021,MUTAGRIP,False,AIC-027278098,MUTAGRIP,True,1,23
VAC0021,MUTAGRIP,False,AIC-027278100,MUTAGRIP,True,1,23
VAC0021,MUTAGRIP,False,AIC-027278112,MUTAGRIP,True,1,23
VAC0021,MUTAGRIP,False,AIC-027278124,MUTAGRIP,True,1,23
VAC0021,MUTAGRIP,False,AIC-027278136,MUTAGRIP,True,1,23
VAC0021,MUTAGRIP,False,AIC-027278148,MUTAGRIP,True,1,23
VAC0021,MUTAGRIP,False,AIC-027278151,MUTAGRIP,True,1,23
VAC0021,MUTAGRIP,False,AIC-027278163,MUTAGRIP,True,1,23
VAC0021,MUTAGRIP,False,AIC-027278175,MUTAGRIP,True,1,23
VAC0021,MUTAGRIP,False,AIC-027278187,MUTAGRIP,True,1,23
VAC0021,MUTAGRIP,False,AIC-027278199,MUTAGRIP,True,1,23
VAC0021,MUTAGRIP,False,AIC-027278201,MUTAGRIP,True,1,23
VAC0021,MUTAGRIP,False,AIC-027278213,MUTAGRIP,True,1,23
VAC0021,MUTAGRIP,False,AIC-027278225,MUTAGRIP,True,1,23
VAC0022,NEISVAC,False,AIC-035602,NEISVAC,True,1,6
VAC0022,NEISVAC,False,AIC-035602010,NEISVAC,True,1,6
VAC0022,NEISVAC,False,AIC-035602022,NEISVAC,True,1,6
VAC0022,NEISVAC,False,AIC-035602034,NEISVAC,True,1,6
VAC0022,NEISVAC,False,AIC-035602046,NEISVAC,True,1,6
VAC0022,NEISVAC,False,AIC-035602059,NEISVAC,True,1,6
VAC0023,PENTAVAC,False,AIC-034126,PENTAVAC,True,1,11
VAC0023,PENTAVAC,False,AIC-034126019,PENTAVAC,True,1,11
VAC0023,PENTAVAC,False,AIC-034126021,PENTAVAC,True,1,11
VAC0023,PENTAVAC,False,AIC-034126033,PENTAVAC,True,1,11
VAC0023,PENTAVAC,False,AIC-034126045,PENTAVAC,True,1,11
VAC0023,PENTAVAC,False,AIC-034126058,PENTAVAC,True,1,11
VAC0023,PENTAVAC,False,AIC-034126060,PENTAVAC,True,1,11
VAC0023,PENTAVAC,False,AIC-034126072,PENTAVAC,True,1,11
VAC0023,PENTAVAC,False,AIC-034126084,PENTAVAC,True,1,11
VAC0023,PENTAVAC,False,AIC-034126096,PENTAVAC,True,1,11
VAC0023,PENTAVAC,False,AIC-034126108,PENTAVAC,True,1,11
VAC0024,PNEUMO 23,False,AIC-027644,PNEUMO 23,True,1,2
VAC0024,PNEUMO 23,False,AIC-027644018,PNEUMO 23,True,1,2
VAC0025,PREVENAR,False,AIC-035053,PREVENAR,True,1,8
VAC0025,PREVENAR,False,AIC-035053014,PREVENAR,True,1,8
VAC0025,PREVENAR,False,AIC-035053026,PREVENAR,True,1,8
VAC0025,PREVENAR,False,AIC-035053038,PREVENAR,True,1,8
VAC0025,PREVENAR,False,AIC-035053040,PREVENAR,True,1,8
VAC0025,PREVENAR,False,AIC-035053053,PREVENAR,True,1,8
VAC0025,PREVENAR,False,AIC-035053065,PREVENAR,True,1,8
VAC0025,PREVENAR,False,AIC-035053077,PREVENAR,True,1,8
VAC0026,PREVIGRIP,False,,,,
VAC0027,R.O.R. VAX,False,,,,
VAC0028,RABIPUR,False,AIC-035947,RABIPUR,True,1,4
VAC0028,RABIPUR,False,AIC-035947011,RABIPUR,True,1,4
VAC0028,RABIPUR,False,AIC-035947023,RABIPUR,True,1,4
VAC0028,RABIPUR,False,AIC-035947035,RABIPUR,True,1,4
VAC0029,REPEVAX,False,,,,
VAC0030,REVAXIS,False,AIC-034457,REVAXIS,True,1,14
VAC0030,REVAXIS,False,AIC-034457010,REVAXIS,True,1,14
VAC0030,REVAXIS,False,AIC-034457022,REVAXIS,True,1,14
VAC0030,REVAXIS,False,AIC-034457034,REVAXIS,True,1,14
VAC0030,REVAXIS,False,AIC-034457046,REVAXIS,True,1,14
VAC0030,REVAXIS,False,AIC-034457059,REVAXIS,True,1,14
VAC0030,REVAXIS,False,AIC-034457061,REVAXIS,True,1,14
VAC0030,REVAXIS,False,AIC-034457073,REVAXIS,True,1,14
VAC0030,REVAXIS,False,AIC-034457085,REVAXIS,True,1,14
VAC0030,REVAXIS,False,AIC-034457097,REVAXIS,True,1,14
VAC0030,REVAXIS,False,AIC-034457109,REVAXIS,True,1,14
VAC0030,REVAXIS,False,AIC-034457111,REVAXIS,True,1,14
VAC0030,REVAXIS,False,AIC-034457123,REVAXIS,True,1,14
VAC0030,REVAXIS,False,AIC-034457135,REVAXIS,True,1,14
VAC0031,ROTATEQ,False,AIC-037455,ROTATEQ,True,1,3
VAC0031,ROTATEQ,False,AIC-037455019,ROTATEQ,True,1,3
VAC0031,ROTATEQ,False,AIC-037455021,ROTATEQ,True,1,3
VAC0032,ROUVAX,False,AIC-026526,ROUVAX,True,1,2
VAC0032,ROUVAX,False,AIC-026526018,ROUVAX,True,1,2
VAC0033,RUDIVAX,False,AIC-023281,RUDIVAX,True,1,3
VAC0033,RUDIVAX,False,AIC-023281013,RUDIVAX,True,1,3
VAC0033,RUDIVAX,False,AIC-023281025,RUDIVAX,True,1,3
VAC0034,SPIROLEPT,False,,,,
VAC0035,STAMARIL,False,AIC-026970,STAMARIL,True,1,4
VAC0035,STAMARIL,False,AIC-026970018,STAMARIL,True,1,4
VAC0035,STAMARIL,False,AIC-026970020,STAMARIL,True,1,4
VAC0035,STAMARIL,False,AIC-026970032,STAMARIL,True,1,4
VAC0036,TETAGRIP,False,,,,
VAC0037,TETRAVAC-ACELLULAIRE,False,AIC-034127,TETRAVAC-ACELLULAIRE,True,1,11
VAC0037,TETRAVAC-ACELLULAIRE,False,AIC-034127011,TETRAVAC-ACELLULAIRE,True,1,11
VAC0037,TETRAVAC-ACELLULAIRE,False,AIC-034127023,TETRAVAC-ACELLULAIRE,True,1,11
VAC0037,TETRAVAC-ACELLULAIRE,False,AIC-034127035,TETRAVAC-ACELLULAIRE,True,1,11
VAC0037,TETRAVAC-ACELLULAIRE,False,AIC-034127047,TETRAVAC-ACELLULAIRE,True,1,11
VAC0037,TETRAVAC-ACELLULAIRE,False,AIC-034127050,TETRAVAC-ACELLULAIRE,True,1,11
VAC0037,TETRAVAC-ACELLULAIRE,False,AIC-034127062,TETRAVAC-ACELLULAIRE,True,1,11
VAC0037,TETRAVAC-ACELLULAIRE,False,AIC-034127074,TETRAVAC-ACELLULAIRE,True,1,11
VAC0037,TETRAVAC-ACELLULAIRE,False,AIC-034127086,TETRAVAC-ACELLULAIRE,True,1,11
