NUVA,NUVA label,IsAbstract,CVX,CVX label,Best,Blur,Equiv
VAC0009,HBVAXPRO 10 µg,False,CVX-08,"Hepatitis B vaccine, monovalent, pediatric dose, unspecified",True,16,0
VAC0009,HBVAXPRO 10 µg,False,CVX-42,"Hepatitis B vaccine, monovalent, pediatric dose, unspecified",True,16,0
VAC0009,HBVAXPRO 10 µg,False,CVX-45,"Hepatitis B vaccine, recombinant, unspecified",False,,
VAC0010,HBVAXPRO 40 µg,False,CVX-44,"Hepatitis B vaccine, monovalent, dialysis patient dosage, unspecified",True,5,0
VAC0010,HBVAXPRO 40 µg,False,CVX-45,"Hepatitis B vaccine, recombinant, unspecified",False,,
VAC0011,HBVAXPRO 5 µg,False,CVX-45,"Hepatitis B vaccine, recombinant, unspecified",True,8,0
VAC0012,IMMUGRIP,False,CVX-168,"Trivalent inactivated influenza vaccine, unspecified",True,50,0
VAC0012,IMMUGRIP,False,CVX-331,"Trivalent inactivated influenza vaccine, unspecified",True,50,0
VAC0012,IMMUGRIP,False,CVX-15,"Inactivated influenza vaccine, split or subunit, unspecified",False,,
VAC0012,IMMUGRIP,False,CVX-88,"Influenza vaccine, unspecified",False,,
VAC0013,IMOVAX POLIO,False,CVX-10,"Inactivated Polio vaccine, unspecified",True,18,0
VAC0013,IMOVAX POLIO,False,CVX-324,"Inactivated Polio vaccine, unspecified",True,18,0
VAC0013,IMOVAX POLIO,False,CVX-89,"Polio vaccine, unspecified",False,,
VAC0014,INFANRIX HEXA,False,CVX-146,"Hexavalent vaccine DTPCaHibHepB - Diphtheria-Tetanus-Polio-Acellular Pertussis-Hib-HepB, unspecified",True,9,0
VAC0015,INFANRIXQUINTA,False,CVX-120,"Pentavalent DTaPHibIPV vaccine, unspecified",True,13,0
VAC0015,INFANRIXQUINTA,False,CVX-170,"Pentavalent DTaPHibIPV vaccine, unspecified",True,13,0
VAC0016,INFLUVAC,False,CVX-168,"Trivalent inactivated influenza vaccine, unspecified",True,50,0
VAC0016,INFLUVAC,False,CVX-331,"Trivalent inactivated influenza vaccine, unspecified",True,50,0
VAC0016,INFLUVAC,False,CVX-15,"Inactivated influenza vaccine, split or subunit, unspecified",False,,
VAC0016,INFLUVAC,False,CVX-88,"Influenza vaccine, unspecified",False,,
VAC0017,M-M-RVAXPRO,False,CVX-03,"MMR vaccine, live attenuated, unspecified",True,26,0
VAC0018,MENCEVAX ACWY,False,CVX-108,"Unconjugated meningococcal vaccine ACWY, unspecified",True,6,0
VAC0018,MENCEVAX ACWY,False,CVX-32,"Unconjugated meningococcal vaccine ACWY, unspecified",True,6,0
VAC0019,MENINGITEC,False,CVX-103,"Meningococcal conjugate vaccine C, unspecified",True,11,0
VAC0020,MENJUGATEKIT 10 µg,False,CVX-103,"Meningococcal conjugate vaccine C, unspecified",True,11,0
VAC0021,MUTAGRIP,False,CVX-168,"Trivalent inactivated influenza vaccine, unspecified",True,50,0
VAC0021,MUTAGRIP,False,CVX-331,"Trivalent inactivated influenza vaccine, unspecified",True,50,0
VAC0021,MUTAGRIP,False,CVX-15,"Inactivated influenza vaccine, split or subunit, unspecified",False,,
VAC0021,MUTAGRIP,False,CVX-88,"Influenza vaccine, unspecified",False,,
VAC0022,NEISVAC,False,CVX-103,"Meningococcal conjugate vaccine C, unspecified",True,11,0
VAC0023,PENTAVAC,False,CVX-120,"Pentavalent DTaPHibIPV vaccine, unspecified",True,13,0
VAC0023,PENTAVAC,False,CVX-170,"Pentavalent DTaPHibIPV vaccine, unspecified",True,13,0
VAC0024,PNEUMO 23,False,CVX-33,"Pneumococcal polysaccharide vaccine 23-valent, unspecified",True,11,0
VAC0024,PNEUMO 23,False,CVX-109,"Pneumococcal vaccine, unspecified",False,,
VAC0025,PREVENAR,False,CVX-100,"Pneumococcal conjugate vaccine, 7 valent, unspecified",True,4,0
VAC0025,PREVENAR,False,CVX-109,"Pneumococcal vaccine, unspecified",False,,
VAC0025,PREVENAR,False,CVX-152,"Pneumococcal conjugate vaccine, serotypes unspecified",False,,
VAC0026,PREVIGRIP,False,CVX-168,"Trivalent inactivated influenza vaccine, unspecified",True,50,0
VAC0026,PREVIGRIP,False,CVX-331,"Trivalent inactivated influenza vaccine, unspecified",True,50,0
VAC0026,PREVIGRIP,False,CVX-15,"Inactivated influenza vaccine, split or subunit, unspecified",False,,
VAC0026,PREVIGRIP,False,CVX-88,"Influenza vaccine, unspecified",False,,
VAC0027,R.O.R. VAX,False,CVX-03,"MMR vaccine, live attenuated, unspecified",True,26,0
VAC0028,RABIPUR,False,CVX-176,"Chicken embryo rabies vaccine, unspecified",True,6,0
VAC0028,RABIPUR,False,CVX-18,"Rabies vaccine, unspecified",False,,
VAC0028,RABIPUR,False,CVX-40,"Rabies vaccine, unspecified",False,,
VAC0028,RABIPUR,False,CVX-90,"Rabies vaccine, unspecified",False,,
VAC0029,REPEVAX,False,,,,,
VAC0030,REVAXIS,False,,,,,
VAC0031,ROTATEQ,False,CVX-116,"Rotavirus pentavalent vaccine, unspecified",True,2,0
VAC0031,ROTATEQ,False,CVX-122,"Rotavirus vaccine, unspecified",False,,
VAC0032,ROUVAX,False,CVX-05,"Live attenuated measles vaccine, unspecified",True,25,0
VAC0033,RUDIVAX,False,CVX-06,"Rubella vaccine, live attenuated, unspecified",True,21,0
VAC0034,SPIROLEPT,False,,,,,
VAC0035,STAMARIL,False,CVX-183,"Yellow fever vaccine, unspecified",True,7,0
VAC0035,STAMARIL,False,CVX-184,"Yellow fever vaccine, unspecified",True,7,0
VAC0035,STAMARIL,False,CVX-37,"Yellow fever vaccine, unspecified",True,7,0
VAC0036,TETAGRIP,False,,,,,
VAC0037,TETRAVAC-ACELLULAIRE,False,CVX-130,"DTaPIPV vaccine, standard dose, unspecified",True,12,0
VAC0038,"TICOVAC 0,5 mL",False,CVX-224,"Tick-borne encephalitis vaccine, Neudörfl strain, adult dose, unspecified",True,4,0
VAC0038,"TICOVAC 0,5 mL",False,CVX-222,"Tick-borne encephalitis vaccine, unspecified",False,,
VAC0038,"TICOVAC 0,5 mL",False,CVX-77,"Tick-borne encephalitis vaccine, unspecified",False,,
VAC0039,"TICOVAC 0,25 mL",False,CVX-223,"Tick-borne encephalitis vaccine, Neudörfl strain, paediatric dose, unspecified",True,3,0
VAC0039,"TICOVAC 0,25 mL",False,CVX-222,"Tick-borne encephalitis vaccine, unspecified",False,,
VAC0039,"TICOVAC 0,25 mL",False,CVX-77,"Tick-borne encephalitis vaccine, unspecified",False,,
VAC0040,TYAVAX,False,,,,,
VAC0041,TYPHIM VI,False,CVX-101,"Typhoid polysaccharide vaccine, unspecified",True,7,0
VAC0041,TYPHIM VI,False,CVX-41,"Typhoid polysaccharide vaccine, unspecified",True,7,0
VAC0041,TYPHIM VI,False,CVX-91,"Typhoid vaccine, unspecified",False,,
VAC0042,VACCIN BCG SSI,False,CVX-19,"BCG vaccine, unspecified",True,19,0
VAC0043,BOOSTRIXTETRA,False,,,,,
VAC0044,CERVARIX,False,CVX-118,"HPV vaccine bivalent, unspecified",True,3,0
VAC0044,CERVARIX,False,CVX-137,HPV Vaccine,False,,
VAC0045,ENGERIX B 10 µg,False,CVX-08,"Hepatitis B vaccine, monovalent, pediatric dose, unspecified",True,16,0
VAC0045,ENGERIX B 10 µg,False,CVX-42,"Hepatitis B vaccine, monovalent, pediatric dose, unspecified",True,16,0
VAC0045,ENGERIX B 10 µg,False,CVX-45,"Hepatitis B vaccine, recombinant, unspecified",False,,
VAC0046,ENGERIX B 20 µg,False,CVX-189,"Hepatitis B vaccine, monovalent, adult dose, unspecified",True,15,0
VAC0046,ENGERIX B 20 µg,False,CVX-43,"Hepatitis B vaccine, monovalent, adult dose, unspecified",True,15,0
VAC0046,ENGERIX B 20 µg,False,CVX-45,"Hepatitis B vaccine, recombinant, unspecified",False,,
VAC0047,FLUARIX,False,CVX-168,"Trivalent inactivated influenza vaccine, unspecified",True,50,0
VAC0047,FLUARIX,False,CVX-331,"Trivalent inactivated influenza vaccine, unspecified",True,50,0
VAC0047,FLUARIX,False,CVX-15,"Inactivated influenza vaccine, split or subunit, unspecified",False,,
VAC0047,FLUARIX,False,CVX-88,"Influenza vaccine, unspecified",False,,
VAC0048,GENHEVAC B PASTEUR,False,CVX-189,"Hepatitis B vaccine, monovalent, adult dose, unspecified",True,15,0
VAC0048,GENHEVAC B PASTEUR,False,CVX-43,"Hepatitis B vaccine, monovalent, adult dose, unspecified",True,15,0
VAC0048,GENHEVAC B PASTEUR,False,CVX-45,"Hepatitis B vaccine, recombinant, unspecified",False,,
VAC0049,HAVRIX 1440 U/1mL,False,CVX-52,"Inactivated hepatitis A vaccine, adult dose, unspecified",True,5,0
VAC0049,HAVRIX 1440 U/1mL,False,CVX-85,"Inactivated hepatitis A vaccine, unspecified",False,,
VAC0050,"HAVRIX 720 U/0,5 mL",False,CVX-83,"Hepatitis A whole inactivated vaccine, monovalent, pediatric dose, unspecified",True,5,0
VAC0050,"HAVRIX 720 U/0,5 mL",False,CVX-31,"Hepatitis A vaccine, pediatric dose, unspecified",False,,
VAC0050,"HAVRIX 720 U/0,5 mL",False,CVX-84,"Hepatitis A vaccine, pediatric dose, unspecified",False,,
VAC0050,"HAVRIX 720 U/0,5 mL",False,CVX-85,"Inactivated hepatitis A vaccine, unspecified",False,,
VAC0051,INFANRIXTETRA,False,CVX-130,"DTaPIPV vaccine, standard dose, unspecified",True,12,0
VAC0052,VACCIN MENINGOCOCCIQUE A+C,False,CVX-192,"Meningococcal A + C vaccine, unspecified",True,7,0
VAC0053,PRIORIX,False,CVX-03,"MMR vaccine, live attenuated, unspecified",True,26,0
VAC0054,VACCIN RABIQUE PASTEUR,False,CVX-18,"Rabies vaccine, unspecified",True,22,0
VAC0054,VACCIN RABIQUE PASTEUR,False,CVX-40,"Rabies vaccine, unspecified",True,22,0
VAC0054,VACCIN RABIQUE PASTEUR,False,CVX-90,"Rabies vaccine, unspecified",True,22,0
VAC0056,VACCIN TETANIQUE PASTEUR,False,CVX-112,"Tetanus vaccine, unspecified",True,36,0
VAC0056,VACCIN TETANIQUE PASTEUR,False,CVX-142,"Tetanus vaccine, unspecified",True,36,0
VAC0056,VACCIN TETANIQUE PASTEUR,False,CVX-35,"Tetanus vaccine, unspecified",True,36,0
VAC0057,TWINRIX 20 µg,False,CVX-104,"Combined hepatitis A and hepatitis B vaccine, unspecified",True,6,0
VAC0058,TWINRIX 10 µg,False,CVX-193,"Hepatitis A + Hepatitis B vaccine Child, unspecified",True,3,0
VAC0058,TWINRIX 10 µg,False,CVX-104,"Combined hepatitis A and hepatitis B vaccine, unspecified",False,,
VAC0059,TYPHERIX,False,CVX-101,"Typhoid polysaccharide vaccine, unspecified",True,7,0
VAC0059,TYPHERIX,False,CVX-41,"Typhoid polysaccharide vaccine, unspecified",True,7,0
VAC0059,TYPHERIX,False,CVX-91,"Typhoid vaccine, unspecified",False,,
VAC0060,VARILRIX,False,CVX-21,"Chickenpox vaccine, unspecified",True,9,0
VAC0061,VARIVAX,False,CVX-21,"Chickenpox vaccine, unspecified",True,9,0
VAC0062,VAXIGRIP,False,CVX-168,"Trivalent inactivated influenza vaccine, unspecified",True,50,0
VAC0062,VAXIGRIP,False,CVX-331,"Trivalent inactivated influenza vaccine, unspecified",True,50,0
VAC0062,VAXIGRIP,False,CVX-15,"Inactivated influenza vaccine, split or subunit, unspecified",False,,
VAC0062,VAXIGRIP,False,CVX-88,"Influenza vaccine, unspecified",False,,
VAC0063,TETRACOQ,False,,,,,
VAC0064,PENTACOQ,False,,,,,
VAC0066,DTCP PASTEUR,False,CVX-130,"DTaPIPV vaccine, standard dose, unspecified",True,12,0
VAC0067,HAVRIX 360 U,False,CVX-83,"Hepatitis A whole inactivated vaccine, monovalent, pediatric dose, unspecified",True,5,0
VAC0067,HAVRIX 360 U,False,CVX-31,"Hepatitis A vaccine, pediatric dose, unspecified",False,,
VAC0067,HAVRIX 360 U,False,CVX-84,"Hepatitis A vaccine, pediatric dose, unspecified",False,,
VAC0067,HAVRIX 360 U,False,CVX-85,"Inactivated hepatitis A vaccine, unspecified",False,,
VAC0068,MONOVAX,False,CVX-19,"BCG vaccine, unspecified",True,19,0
VAC0069,MENOMUNE,False,CVX-108,"Unconjugated meningococcal vaccine ACWY, unspecified",True,6,0
VAC0069,MENOMUNE,False,CVX-32,"Unconjugated meningococcal vaccine ACWY, unspecified",True,6,0
VAC0070,DT BIS,False,CVX-28,"DT vaccine, unspecified",True,27,0
VAC0071,D.T. BIS - RUDIVAX,False,,,,,
VAC0072,JE-VAX,False,CVX-39,"Inactivated Japanese Encephalitis vaccine, unspecified",True,14,0
VAC0072,JE-VAX,False,CVX-129,"Japanese encephalitis vaccine, unspecified",False,,
VAC0072,JE-VAX,False,CVX-134,"Japanese encephalitis vaccine, unspecified",False,,
VAC0073,IXIARO,False,CVX-39,"Inactivated Japanese Encephalitis vaccine, unspecified",True,14,0
VAC0073,IXIARO,False,CVX-129,"Japanese encephalitis vaccine, unspecified",False,,
VAC0073,IXIARO,False,CVX-134,"Japanese encephalitis vaccine, unspecified",False,,
VAC0074,D.T. COQ MERIEUX,False,CVX-01,"DPT Diphtheria-Pertussis-Tetanus vaccine, unspecified",True,30,0
VAC0076,DTVax,False,CVX-28,"DT vaccine, unspecified",True,27,0
VAC0077,IMOVAX OREILLONS,False,CVX-07,"Mumps vaccine, unspecified",True,12,0
VAC0078,RUDI-ROUVAX,False,CVX-04,"Measles-Rubella vaccine, unspecified",True,12,0
VAC0079,ENCEPUR,False,CVX-222,"Tick-borne encephalitis vaccine, unspecified",True,5,0
VAC0079,ENCEPUR,False,CVX-77,"Tick-borne encephalitis vaccine, unspecified",True,5,0
VAC0080,BCG PASTEUR,False,CVX-19,"BCG vaccine, unspecified",True,19,0
VAC0082,MENBVAC,False,CVX-164,"Meningococcal B vaccine, unspecified",True,4,0
VAC0083,SYNFLORIX,False,CVX-177,"10-valent Pneumococcus conjugate vaccine, unspecified",True,2,0
VAC0083,SYNFLORIX,False,CVX-109,"Pneumococcal vaccine, unspecified",False,,
VAC0083,SYNFLORIX,False,CVX-152,"Pneumococcal conjugate vaccine, serotypes unspecified",False,,
VAC0084,"H5N1 pre-pandemic influenza vaccine, unspecified",True,CVX-123,"H5N1 pre-pandemic influenza vaccine, unspecified",True,17,2
VAC0084,"H5N1 pre-pandemic influenza vaccine, unspecified",True,CVX-160,"H5N1 pre-pandemic influenza vaccine, unspecified",True,17,2
VAC0084,"H5N1 pre-pandemic influenza vaccine, unspecified",True,CVX-323,"A(H5) avian influenza vaccine, unspecified",False,,
VAC0085,T POLIO MERIEUX,False,,,,,
VAC0086,TETAVAX,False,CVX-112,"Tetanus vaccine, unspecified",True,36,0
VAC0086,TETAVAX,False,CVX-142,"Tetanus vaccine, unspecified",True,36,0
VAC0086,TETAVAX,False,CVX-35,"Tetanus vaccine, unspecified",True,36,0
VAC0087,VAXICOQ,False,CVX-11,"Pertussis vaccine, unspecified",True,16,0
VAC0088,"DTIPV vaccine, unspecified",True,CVX-195,"DTIPV vaccine, unspecified",True,9,1
VAC0090,VACCIN BRUCELLIQUE P.I. à usage humain,False,,,,,
VAC0091,VACCIN CCB PASTEUR,False,CVX-109,"Pneumococcal vaccine, unspecified",True,8,0
VAC0092,VACCIN CHOLERIQUE PASTEUR,False,CVX-26,"Cholera vaccine, unspecified",True,8,0
VAC0093,VACCIN DT TAB PASTEUR,False,,,,,
VAC0094,VACCIN SABIN POLIOVAC MERIEUX,False,CVX-02,"OPV 1-2-3, unspecified",True,13,0
VAC0094,VACCIN SABIN POLIOVAC MERIEUX,False,CVX-179,"Monovalent oral polio vaccine - type unknown, unspecified",False,,
VAC0094,VACCIN SABIN POLIOVAC MERIEUX,False,CVX-182,"Monovalent oral polio vaccine - type unknown, unspecified",False,,
VAC0094,VACCIN SABIN POLIOVAC MERIEUX,False,CVX-89,"Polio vaccine, unspecified",False,,
VAC0095,VACCIN TAB PASTEUR,False,CVX-91,"Typhoid vaccine, unspecified",True,10,0
VAC0096,VACCIN GRIPPAL RONCHESE (VGR),False,CVX-168,"Trivalent inactivated influenza vaccine, unspecified",True,50,0
VAC0096,VACCIN GRIPPAL RONCHESE (VGR),False,CVX-331,"Trivalent inactivated influenza vaccine, unspecified",True,50,0
VAC0096,VACCIN GRIPPAL RONCHESE (VGR),False,CVX-15,"Inactivated influenza vaccine, split or subunit, unspecified",False,,
VAC0096,VACCIN GRIPPAL RONCHESE (VGR),False,CVX-88,"Influenza vaccine, unspecified",False,,
VAC0097,VACCIN LEPTOSPIRES ICTEROHEMORRAGIAE PASTEUR,False,,,,,
VAC0098,HEXAVAC,False,CVX-146,"Hexavalent vaccine DTPCaHibHepB - Diphtheria-Tetanus-Polio-Acellular Pertussis-Hib-HepB, unspecified",True,9,0
VAC0099,MENINVACT,False,CVX-103,"Meningococcal conjugate vaccine C, unspecified",True,11,0
VAC0101,"Hepatitis B vaccine, recombinant, unspecified",True,CVX-45,"Hepatitis B vaccine, recombinant, unspecified",True,8,1
VAC0102,"Inactivated hepatitis A vaccine, unspecified",True,CVX-85,"Inactivated hepatitis A vaccine, unspecified",True,7,1
VAC0103,MENACTRA,False,CVX-114,"Meningococcal ACWY conjugate vaccine, unspecified",True,4,0
VAC0103,MENACTRA,False,CVX-147,"Meningococcal ACWY conjugate vaccine, unspecified",True,4,0
VAC0104,HUMENZA,False,CVX-125,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,0
VAC0104,HUMENZA,False,CVX-126,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,0
VAC0104,HUMENZA,False,CVX-127,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,0
VAC0104,HUMENZA,False,CVX-128,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,0
VAC0104,HUMENZA,False,CVX-15,"Inactivated influenza vaccine, split or subunit, unspecified",False,,
VAC0104,HUMENZA,False,CVX-88,"Influenza vaccine, unspecified",False,,
VAC0105,PANENZA,False,CVX-125,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,0
VAC0105,PANENZA,False,CVX-126,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,0
VAC0105,PANENZA,False,CVX-127,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,0
VAC0105,PANENZA,False,CVX-128,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,0
VAC0105,PANENZA,False,CVX-15,"Inactivated influenza vaccine, split or subunit, unspecified",False,,
VAC0105,PANENZA,False,CVX-88,"Influenza vaccine, unspecified",False,,
VAC0106,Q-Pan H1N1,False,CVX-125,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,0
VAC0106,Q-Pan H1N1,False,CVX-126,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,0
VAC0106,Q-Pan H1N1,False,CVX-127,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,0
VAC0106,Q-Pan H1N1,False,CVX-128,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,0
VAC0106,Q-Pan H1N1,False,CVX-15,"Inactivated influenza vaccine, split or subunit, unspecified",False,,
VAC0106,Q-Pan H1N1,False,CVX-88,"Influenza vaccine, unspecified",False,,
VAC0107,CELVAPAN,False,CVX-125,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,0
VAC0107,CELVAPAN,False,CVX-126,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,0
VAC0107,CELVAPAN,False,CVX-127,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,0
VAC0107,CELVAPAN,False,CVX-128,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,0
VAC0107,CELVAPAN,False,CVX-15,"Inactivated influenza vaccine, split or subunit, unspecified",False,,
VAC0107,CELVAPAN,False,CVX-88,"Influenza vaccine, unspecified",False,,
VAC0108,PANDEMRIX,False,CVX-125,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,0
VAC0108,PANDEMRIX,False,CVX-126,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,0
VAC0108,PANDEMRIX,False,CVX-127,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,0
VAC0108,PANDEMRIX,False,CVX-128,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,0
VAC0108,PANDEMRIX,False,CVX-15,"Inactivated influenza vaccine, split or subunit, unspecified",False,,
VAC0108,PANDEMRIX,False,CVX-88,"Influenza vaccine, unspecified",False,,
VAC0109,FOCETRIA (unidose),False,CVX-125,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,0
VAC0109,FOCETRIA (unidose),False,CVX-126,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,0
VAC0109,FOCETRIA (unidose),False,CVX-127,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,0
VAC0109,FOCETRIA (unidose),False,CVX-128,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,0
VAC0109,FOCETRIA (unidose),False,CVX-15,"Inactivated influenza vaccine, split or subunit, unspecified",False,,
VAC0109,FOCETRIA (unidose),False,CVX-88,"Influenza vaccine, unspecified",False,,
VAC0110,"Influenza vaccine, unspecified",True,CVX-88,"Influenza vaccine, unspecified",True,13,1
VAC0111,"Yellow fever vaccine, unspecified",True,CVX-183,"Yellow fever vaccine, unspecified",True,7,3
VAC0111,"Yellow fever vaccine, unspecified",True,CVX-184,"Yellow fever vaccine, unspecified",True,7,3
VAC0111,"Yellow fever vaccine, unspecified",True,CVX-37,"Yellow fever vaccine, unspecified",True,7,3
VAC0112,"Typhoid vaccine, unspecified",True,CVX-91,"Typhoid vaccine, unspecified",True,10,1
VAC0113,"Rubella vaccine, live attenuated, unspecified",True,CVX-06,"Rubella vaccine, live attenuated, unspecified",True,21,1
VAC0114,"Live attenuated measles vaccine, unspecified",True,CVX-05,"Live attenuated measles vaccine, unspecified",True,25,1
VAC0115,AVAXIM 80 U PEDIATRIQUE,False,CVX-83,"Hepatitis A whole inactivated vaccine, monovalent, pediatric dose, unspecified",True,5,0
VAC0115,AVAXIM 80 U PEDIATRIQUE,False,CVX-31,"Hepatitis A vaccine, pediatric dose, unspecified",False,,
VAC0115,AVAXIM 80 U PEDIATRIQUE,False,CVX-84,"Hepatitis A vaccine, pediatric dose, unspecified",False,,
VAC0115,AVAXIM 80 U PEDIATRIQUE,False,CVX-85,"Inactivated hepatitis A vaccine, unspecified",False,,
VAC0116,R.O.R SANOFI PASTEUR,False,CVX-03,"MMR vaccine, live attenuated, unspecified",True,26,0
VAC0120,VACCIN VARICELLE MERIEUX,False,CVX-21,"Chickenpox vaccine, unspecified",True,9,0
VAC0121,PRIORIX-TETRA,False,CVX-94,"MMRV - Measles-Mumps-Rubella-Varicella vaccine, unspecified",True,3,0
VAC0123,PREVENAR 13,False,CVX-133,"Pneumococcal 13-valent conjugate vaccine, unspecified",True,2,0
VAC0123,PREVENAR 13,False,CVX-109,"Pneumococcal vaccine, unspecified",False,,
VAC0123,PREVENAR 13,False,CVX-152,"Pneumococcal conjugate vaccine, serotypes unspecified",False,,
VAC0124,FOCETRIA (multidose),False,CVX-125,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,0
VAC0124,FOCETRIA (multidose),False,CVX-126,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,0
VAC0124,FOCETRIA (multidose),False,CVX-127,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,0
VAC0124,FOCETRIA (multidose),False,CVX-128,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,0
VAC0124,FOCETRIA (multidose),False,CVX-15,"Inactivated influenza vaccine, split or subunit, unspecified",False,,
VAC0124,FOCETRIA (multidose),False,CVX-88,"Influenza vaccine, unspecified",False,,
VAC0125,AREPANRIX,False,CVX-125,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,0
VAC0125,AREPANRIX,False,CVX-126,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,0
VAC0125,AREPANRIX,False,CVX-127,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,0
VAC0125,AREPANRIX,False,CVX-128,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,0
VAC0125,AREPANRIX,False,CVX-15,"Inactivated influenza vaccine, split or subunit, unspecified",False,,
VAC0125,AREPANRIX,False,CVX-88,"Influenza vaccine, unspecified",False,,
VAC0126,HEVAC B,False,,,,,
VAC0127,HB VAX DNA 5 µg,False,CVX-45,"Hepatitis B vaccine, recombinant, unspecified",True,8,0
VAC0128,HB VAX DNA 10 µg,False,CVX-08,"Hepatitis B vaccine, monovalent, pediatric dose, unspecified",True,16,0
VAC0128,HB VAX DNA 10 µg,False,CVX-42,"Hepatitis B vaccine, monovalent, pediatric dose, unspecified",True,16,0
VAC0128,HB VAX DNA 10 µg,False,CVX-45,"Hepatitis B vaccine, recombinant, unspecified",False,,
VAC0129,HB VAX DNA 40 µg,False,CVX-44,"Hepatitis B vaccine, monovalent, dialysis patient dosage, unspecified",True,5,0
VAC0129,HB VAX DNA 40 µg,False,CVX-45,"Hepatitis B vaccine, recombinant, unspecified",False,,
VAC0130,"MMR vaccine, live attenuated, unspecified",True,CVX-03,"MMR vaccine, live attenuated, unspecified",True,26,1
VAC0131,"Rabies vaccine, unspecified",True,CVX-18,"Rabies vaccine, unspecified",True,22,3
VAC0131,"Rabies vaccine, unspecified",True,CVX-40,"Rabies vaccine, unspecified",True,22,3
VAC0131,"Rabies vaccine, unspecified",True,CVX-90,"Rabies vaccine, unspecified",True,22,3
