NTIN,NUVA,Label
NTIN-7891463009159,VAC0062,VAXIGRIP
NTIN-6285080000209,VAC0086,TETAVAX
NTIN-8699625960107,VAC0086,TETAVAX
NTIN-3582910072461,VAC0103,MENACTRA
NTIN-4640017591564,VAC0103,MENACTRA
NTIN-7501895148912,VAC0103,MENACTRA
NTIN-7798015780408,VAC0103,MENACTRA
NTIN-7891058019747,VAC0103,MENACTRA
NTIN-8699625960503,VAC0103,MENACTRA
NTIN-8699625960510,VAC0103,MENACTRA
NTIN-8806659001915,VAC0103,MENACTRA
NTIN-9329670000228,VAC0103,MENACTRA
NTIN-3400935677242,VAC0115,AVAXIM 80 U PEDIATRIQUE
NTIN-5000283662112,VAC0115,AVAXIM 80 U PEDIATRIQUE
NTIN-7501895113910,VAC0115,AVAXIM 80 U PEDIATRIQUE
NTIN-7798015780996,VAC0115,AVAXIM 80 U PEDIATRIQUE
NTIN-7891058022860,VAC0115,AVAXIM 80 U PEDIATRIQUE
NTIN-8806659000314,VAC0115,AVAXIM 80 U PEDIATRIQUE
NTIN-8470006567562,VAC0172,DIFTAVAX
NTIN-7798015780682,VAC0180,ACTACEL
NTIN-3582910075394,VAC0182,ADACEL
NTIN-5909991288365,VAC0182,ADACEL
NTIN-6009637919963,VAC0182,ADACEL
NTIN-7290101535416,VAC0182,ADACEL
NTIN-7501895141968,VAC0182,ADACEL
NTIN-7798015781108,VAC0182,ADACEL
NTIN-7800066000944,VAC0182,ADACEL
NTIN-7891058021276,VAC0182,ADACEL
NTIN-8470007116325,VAC0182,ADACEL
NTIN-8699625960466,VAC0182,ADACEL
NTIN-8806659001113,VAC0182,ADACEL
NTIN-9329670300717,VAC0182,ADACEL
NTIN-9329670300731,VAC0182,ADACEL
NTIN-9329670300755,VAC0182,ADACEL
NTIN-9329670300762,VAC0182,ADACEL
NTIN-9329670300809,VAC0211,DAPTACEL
NTIN-9088881290520,VAC0254,IMOVAX D.T.
NTIN-5000283661665,VAC0259,IMOVAX Rabies
NTIN-7680004170027,VAC0259,IMOVAX Rabies
NTIN-8470006539798,VAC0259,IMOVAX Rabies
NTIN-8712172866378,VAC0259,IMOVAX Rabies
NTIN-9329670200758,VAC0259,IMOVAX Rabies
NTIN-9329670300502,VAC0268,IPOL
NTIN-4150125900993,VAC0478,COVAXIS
NTIN-4150125901075,VAC0478,COVAXIS
NTIN-9088883768614,VAC0479,TRIAXIS
NTIN-3660053202218,VAC0488,PENTAXIM
NTIN-3660053283262,VAC0488,PENTAXIM
NTIN-4640017590062,VAC0488,PENTAXIM
NTIN-5909990625260,VAC0488,PENTAXIM
NTIN-7798015781009,VAC0488,PENTAXIM
NTIN-7891058022884,VAC0488,PENTAXIM
NTIN-7891058999551,VAC0488,PENTAXIM
NTIN-8699625960336,VAC0488,PENTAXIM
NTIN-8806659002110,VAC0488,PENTAXIM
NTIN-4150013581174,VAC0491,TENIVAC
NTIN-4150013583246,VAC0491,TENIVAC
NTIN-3400934823183,VAC0498,IMOGAM RAGE
NTIN-3837000162394,VAC0507,HEXACIMA
NTIN-5909991063481,VAC0507,HEXACIMA
NTIN-7501895110056,VAC0507,HEXACIMA
NTIN-3400927350368,VAC0510,HEXYON
NTIN-4150071213048,VAC0510,HEXYON
NTIN-4150071215110,VAC0510,HEXYON
NTIN-4150109866635,VAC0510,HEXYON
NTIN-8470006980781,VAC0510,HEXYON
NTIN-8470007314998,VAC0510,HEXYON
NTIN-8712172867177,VAC0510,HEXYON
NTIN-9088883928162,VAC0510,HEXYON
NTIN-7680669400019,VAC0535,VAXELIS
NTIN-7680669400026,VAC0535,VAXELIS
NTIN-9329670300045,VAC0535,VAXELIS
NTIN-3400930198599,VAC0539,DENGVAXIA
NTIN-3660053323760,VAC0539,DENGVAXIA
NTIN-7501895115020,VAC0539,DENGVAXIA
NTIN-7798015781160,VAC0539,DENGVAXIA
NTIN-7891058022891,VAC0539,DENGVAXIA
NTIN-7891058022990,VAC0539,DENGVAXIA
NTIN-7891058999643,VAC0539,DENGVAXIA
NTIN-6285080000261,VAC0543,HEXAXIM
NTIN-7501895110063,VAC0543,HEXAXIM
NTIN-7798015781122,VAC0543,HEXAXIM
NTIN-7891058022662,VAC0543,HEXAXIM
NTIN-7891058999575,VAC0543,HEXAXIM
NTIN-7891058999827,VAC0543,HEXAXIM
NTIN-8470006061404,VAC0543,HEXAXIM
NTIN-8699625960527,VAC0543,HEXAXIM
NTIN-8806659002318,VAC0543,HEXAXIM
NTIN-5909991302252,VAC0544,TETRAXIM
NTIN-7501895110070,VAC0544,TETRAXIM
NTIN-7891058999599,VAC0544,TETRAXIM
NTIN-8470007291015,VAC0544,TETRAXIM
NTIN-8699625960343,VAC0544,TETRAXIM
NTIN-8806659001212,VAC0544,TETRAXIM
NTIN-7800066211333,VAC0545,EUVAX B 20 µg
NTIN-8806689009134,VAC0545,EUVAX B 20 µg
NTIN-8806689009165,VAC0545,EUVAX B 20 µg
NTIN-8806689009233,VAC0545,EUVAX B 20 µg
NTIN-9088882469987,VAC0546,DULTAVAX
NTIN-7501895141951,VAC0554,PEDIACEL
NTIN-7891058021290,VAC0554,PEDIACEL
NTIN-3400930067727,VAC0560,VAXIGRIPTETRA
NTIN-4150160131406,VAC0560,VAXIGRIPTETRA
NTIN-4150160131574,VAC0560,VAXIGRIPTETRA
NTIN-4150160131635,VAC0560,VAXIGRIPTETRA
NTIN-4150160131925,VAC0560,VAXIGRIPTETRA
NTIN-4150168199729,VAC0560,VAXIGRIPTETRA
NTIN-4150168199897,VAC0560,VAXIGRIPTETRA
NTIN-4150168199958,VAC0560,VAXIGRIPTETRA
NTIN-4150168200012,VAC0560,VAXIGRIPTETRA
NTIN-4150175437104,VAC0560,VAXIGRIPTETRA
NTIN-4150175437272,VAC0560,VAXIGRIPTETRA
NTIN-4150175437333,VAC0560,VAXIGRIPTETRA
NTIN-4150175437562,VAC0560,VAXIGRIPTETRA
NTIN-4891609630691,VAC0560,VAXIGRIPTETRA
NTIN-4891609630707,VAC0560,VAXIGRIPTETRA
NTIN-5000283658962,VAC0560,VAXIGRIPTETRA
NTIN-5000283658979,VAC0560,VAXIGRIPTETRA
NTIN-5909991302108,VAC0560,VAXIGRIPTETRA
NTIN-5909991302139,VAC0560,VAXIGRIPTETRA
NTIN-7501895110087,VAC0560,VAXIGRIPTETRA
NTIN-7501895110100,VAC0560,VAXIGRIPTETRA
NTIN-7680664270075,VAC0560,VAXIGRIPTETRA
NTIN-7680664270105,VAC0560,VAXIGRIPTETRA
NTIN-7680664270136,VAC0560,VAXIGRIPTETRA
NTIN-7680664270143,VAC0560,VAXIGRIPTETRA
NTIN-7680664270150,VAC0560,VAXIGRIPTETRA
NTIN-7680664270167,VAC0560,VAXIGRIPTETRA
NTIN-7680664270198,VAC0560,VAXIGRIPTETRA
NTIN-7680664270204,VAC0560,VAXIGRIPTETRA
NTIN-7798015781184,VAC0560,VAXIGRIPTETRA
NTIN-8470007134978,VAC0560,VAXIGRIPTETRA
NTIN-8470007160243,VAC0560,VAXIGRIPTETRA
NTIN-8699625960541,VAC0560,VAXIGRIPTETRA
NTIN-8712172866231,VAC0560,VAXIGRIPTETRA
NTIN-8806659002226,VAC0560,VAXIGRIPTETRA
NTIN-9088884467844,VAC0560,VAXIGRIPTETRA
NTIN-9088884467851,VAC0560,VAXIGRIPTETRA
NTIN-9329670000273,VAC0560,VAXIGRIPTETRA
NTIN-9329670000280,VAC0560,VAXIGRIPTETRA
NTIN-8806659002011,VAC0561,IMOJEV
NTIN-9329670200505,VAC0591,VIVAXIM
NTIN-3400933048877,VAC0593,VERORAB
NTIN-5909990002412,VAC0593,VERORAB
NTIN-7501895115907,VAC0593,VERORAB
NTIN-7897965402061,VAC0593,VERORAB
NTIN-8699625960398,VAC0593,VERORAB
NTIN-8964001484073,VAC0593,VERORAB
NTIN-3400930244210,VAC0594,MENQUADFI
NTIN-4150029125157,VAC0594,MENQUADFI
NTIN-5000283662365,VAC0594,MENQUADFI
NTIN-5000283662945,VAC0594,MENQUADFI
NTIN-5000283663027,VAC0594,MENQUADFI
NTIN-7798015781207,VAC0594,MENQUADFI
NTIN-7891058999650,VAC0594,MENQUADFI
NTIN-8470007298250,VAC0594,MENQUADFI
NTIN-8470007321019,VAC0594,MENQUADFI
NTIN-8712172867009,VAC0594,MENQUADFI
NTIN-9329670200161,VAC0594,MENQUADFI
NTIN-5909991428020,VAC0639,ADACEL POLIO
NTIN-7891058022877,VAC0639,ADACEL POLIO
NTIN-8699625960428,VAC0639,ADACEL POLIO
NTIN-3400930205402,VAC0642,FLUZONE HIGH-DOSE QUADRIVALENT
NTIN-4150168200180,VAC0642,FLUZONE HIGH-DOSE QUADRIVALENT
NTIN-4150168200302,VAC0642,FLUZONE HIGH-DOSE QUADRIVALENT
NTIN-4150175437791,VAC0642,FLUZONE HIGH-DOSE QUADRIVALENT
NTIN-4150175437852,VAC0642,FLUZONE HIGH-DOSE QUADRIVALENT
NTIN-8470006074206,VAC0642,FLUZONE HIGH-DOSE QUADRIVALENT
NTIN-8470007284680,VAC0642,FLUZONE HIGH-DOSE QUADRIVALENT
NTIN-9329670000297,VAC0642,FLUZONE HIGH-DOSE QUADRIVALENT
NTIN-7891058018580,VAC0706,FLUZONE QUADRIVALENT
NTIN-9329670000150,VAC0706,FLUZONE QUADRIVALENT
NTIN-8470007280071,VAC0736,TRIAXIS POLIO
NTIN-4150025289693,VAC0960,VIATIM
NTIN-5000283658580,VAC0960,VIATIM
NTIN-9088882434022,VAC0960,VIATIM
