NUVA,NUVA label,IsAbstract,CPT,CPT label,Best,Blur,Equiv
VAC0012,IMMUGRIP,False,CPT-90724,"Influenza vaccine, unspecified",False,,
VAC0013,IMOVAX POLIO,False,CPT-90713,"Inactivated Polio vaccine, unspecified",True,18,0
VAC0014,INFANRIX HEXA,False,CPT-90697,"Hexavalent vaccine DTPCaHibHepB - Diphtheria-Tetanus-Polio-Acellular Pertussis-Hib-HepB, unspecified",True,9,0
VAC0015,INFANRIXQUINTA,False,CPT-90698,"Pentavalent DTaPHibIPV vaccine, unspecified",True,13,0
VAC0016,INFLUVAC,False,CPT-90653,"Trivalent inactivated influenza vaccine, unspecified",True,50,0
VAC0016,INFLUVAC,False,CPT-90673,"Trivalent inactivated influenza vaccine, unspecified",True,50,0
VAC0016,INFLUVAC,False,CPT-90655,"Influenza vaccine, unspecified",False,,
VAC0016,INFLUVAC,False,CPT-90656,"Influenza vaccine, unspecified",False,,
VAC0016,INFLUVAC,False,CPT-90724,"Influenza vaccine, unspecified",False,,
VAC0017,M-M-RVAXPRO,False,CPT-90707,"MMR vaccine, live attenuated, unspecified",True,26,0
VAC0018,MENCEVAX ACWY,False,CPT-90733,"Unconjugated meningococcal vaccine ACWY, unspecified",True,6,0
VAC0019,MENINGITEC,False,,,,,
VAC0020,MENJUGATEKIT 10 µg,False,,,,,
VAC0021,MUTAGRIP,False,CPT-90653,"Trivalent inactivated influenza vaccine, unspecified",True,50,0
VAC0021,MUTAGRIP,False,CPT-90673,"Trivalent inactivated influenza vaccine, unspecified",True,50,0
VAC0021,MUTAGRIP,False,CPT-90655,"Influenza vaccine, unspecified",False,,
VAC0021,MUTAGRIP,False,CPT-90656,"Influenza vaccine, unspecified",False,,
VAC0021,MUTAGRIP,False,CPT-90724,"Influenza vaccine, unspecified",False,,
VAC0022,NEISVAC,False,,,,,
VAC0023,PENTAVAC,False,CPT-90698,"Pentavalent DTaPHibIPV vaccine, unspecified",True,13,0
VAC0024,PNEUMO 23,False,CPT-90732,"Pneumococcal polysaccharide vaccine 23-valent, unspecified",True,11,0
VAC0025,PREVENAR,False,CPT-90669,"Pneumococcal conjugate vaccine, 7 valent, unspecified",True,4,0
VAC0026,PREVIGRIP,False,CPT-90653,"Trivalent inactivated influenza vaccine, unspecified",True,50,0
VAC0026,PREVIGRIP,False,CPT-90673,"Trivalent inactivated influenza vaccine, unspecified",True,50,0
VAC0026,PREVIGRIP,False,CPT-90655,"Influenza vaccine, unspecified",False,,
VAC0026,PREVIGRIP,False,CPT-90656,"Influenza vaccine, unspecified",False,,
VAC0026,PREVIGRIP,False,CPT-90724,"Influenza vaccine, unspecified",False,,
VAC0027,R.O.R. VAX,False,CPT-90707,"MMR vaccine, live attenuated, unspecified",True,26,0
VAC0028,RABIPUR,False,CPT-90675,"Rabies vaccine, unspecified",True,32,0
VAC0028,RABIPUR,False,CPT-90676,"Rabies vaccine, unspecified",True,32,0
VAC0028,RABIPUR,False,CPT-90726,"Rabies vaccine, unspecified",True,32,0
VAC0029,REPEVAX,False,,,,,
VAC0030,REVAXIS,False,,,,,
VAC0031,ROTATEQ,False,CPT-90680,"Rotavirus pentavalent vaccine, unspecified",True,2,0
VAC0032,ROUVAX,False,CPT-90705,"Live attenuated measles vaccine, unspecified",True,25,0
VAC0033,RUDIVAX,False,CPT-90706,"Rubella vaccine, live attenuated, unspecified",True,21,0
VAC0034,SPIROLEPT,False,,,,,
VAC0035,STAMARIL,False,CPT-90717,"Yellow fever vaccine, unspecified",True,7,0
VAC0036,TETAGRIP,False,,,,,
VAC0037,TETRAVAC-ACELLULAIRE,False,CPT-90696,"DTaPIPV vaccine, standard dose, unspecified",True,12,0
VAC0038,"TICOVAC 0,5 mL",False,CPT-90627,"TICOVAC 0,5 mL",True,1,1
VAC0039,"TICOVAC 0,25 mL",False,CPT-90626,"TICOVAC 0,25 mL",True,1,1
VAC0040,TYAVAX,False,,,,,
VAC0041,TYPHIM VI,False,CPT-90691,"Typhoid polysaccharide vaccine, unspecified",True,7,0
VAC0042,VACCIN BCG SSI,False,CPT-90585,"BCG vaccine, unspecified",True,19,0
VAC0042,VACCIN BCG SSI,False,CPT-90728,"BCG vaccine, unspecified",True,19,0
VAC0043,BOOSTRIXTETRA,False,,,,,
VAC0044,CERVARIX,False,CPT-90650,"HPV vaccine bivalent, unspecified",True,3,0
VAC0045,ENGERIX B 10 µg,False,CPT-90744,"Hepatitis B vaccine, monovalent, pediatric dose, unspecified",True,16,0
VAC0045,ENGERIX B 10 µg,False,CPT-90731,"Hepatitis B vaccine, recombinant, unspecified",False,,
VAC0046,ENGERIX B 20 µg,False,CPT-90743,"Hepatitis B vaccine, monovalent, adult dose, unspecified",True,14,0
VAC0046,ENGERIX B 20 µg,False,CPT-90746,"Hepatitis B vaccine, monovalent, adult dose, unspecified",True,14,0
VAC0046,ENGERIX B 20 µg,False,CPT-90731,"Hepatitis B vaccine, recombinant, unspecified",False,,
VAC0047,FLUARIX,False,CPT-90653,"Trivalent inactivated influenza vaccine, unspecified",True,50,0
VAC0047,FLUARIX,False,CPT-90673,"Trivalent inactivated influenza vaccine, unspecified",True,50,0
VAC0047,FLUARIX,False,CPT-90655,"Influenza vaccine, unspecified",False,,
VAC0047,FLUARIX,False,CPT-90656,"Influenza vaccine, unspecified",False,,
VAC0047,FLUARIX,False,CPT-90724,"Influenza vaccine, unspecified",False,,
VAC0048,GENHEVAC B PASTEUR,False,CPT-90743,"Hepatitis B vaccine, monovalent, adult dose, unspecified",True,14,0
VAC0048,GENHEVAC B PASTEUR,False,CPT-90746,"Hepatitis B vaccine, monovalent, adult dose, unspecified",True,14,0
VAC0048,GENHEVAC B PASTEUR,False,CPT-90731,"Hepatitis B vaccine, recombinant, unspecified",False,,
VAC0049,HAVRIX 1440 U/1mL,False,CPT-90632,"Inactivated hepatitis A vaccine, adult dose, unspecified",True,5,0
VAC0049,HAVRIX 1440 U/1mL,False,CPT-90730,"Inactivated hepatitis A vaccine, unspecified",False,,
VAC0050,"HAVRIX 720 U/0,5 mL",False,CPT-90633,"Hepatitis A whole inactivated vaccine, monovalent, pediatric dose, unspecified",True,5,0
VAC0050,"HAVRIX 720 U/0,5 mL",False,CPT-90730,"Inactivated hepatitis A vaccine, unspecified",False,,
VAC0051,INFANRIXTETRA,False,CPT-90696,"DTaPIPV vaccine, standard dose, unspecified",True,12,0
VAC0052,VACCIN MENINGOCOCCIQUE A+C,False,,,,,
VAC0053,PRIORIX,False,CPT-90707,"MMR vaccine, live attenuated, unspecified",True,26,0
VAC0054,VACCIN RABIQUE PASTEUR,False,CPT-90675,"Rabies vaccine, unspecified",True,32,0
VAC0054,VACCIN RABIQUE PASTEUR,False,CPT-90676,"Rabies vaccine, unspecified",True,32,0
VAC0054,VACCIN RABIQUE PASTEUR,False,CPT-90726,"Rabies vaccine, unspecified",True,32,0
VAC0056,VACCIN TETANIQUE PASTEUR,False,CPT-90703,"Tetanus vaccine, unspecified",True,36,0
VAC0057,TWINRIX 20 µg,False,CPT-90636,"Combined hepatitis A and hepatitis B vaccine, unspecified",True,6,0
VAC0058,TWINRIX 10 µg,False,CPT-90619,"Hepatitis A + Hepatitis B vaccine Child, unspecified",True,3,0
VAC0058,TWINRIX 10 µg,False,CPT-90634,"Hepatitis A + Hepatitis B vaccine Child, unspecified",True,3,0
VAC0058,TWINRIX 10 µg,False,CPT-90636,"Combined hepatitis A and hepatitis B vaccine, unspecified",False,,
VAC0059,TYPHERIX,False,CPT-90691,"Typhoid polysaccharide vaccine, unspecified",True,7,0
VAC0060,VARILRIX,False,CPT-90716,"Chickenpox vaccine, unspecified",True,9,0
VAC0061,VARIVAX,False,CPT-90716,"Chickenpox vaccine, unspecified",True,9,0
VAC0062,VAXIGRIP,False,CPT-90653,"Trivalent inactivated influenza vaccine, unspecified",True,50,0
VAC0062,VAXIGRIP,False,CPT-90673,"Trivalent inactivated influenza vaccine, unspecified",True,50,0
VAC0062,VAXIGRIP,False,CPT-90655,"Influenza vaccine, unspecified",False,,
VAC0062,VAXIGRIP,False,CPT-90656,"Influenza vaccine, unspecified",False,,
VAC0062,VAXIGRIP,False,CPT-90724,"Influenza vaccine, unspecified",False,,
VAC0063,TETRACOQ,False,,,,,
VAC0064,PENTACOQ,False,,,,,
VAC0066,DTCP PASTEUR,False,CPT-90696,"DTaPIPV vaccine, standard dose, unspecified",True,12,0
VAC0067,HAVRIX 360 U,False,CPT-90633,"Hepatitis A whole inactivated vaccine, monovalent, pediatric dose, unspecified",True,5,0
VAC0067,HAVRIX 360 U,False,CPT-90730,"Inactivated hepatitis A vaccine, unspecified",False,,
VAC0068,MONOVAX,False,CPT-90585,"BCG vaccine, unspecified",True,19,0
VAC0068,MONOVAX,False,CPT-90728,"BCG vaccine, unspecified",True,19,0
VAC0069,MENOMUNE,False,CPT-90733,"Unconjugated meningococcal vaccine ACWY, unspecified",True,6,0
VAC0070,DT BIS,False,CPT-90702,"DT vaccine, unspecified",True,28,0
VAC0071,D.T. BIS - RUDIVAX,False,,,,,
VAC0072,JE-VAX,False,CPT-90735,"Inactivated Japanese Encephalitis vaccine, unspecified",True,14,0
VAC0073,IXIARO,False,CPT-90735,"Inactivated Japanese Encephalitis vaccine, unspecified",True,14,0
VAC0074,D.T. COQ MERIEUX,False,CPT-90701,"DPT Diphtheria-Pertussis-Tetanus vaccine, unspecified",True,30,0
VAC0076,DTVax,False,CPT-90702,"DT vaccine, unspecified",True,28,0
VAC0077,IMOVAX OREILLONS,False,CPT-90704,"Mumps vaccine, unspecified",True,12,0
VAC0078,RUDI-ROUVAX,False,CPT-90708,"Measles-Rubella vaccine, unspecified",True,12,0
VAC0079,ENCEPUR,False,,,,,
VAC0080,BCG PASTEUR,False,CPT-90585,"BCG vaccine, unspecified",True,19,0
VAC0080,BCG PASTEUR,False,CPT-90728,"BCG vaccine, unspecified",True,19,0
VAC0082,MENBVAC,False,,,,,
VAC0083,SYNFLORIX,False,,,,,
VAC0084,"H5N1 pre-pandemic influenza vaccine, unspecified",True,,,,,
VAC0085,T POLIO MERIEUX,False,,,,,
VAC0086,TETAVAX,False,CPT-90703,"Tetanus vaccine, unspecified",True,36,0
VAC0087,VAXICOQ,False,,,,,
VAC0088,"DTIPV vaccine, unspecified",True,,,,,
VAC0090,VACCIN BRUCELLIQUE P.I. à usage humain,False,,,,,
VAC0091,VACCIN CCB PASTEUR,False,,,,,
VAC0092,VACCIN CHOLERIQUE PASTEUR,False,CPT-90725,"Cholera vaccine, unspecified",True,17,0
VAC0093,VACCIN DT TAB PASTEUR,False,,,,,
VAC0094,VACCIN SABIN POLIOVAC MERIEUX,False,CPT-90712,"Monovalent oral polio vaccine - type unknown, unspecified",True,29,0
VAC0095,VACCIN TAB PASTEUR,False,,,,,
VAC0096,VACCIN GRIPPAL RONCHESE (VGR),False,CPT-90653,"Trivalent inactivated influenza vaccine, unspecified",True,50,0
VAC0096,VACCIN GRIPPAL RONCHESE (VGR),False,CPT-90673,"Trivalent inactivated influenza vaccine, unspecified",True,50,0
VAC0096,VACCIN GRIPPAL RONCHESE (VGR),False,CPT-90655,"Influenza vaccine, unspecified",False,,
VAC0096,VACCIN GRIPPAL RONCHESE (VGR),False,CPT-90656,"Influenza vaccine, unspecified",False,,
VAC0096,VACCIN GRIPPAL RONCHESE (VGR),False,CPT-90724,"Influenza vaccine, unspecified",False,,
VAC0097,VACCIN LEPTOSPIRES ICTEROHEMORRAGIAE PASTEUR,False,,,,,
VAC0098,HEXAVAC,False,CPT-90697,"Hexavalent vaccine DTPCaHibHepB - Diphtheria-Tetanus-Polio-Acellular Pertussis-Hib-HepB, unspecified",True,9,0
VAC0099,MENINVACT,False,,,,,
VAC0101,"Hepatitis B vaccine, recombinant, unspecified",True,CPT-90731,"Hepatitis B vaccine, recombinant, unspecified",True,8,1
VAC0102,"Inactivated hepatitis A vaccine, unspecified",True,CPT-90730,"Inactivated hepatitis A vaccine, unspecified",True,8,1
VAC0103,MENACTRA,False,CPT-90734,"Meningococcal ACWY conjugate vaccine, unspecified",True,8,0
VAC0104,HUMENZA,False,CPT-90470,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,0
VAC0104,HUMENZA,False,CPT-90663,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,0
VAC0104,HUMENZA,False,CPT-90664,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,0
VAC0104,HUMENZA,False,CPT-90666,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,0
VAC0104,HUMENZA,False,CPT-90668,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,0
VAC0104,HUMENZA,False,CPT-90655,"Influenza vaccine, unspecified",False,,
VAC0104,HUMENZA,False,CPT-90656,"Influenza vaccine, unspecified",False,,
VAC0104,HUMENZA,False,CPT-90724,"Influenza vaccine, unspecified",False,,
VAC0105,PANENZA,False,CPT-90470,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,0
VAC0105,PANENZA,False,CPT-90663,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,0
VAC0105,PANENZA,False,CPT-90664,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,0
VAC0105,PANENZA,False,CPT-90666,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,0
VAC0105,PANENZA,False,CPT-90668,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,0
VAC0105,PANENZA,False,CPT-90655,"Influenza vaccine, unspecified",False,,
VAC0105,PANENZA,False,CPT-90656,"Influenza vaccine, unspecified",False,,
VAC0105,PANENZA,False,CPT-90724,"Influenza vaccine, unspecified",False,,
VAC0106,Q-Pan H1N1,False,CPT-90470,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,0
VAC0106,Q-Pan H1N1,False,CPT-90663,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,0
VAC0106,Q-Pan H1N1,False,CPT-90664,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,0
VAC0106,Q-Pan H1N1,False,CPT-90666,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,0
VAC0106,Q-Pan H1N1,False,CPT-90668,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,0
VAC0106,Q-Pan H1N1,False,CPT-90655,"Influenza vaccine, unspecified",False,,
VAC0106,Q-Pan H1N1,False,CPT-90656,"Influenza vaccine, unspecified",False,,
VAC0106,Q-Pan H1N1,False,CPT-90724,"Influenza vaccine, unspecified",False,,
VAC0107,CELVAPAN,False,CPT-90470,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,0
VAC0107,CELVAPAN,False,CPT-90663,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,0
VAC0107,CELVAPAN,False,CPT-90664,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,0
VAC0107,CELVAPAN,False,CPT-90666,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,0
VAC0107,CELVAPAN,False,CPT-90668,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,0
VAC0107,CELVAPAN,False,CPT-90655,"Influenza vaccine, unspecified",False,,
VAC0107,CELVAPAN,False,CPT-90656,"Influenza vaccine, unspecified",False,,
VAC0107,CELVAPAN,False,CPT-90724,"Influenza vaccine, unspecified",False,,
VAC0108,PANDEMRIX,False,CPT-90470,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,0
VAC0108,PANDEMRIX,False,CPT-90663,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,0
VAC0108,PANDEMRIX,False,CPT-90664,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,0
VAC0108,PANDEMRIX,False,CPT-90666,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,0
VAC0108,PANDEMRIX,False,CPT-90668,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,0
VAC0108,PANDEMRIX,False,CPT-90655,"Influenza vaccine, unspecified",False,,
VAC0108,PANDEMRIX,False,CPT-90656,"Influenza vaccine, unspecified",False,,
VAC0108,PANDEMRIX,False,CPT-90724,"Influenza vaccine, unspecified",False,,
VAC0109,FOCETRIA (unidose),False,CPT-90470,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,0
VAC0109,FOCETRIA (unidose),False,CPT-90663,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,0
VAC0109,FOCETRIA (unidose),False,CPT-90664,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,0
VAC0109,FOCETRIA (unidose),False,CPT-90666,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,0
VAC0109,FOCETRIA (unidose),False,CPT-90668,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,0
VAC0109,FOCETRIA (unidose),False,CPT-90655,"Influenza vaccine, unspecified",False,,
VAC0109,FOCETRIA (unidose),False,CPT-90656,"Influenza vaccine, unspecified",False,,
VAC0109,FOCETRIA (unidose),False,CPT-90724,"Influenza vaccine, unspecified",False,,
VAC0110,"Influenza vaccine, unspecified",True,CPT-90655,"Influenza vaccine, unspecified",True,34,3
VAC0110,"Influenza vaccine, unspecified",True,CPT-90656,"Influenza vaccine, unspecified",True,34,3
VAC0110,"Influenza vaccine, unspecified",True,CPT-90724,"Influenza vaccine, unspecified",True,34,3
VAC0111,"Yellow fever vaccine, unspecified",True,CPT-90717,"Yellow fever vaccine, unspecified",True,7,1
VAC0112,"Typhoid vaccine, unspecified",True,,,,,
VAC0113,"Rubella vaccine, live attenuated, unspecified",True,CPT-90706,"Rubella vaccine, live attenuated, unspecified",True,21,1
VAC0114,"Live attenuated measles vaccine, unspecified",True,CPT-90705,"Live attenuated measles vaccine, unspecified",True,25,1
VAC0115,AVAXIM 80 U PEDIATRIQUE,False,CPT-90633,"Hepatitis A whole inactivated vaccine, monovalent, pediatric dose, unspecified",True,5,0
VAC0115,AVAXIM 80 U PEDIATRIQUE,False,CPT-90730,"Inactivated hepatitis A vaccine, unspecified",False,,
VAC0116,R.O.R SANOFI PASTEUR,False,CPT-90707,"MMR vaccine, live attenuated, unspecified",True,26,0
VAC0120,VACCIN VARICELLE MERIEUX,False,CPT-90716,"Chickenpox vaccine, unspecified",True,9,0
VAC0121,PRIORIX-TETRA,False,CPT-90710,"MMRV - Measles-Mumps-Rubella-Varicella vaccine, unspecified",True,3,0
VAC0123,PREVENAR 13,False,CPT-90670,"Pneumococcal 13-valent conjugate vaccine, unspecified",True,2,0
VAC0124,FOCETRIA (multidose),False,CPT-90470,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,0
VAC0124,FOCETRIA (multidose),False,CPT-90663,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,0
VAC0124,FOCETRIA (multidose),False,CPT-90664,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,0
VAC0124,FOCETRIA (multidose),False,CPT-90666,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,0
VAC0124,FOCETRIA (multidose),False,CPT-90668,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,0
VAC0124,FOCETRIA (multidose),False,CPT-90655,"Influenza vaccine, unspecified",False,,
VAC0124,FOCETRIA (multidose),False,CPT-90656,"Influenza vaccine, unspecified",False,,
VAC0124,FOCETRIA (multidose),False,CPT-90724,"Influenza vaccine, unspecified",False,,
VAC0125,AREPANRIX,False,CPT-90470,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,0
VAC0125,AREPANRIX,False,CPT-90663,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,0
VAC0125,AREPANRIX,False,CPT-90664,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,0
VAC0125,AREPANRIX,False,CPT-90666,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,0
VAC0125,AREPANRIX,False,CPT-90668,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,0
VAC0125,AREPANRIX,False,CPT-90655,"Influenza vaccine, unspecified",False,,
VAC0125,AREPANRIX,False,CPT-90656,"Influenza vaccine, unspecified",False,,
VAC0125,AREPANRIX,False,CPT-90724,"Influenza vaccine, unspecified",False,,
VAC0126,HEVAC B,False,,,,,
VAC0127,HB VAX DNA 5 µg,False,CPT-90731,"Hepatitis B vaccine, recombinant, unspecified",True,8,0
VAC0128,HB VAX DNA 10 µg,False,CPT-90744,"Hepatitis B vaccine, monovalent, pediatric dose, unspecified",True,16,0
VAC0128,HB VAX DNA 10 µg,False,CPT-90731,"Hepatitis B vaccine, recombinant, unspecified",False,,
VAC0129,HB VAX DNA 40 µg,False,CPT-90740,"Hepatitis B vaccine, monovalent, dialysis patient dosage, unspecified",True,5,0
VAC0129,HB VAX DNA 40 µg,False,CPT-90747,"Hepatitis B vaccine, monovalent, dialysis patient dosage, unspecified",True,5,0
VAC0129,HB VAX DNA 40 µg,False,CPT-90731,"Hepatitis B vaccine, recombinant, unspecified",False,,
VAC0130,"MMR vaccine, live attenuated, unspecified",True,CPT-90707,"MMR vaccine, live attenuated, unspecified",True,26,1
VAC0131,"Rabies vaccine, unspecified",True,CPT-90675,"Rabies vaccine, unspecified",True,32,3
VAC0131,"Rabies vaccine, unspecified",True,CPT-90676,"Rabies vaccine, unspecified",True,32,3
VAC0131,"Rabies vaccine, unspecified",True,CPT-90726,"Rabies vaccine, unspecified",True,32,3
VAC0132,"Tetanus vaccine, unspecified",True,CPT-90703,"Tetanus vaccine, unspecified",True,36,1
VAC0133,"Smallpox vaccine, unspecified",True,,,,,
VAC0134,"BCG vaccine, unspecified",True,CPT-90585,"BCG vaccine, unspecified",True,19,2
VAC0134,"BCG vaccine, unspecified",True,CPT-90728,"BCG vaccine, unspecified",True,19,2
VAC0135,"Polio vaccine, unspecified",True,,,,,
VAC0136,"DTwP - Diphtheria-Tetanus-Pertussis, unspecified",True,CPT-90701,"DPT Diphtheria-Pertussis-Tetanus vaccine, unspecified",True,30,0
VAC0137,"DT vaccine, unspecified",True,CPT-90702,"DT vaccine, unspecified",True,28,1
VAC0138,"Diphtheria-Tetanus-Pertussis-Polio vaccine, unspecified",True,,,,,
VAC0139,PENT-HIBEST,False,,,,,
VAC0140,INTANZA,False,CPT-90653,"Trivalent inactivated influenza vaccine, unspecified",True,50,0
VAC0140,INTANZA,False,CPT-90673,"Trivalent inactivated influenza vaccine, unspecified",True,50,0
VAC0140,INTANZA,False,CPT-90655,"Influenza vaccine, unspecified",False,,
VAC0140,INTANZA,False,CPT-90656,"Influenza vaccine, unspecified",False,,
VAC0140,INTANZA,False,CPT-90724,"Influenza vaccine, unspecified",False,,
VAC0141,MENVEO,False,CPT-90734,"Meningococcal ACWY conjugate vaccine, unspecified",True,8,0
VAC0143,"Haemophilus influenzae B (or Hib) vaccine, unspecified",True,CPT-90737,"Haemophilus influenzae B (or Hib) vaccine, unspecified",True,1,1
VAC0144,"Cholera vaccine, unspecified",True,CPT-90725,"Cholera vaccine, unspecified",True,17,1
VAC0145,"Tick-borne encephalitis vaccine, unspecified",True,,,,,
VAC0146,"Live attenuated Japanese Encephalitis vaccine 14-14-2 strain, unspecified",True,,,,,
VAC0147,"Influenza A(H1N1)2009 vaccine, unspecified",True,CPT-90470,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,5
VAC0147,"Influenza A(H1N1)2009 vaccine, unspecified",True,CPT-90663,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,5
VAC0147,"Influenza A(H1N1)2009 vaccine, unspecified",True,CPT-90664,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,5
VAC0147,"Influenza A(H1N1)2009 vaccine, unspecified",True,CPT-90666,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,5
VAC0147,"Influenza A(H1N1)2009 vaccine, unspecified",True,CPT-90668,"Influenza A(H1N1)2009 vaccine, unspecified",True,12,5
VAC0147,"Influenza A(H1N1)2009 vaccine, unspecified",True,CPT-90655,"Influenza vaccine, unspecified",False,,
VAC0147,"Influenza A(H1N1)2009 vaccine, unspecified",True,CPT-90656,"Influenza vaccine, unspecified",False,,
VAC0147,"Influenza A(H1N1)2009 vaccine, unspecified",True,CPT-90724,"Influenza vaccine, unspecified",False,,
VAC0148,"Leptospirosis vaccine, unspecified",True,,,,,
VAC0149,"Meningococcal B:14:P1.7,16 vaccine, unspecified",True,,,,,
VAC0150,"Meningococcal conjugate vaccine C, unspecified",True,,,,,
VAC0151,"Meningococcal A + C vaccine, unspecified",True,,,,,
VAC0152,"Unconjugated meningococcal vaccine ACWY, unspecified",True,CPT-90733,"Unconjugated meningococcal vaccine ACWY, unspecified",True,6,1
VAC0153,"Mumps vaccine, unspecified",True,CPT-90704,"Mumps vaccine, unspecified",True,12,1
