NUVA,NUVA label,IsAbstract,ATC,ATC label,Best,Blur,Equiv
VAC0038,"TICOVAC 0,5 mL",False,ATC-J07BA01,"Tick-borne encephalitis vaccine, unspecified",True,12,0
VAC0039,"TICOVAC 0,25 mL",False,ATC-J07BA01,"Tick-borne encephalitis vaccine, unspecified",True,12,0
VAC0040,TYAVAX,False,ATC-J07CA10,"Typhoid-hepatitis A vaccine, unspecified",True,6,0
VAC0041,TYPHIM VI,False,ATC-J07AP03,"Typhoid polysaccharide vaccine, unspecified",True,7,0
VAC0042,VACCIN BCG SSI,False,ATC-J07AN01,"BCG vaccine, unspecified",True,19,0
VAC0043,BOOSTRIXTETRA,False,ATC-J07CA02,"TdapIPV - Diphtheria-Tetanus-Pertussis-Polio vaccine, low dose, unspecified",True,26,0
VAC0044,CERVARIX,False,ATC-J07BM02,"HPV vaccine bivalent, unspecified",True,3,0
VAC0045,ENGERIX B 10 µg,False,ATC-J07BC01,"Hepatitis B vaccine, recombinant, unspecified",True,44,0
VAC0046,ENGERIX B 20 µg,False,ATC-J07BC01,"Hepatitis B vaccine, recombinant, unspecified",True,44,0
VAC0047,FLUARIX,False,ATC-J07BB02,"Inactivated influenza vaccine, split or subunit, unspecified",True,98,0
VAC0048,GENHEVAC B PASTEUR,False,ATC-J07BC01,"Hepatitis B vaccine, recombinant, unspecified",True,44,0
VAC0049,HAVRIX 1440 U/1mL,False,ATC-J07BC02,"Inactivated hepatitis A vaccine, unspecified",True,18,0
VAC0050,"HAVRIX 720 U/0,5 mL",False,ATC-J07BC02,"Inactivated hepatitis A vaccine, unspecified",True,18,0
VAC0051,INFANRIXTETRA,False,ATC-J07CA02,"Diphtheria-Tetanus-Pertussis-Polio vaccine, unspecified",True,26,0
VAC0052,VACCIN MENINGOCOCCIQUE A+C,False,ATC-J07AH03,"Meningococcal A + C vaccine, unspecified",True,7,0
VAC0053,PRIORIX,False,ATC-J07BD52,"MMR vaccine, live attenuated, unspecified",True,26,0
VAC0054,VACCIN RABIQUE PASTEUR,False,ATC-J07BG01,"Rabies vaccine, unspecified",True,32,0
VAC0056,VACCIN TETANIQUE PASTEUR,False,ATC-J07AM01,"Tetanus vaccine, unspecified",True,36,0
VAC0057,TWINRIX 20 µg,False,ATC-J07BC20,"Combined hepatitis A and hepatitis B vaccine, unspecified",True,9,0
VAC0058,TWINRIX 10 µg,False,ATC-J07BC20,"Combined hepatitis A and hepatitis B vaccine, unspecified",True,9,0
VAC0059,TYPHERIX,False,ATC-J07AP03,"Typhoid polysaccharide vaccine, unspecified",True,7,0
VAC0060,VARILRIX,False,ATC-J07BK01,"Chickenpox vaccine, unspecified",True,9,0
VAC0061,VARIVAX,False,ATC-J07BK01,"Chickenpox vaccine, unspecified",True,9,0
VAC0062,VAXIGRIP,False,ATC-J07BB02,"Inactivated influenza vaccine, split or subunit, unspecified",True,98,0
VAC0063,TETRACOQ,False,ATC-J07CA02,"Diphtheria-Tetanus-Pertussis-Polio vaccine, unspecified",True,26,0
VAC0064,PENTACOQ,False,ATC-J07CA06,"Pentavalent Diphtheria-Tetanus-Pertussis-Hib-Polio (DTPerHibIPV) vaccine, unspecified",True,21,0
VAC0066,DTCP PASTEUR,False,ATC-J07CA02,"Diphtheria-Tetanus-Pertussis-Polio vaccine, unspecified",True,26,0
VAC0067,HAVRIX 360 U,False,ATC-J07BC02,"Inactivated hepatitis A vaccine, unspecified",True,18,0
VAC0068,MONOVAX,False,ATC-J07AN01,"BCG vaccine, unspecified",True,19,0
VAC0069,MENOMUNE,False,ATC-J07AH04,"Unconjugated meningococcal vaccine ACWY, unspecified",True,6,0
VAC0070,DT BIS,False,ATC-J07AM51,"Tetanus diphtheria vaccine, unspecified",True,47,0
VAC0071,D.T. BIS - RUDIVAX,False,ATC-J07CA03,"Diphtheria-Tetanus-Rubella, unspecified",True,3,0
VAC0072,JE-VAX,False,ATC-J07BA02,"Inactivated Japanese Encephalitis vaccine, unspecified",True,14,0
VAC0073,IXIARO,False,ATC-J07BA02,"Inactivated Japanese Encephalitis vaccine, unspecified",True,14,0
VAC0074,D.T. COQ MERIEUX,False,ATC-J07AJ51,"DTwP - Diphtheria-Tetanus-Pertussis, unspecified",True,24,0
VAC0076,DTVax,False,ATC-J07AM51,"Tetanus diphtheria vaccine, unspecified",True,47,0
VAC0077,IMOVAX OREILLONS,False,ATC-J07BE01,"Mumps vaccine, unspecified",True,12,0
VAC0078,RUDI-ROUVAX,False,ATC-J07BD53,"Measles-Rubella vaccine, unspecified",True,12,0
VAC0079,ENCEPUR,False,ATC-J07BA01,"Tick-borne encephalitis vaccine, unspecified",True,12,0
VAC0080,BCG PASTEUR,False,ATC-J07AN01,"BCG vaccine, unspecified",True,19,0
VAC0082,MENBVAC,False,ATC-J07AH06,"Meningococcal B:14:P1.7,16 vaccine, unspecified",True,3,0
VAC0083,SYNFLORIX,False,ATC-J07AL02,"Pneumococcal conjugate vaccine, serotypes unspecified",True,20,0
VAC0084,"H5N1 pre-pandemic influenza vaccine, unspecified",True,,,,,
VAC0085,T POLIO MERIEUX,False,,,,,
VAC0086,TETAVAX,False,ATC-J07AM01,"Tetanus vaccine, unspecified",True,36,0
VAC0087,VAXICOQ,False,ATC-J07AJ01,"Whole-cell inactivated pertussis vaccine, unspecified",True,5,0
VAC0088,"DTIPV vaccine, unspecified",True,ATC-J07CA01,"Diphtheria-Tetanus-Polio vaccine, unspecified",True,15,0
VAC0090,VACCIN BRUCELLIQUE P.I. à usage humain,False,ATC-J07AD01,"Brucellosis vaccine, unspecified",True,4,0
VAC0091,VACCIN CCB PASTEUR,False,,,,,
VAC0092,VACCIN CHOLERIQUE PASTEUR,False,ATC-J07AE01,"Whole inactivated Cholera vaccine, unspecified",True,14,0
VAC0093,VACCIN DT TAB PASTEUR,False,,,,,
VAC0094,VACCIN SABIN POLIOVAC MERIEUX,False,ATC-J07BF02,"OPV 1-2-3, unspecified",True,13,0
VAC0094,VACCIN SABIN POLIOVAC MERIEUX,False,ATC-J07BF01,"Monovalent oral polio vaccine - type unknown, unspecified",False,,
VAC0095,VACCIN TAB PASTEUR,False,ATC-J07AP10,"Typhoid-Paratyphoid vaccine, unspecified",True,4,0
VAC0096,VACCIN GRIPPAL RONCHESE (VGR),False,ATC-J07BB02,"Inactivated influenza vaccine, split or subunit, unspecified",True,98,0
VAC0097,VACCIN LEPTOSPIRES ICTEROHEMORRAGIAE PASTEUR,False,,,,,
VAC0098,HEXAVAC,False,ATC-J07CA09,"Hexavalent vaccine DTPCaHibHepB - Diphtheria-Tetanus-Polio-Acellular Pertussis-Hib-HepB, unspecified",True,9,0
VAC0099,MENINVACT,False,ATC-J07AH07,"Meningococcal conjugate vaccine C, unspecified",True,11,0
VAC0101,"Hepatitis B vaccine, recombinant, unspecified",True,ATC-J07BC01,"Hepatitis B vaccine, recombinant, unspecified",True,44,1
VAC0102,"Inactivated hepatitis A vaccine, unspecified",True,ATC-J07BC02,"Inactivated hepatitis A vaccine, unspecified",True,18,1
VAC0103,MENACTRA,False,ATC-J07AH08,"Meningococcal ACWY conjugate vaccine, unspecified",True,8,0
VAC0104,HUMENZA,False,ATC-J07BB02,"Inactivated influenza vaccine, split or subunit, unspecified",True,98,0
VAC0105,PANENZA,False,ATC-J07BB02,"Inactivated influenza vaccine, split or subunit, unspecified",True,98,0
VAC0106,Q-Pan H1N1,False,ATC-J07BB02,"Inactivated influenza vaccine, split or subunit, unspecified",True,98,0
VAC0107,CELVAPAN,False,ATC-J07BB02,"Inactivated influenza vaccine, split or subunit, unspecified",True,98,0
VAC0108,PANDEMRIX,False,ATC-J07BB02,"Inactivated influenza vaccine, split or subunit, unspecified",True,98,0
VAC0109,FOCETRIA (unidose),False,ATC-J07BB02,"Inactivated influenza vaccine, split or subunit, unspecified",True,98,0
VAC0110,"Influenza vaccine, unspecified",True,,,,,
VAC0111,"Yellow fever vaccine, unspecified",True,ATC-J07BL01,"Yellow fever vaccine, unspecified",True,7,1
VAC0112,"Typhoid vaccine, unspecified",True,,,,,
VAC0113,"Rubella vaccine, live attenuated, unspecified",True,ATC-J07BJ01,"Rubella vaccine, live attenuated, unspecified",True,21,1
VAC0114,"Live attenuated measles vaccine, unspecified",True,ATC-J07BD01,"Live attenuated measles vaccine, unspecified",True,25,1
VAC0115,AVAXIM 80 U PEDIATRIQUE,False,ATC-J07BC02,"Inactivated hepatitis A vaccine, unspecified",True,18,0
VAC0116,R.O.R SANOFI PASTEUR,False,ATC-J07BD52,"MMR vaccine, live attenuated, unspecified",True,26,0
VAC0120,VACCIN VARICELLE MERIEUX,False,ATC-J07BK01,"Chickenpox vaccine, unspecified",True,9,0
VAC0121,PRIORIX-TETRA,False,ATC-J07BD54,"MMRV - Measles-Mumps-Rubella-Varicella vaccine, unspecified",True,3,0
VAC0123,PREVENAR 13,False,ATC-J07AL02,"Pneumococcal conjugate vaccine, serotypes unspecified",True,20,0
VAC0124,FOCETRIA (multidose),False,ATC-J07BB02,"Inactivated influenza vaccine, split or subunit, unspecified",True,98,0
VAC0125,AREPANRIX,False,ATC-J07BB02,"Inactivated influenza vaccine, split or subunit, unspecified",True,98,0
VAC0126,HEVAC B,False,,,,,
VAC0127,HB VAX DNA 5 µg,False,ATC-J07BC01,"Hepatitis B vaccine, recombinant, unspecified",True,44,0
VAC0128,HB VAX DNA 10 µg,False,ATC-J07BC01,"Hepatitis B vaccine, recombinant, unspecified",True,44,0
VAC0129,HB VAX DNA 40 µg,False,ATC-J07BC01,"Hepatitis B vaccine, recombinant, unspecified",True,44,0
VAC0130,"MMR vaccine, live attenuated, unspecified",True,ATC-J07BD52,"MMR vaccine, live attenuated, unspecified",True,26,1
VAC0131,"Rabies vaccine, unspecified",True,ATC-J07BG01,"Rabies vaccine, unspecified",True,32,1
VAC0132,"Tetanus vaccine, unspecified",True,ATC-J07AM01,"Tetanus vaccine, unspecified",True,36,1
VAC0133,"Smallpox vaccine, unspecified",True,ATC-J07BX01,"Smallpox vaccine, unspecified",True,19,1
VAC0134,"BCG vaccine, unspecified",True,ATC-J07AN01,"BCG vaccine, unspecified",True,19,1
VAC0135,"Polio vaccine, unspecified",True,,,,,
VAC0136,"DTwP - Diphtheria-Tetanus-Pertussis, unspecified",True,ATC-J07AJ51,"DTwP - Diphtheria-Tetanus-Pertussis, unspecified",True,24,1
VAC0137,"DT vaccine, unspecified",True,ATC-J07AM51,"Tetanus diphtheria vaccine, unspecified",True,47,0
VAC0138,"Diphtheria-Tetanus-Pertussis-Polio vaccine, unspecified",True,ATC-J07CA02,"Diphtheria-Tetanus-Pertussis-Polio vaccine, unspecified",True,26,1
VAC0139,PENT-HIBEST,False,ATC-J07CA06,"Pentavalent Diphtheria-Tetanus-Pertussis-Hib-Polio (DTPerHibIPV) vaccine, unspecified",True,21,0
VAC0140,INTANZA,False,ATC-J07BB02,"Inactivated influenza vaccine, split or subunit, unspecified",True,98,0
VAC0141,MENVEO,False,ATC-J07AH08,"Meningococcal ACWY conjugate vaccine, unspecified",True,8,0
VAC0143,"Haemophilus influenzae B (or Hib) vaccine, unspecified",True,ATC-J07AG01,"Haemophilus influenzae B (or Hib) vaccine, unspecified",True,19,1
VAC0144,"Cholera vaccine, unspecified",True,,,,,
VAC0145,"Tick-borne encephalitis vaccine, unspecified",True,ATC-J07BA01,"Tick-borne encephalitis vaccine, unspecified",True,12,1
VAC0146,"Live attenuated Japanese Encephalitis vaccine 14-14-2 strain, unspecified",True,ATC-J07BA03,"Live attenuated Japanese Encephalitis vaccine, unspecified",True,7,0
VAC0147,"Influenza A(H1N1)2009 vaccine, unspecified",True,ATC-J07BB02,"Inactivated influenza vaccine, split or subunit, unspecified",True,98,0
VAC0148,"Leptospirosis vaccine, unspecified",True,,,,,
VAC0149,"Meningococcal B:14:P1.7,16 vaccine, unspecified",True,ATC-J07AH06,"Meningococcal B:14:P1.7,16 vaccine, unspecified",True,3,1
VAC0150,"Meningococcal conjugate vaccine C, unspecified",True,ATC-J07AH07,"Meningococcal conjugate vaccine C, unspecified",True,11,1
VAC0151,"Meningococcal A + C vaccine, unspecified",True,ATC-J07AH03,"Meningococcal A + C vaccine, unspecified",True,7,1
VAC0152,"Unconjugated meningococcal vaccine ACWY, unspecified",True,ATC-J07AH04,"Unconjugated meningococcal vaccine ACWY, unspecified",True,6,1
VAC0153,"Mumps vaccine, unspecified",True,ATC-J07BE01,"Mumps vaccine, unspecified",True,12,1
VAC0154,"Malaria vaccine, unspecified",True,,,,,
VAC0155,"Dengue vaccine, unspecified",True,ATC-J07BX04,"Dengue vaccine, unspecified",True,5,1
VAC0156,HPV Vaccine,True,,,,,
VAC0157,"Pneumococcal vaccine, unspecified",True,,,,,
VAC0158,"Rotavirus vaccine, unspecified",True,ATC-J07BH01,"Rotavirus vaccine, unspecified",True,7,1
VAC0159,"Chickenpox vaccine, unspecified",True,ATC-J07BK01,"Chickenpox vaccine, unspecified",True,9,1
VAC0160,"Live attenuated shingles vaccine, unspecified",True,ATC-J07BK02,"Live attenuated shingles vaccine, unspecified",True,2,1
VAC0161,ZOSTAVAX,False,ATC-J07BK02,"Live attenuated shingles vaccine, unspecified",True,2,0
VAC0162,"Brucellosis vaccine, unspecified",True,ATC-J07AD01,"Brucellosis vaccine, unspecified",True,4,1
VAC0163,"Whole-cell inactivated pertussis vaccine, unspecified",True,ATC-J07AJ01,"Whole-cell inactivated pertussis vaccine, unspecified",True,5,1
VAC0164,INTANZA 9 µg,False,ATC-J07BB02,"Inactivated influenza vaccine, split or subunit, unspecified",True,98,0
VAC0165,"VAQTA 25 U/0,5 mL",False,ATC-J07BC02,"Inactivated hepatitis A vaccine, unspecified",True,18,0
VAC0166,VAQTA 50 U,False,ATC-J07BC02,"Inactivated hepatitis A vaccine, unspecified",True,18,0
VAC0168,AMBIRIX,False,ATC-J07BC20,"Combined hepatitis A and hepatitis B vaccine, unspecified",True,9,0
VAC0169,OPTAFLU,False,ATC-J07BB02,"Inactivated influenza vaccine, split or subunit, unspecified",True,98,0
VAC0170,AFLUNOV,False,,,,,
VAC0171,PREPANDEMIC INFLUENZA VACCINE (H5N1) NOVARTIS,False,,,,,
VAC0172,DIFTAVAX,False,ATC-J07AM51,"Tetanus diphtheria vaccine, unspecified",True,47,0
VAC0173,FLUENZ,False,ATC-J07BB03,"Influenza vaccine, live attenuated, unspecified",True,7,0
VAC0174,PROQUAD,False,ATC-J07BD54,"MMRV - Measles-Mumps-Rubella-Varicella vaccine, unspecified",True,3,0
VAC0175,A.D.T. BOOSTER,False,ATC-J07AM51,"Tetanus diphtheria vaccine, unspecified",True,47,0
VAC0176,A.K.D.S.,False,ATC-J07AJ51,"DTwP - Diphtheria-Tetanus-Pertussis, unspecified",True,24,0
VAC0177,AC VAX,False,ATC-J07AH03,"Meningococcal A + C vaccine, unspecified",True,7,0
VAC0178,ACEL-IMUNE,False,ATC-J07AJ52,"Diph-T-aP/ap, unspecified",True,24,0
VAC0179,ACELLULAR D.P.T. KOVAX,False,ATC-J07CA01,"Diphtheria-Tetanus-Polio vaccine, unspecified",True,15,0
VAC0180,ACTACEL,False,ATC-J07AG52,"Diphtheria-tetanus-pertussis-Hib vaccine, unspecified",True,7,0
VAC0182,ADACEL,False,ATC-J07AJ52,"Diph-T-aP/ap, unspecified",True,24,0
VAC0183,AIMMUGEN,False,ATC-J07BC02,"Inactivated hepatitis A vaccine, unspecified",True,18,0
VAC0184,ALDIANA,False,ATC-J07AF01,"Diphtheria vaccine, unspecified",True,10,0
VAC0185,ALDITEANA,False,ATC-J07AM51,"Tetanus diphtheria vaccine, unspecified",True,47,0
VAC0186,ALDITERPERA,False,ATC-J07AJ51,"DTwP - Diphtheria-Tetanus-Pertussis, unspecified",True,24,0
VAC0187,AMARIL,False,ATC-J07BL01,"Yellow fever vaccine, unspecified",True,7,0
VAC0188,QUIMI-HIB,False,ATC-J07AG01,"Haemophilus influenzae B (or Hib) vaccine, unspecified",True,19,0
VAC0189,ANADIFTERALL,False,ATC-J07AF01,"Diphtheria vaccine, unspecified",True,10,0
VAC0190,ANATETALL,False,ATC-J07AM01,"Tetanus vaccine, unspecified",True,36,0
VAC0191,ARILVAX,False,ATC-J07BL01,"Yellow fever vaccine, unspecified",True,7,0
VAC0192,ATTENUVAX,False,ATC-J07BD01,"Live attenuated measles vaccine, unspecified",True,25,0
VAC0193,"AVAC-1, AVA",False,ATC-J07AC01,"Anthrax vaccine, unspecified",True,7,0
VAC0194,B-CAPSA,False,,,,,
VAC0195,BEGRIVAC,False,ATC-J07BB02,"Inactivated influenza vaccine, split or subunit, unspecified",True,98,0
VAC0196,BIAVAX,False,ATC-J07BJ51,"Rubella-Mumps vaccine, unspecified",True,3,0
VAC0197,BIAVAX II,False,ATC-J07BJ51,"Rubella-Mumps vaccine, unspecified",True,3,0
VAC0198,BIKEN-HB,False,,,,,
VAC0199,BIMMUGEN,False,ATC-J07BC01,"Hepatitis B vaccine, recombinant, unspecified",True,44,0
VAC0200,BIOTHRAX,False,ATC-J07AC01,"Anthrax vaccine, unspecified",True,7,0
VAC0201,BIVIRATEN BERNA,False,ATC-J07BD51,"Measles-mumps vaccine, unspecified",True,9,0
VAC0202,BVAC,False,,,,,
VAC0203,C.D.T.,False,ATC-J07AM51,"Tetanus diphtheria vaccine, unspecified",True,47,0
VAC0204,CAM-KOVAX,False,ATC-J07BD01,"Live attenuated measles vaccine, unspecified",True,25,0
VAC0205,CD.JEVAX,False,ATC-J07BA03,"Live attenuated Japanese Encephalitis vaccine, unspecified",True,7,0
VAC0206,CELLUVAX,False,ATC-J07AJ02,"Acellular pertussis vaccine, unspecified",True,9,0
VAC0207,CENDEVAX,False,ATC-J07BJ01,"Rubella vaccine, live attenuated, unspecified",True,21,0
VAC0208,CERTIVA,False,ATC-J07AJ52,"Diph-T-aP/ap, unspecified",True,24,0
VAC0209,COMVAX,False,ATC-J07CA08,"HepB-Hib, unspecified",True,4,0
VAC0210,D.S.D.P.T.,False,ATC-J07AJ51,"DTwP - Diphtheria-Tetanus-Pertussis, unspecified",True,24,0
VAC0211,DAPTACEL,False,ATC-J07AJ52,"Diph-T-aP/ap, unspecified",True,24,0
VAC0212,DI TE PER POL IMPFSTOFF,False,ATC-J07CA02,"Diphtheria-Tetanus-Pertussis-Polio vaccine, unspecified",True,26,0
VAC0213,DI-TE-POL,False,ATC-J07CA01,"Diphtheria-Tetanus-Polio vaccine, unspecified",True,15,0
VAC0214,DIF-TET-ALL,False,ATC-J07AM51,"Tetanus diphtheria vaccine, unspecified",True,47,0
VAC0216,ANATOXAL DI TE,False,ATC-J07AM51,"Tetanus diphtheria vaccine, unspecified",True,47,0
VAC0217,DITOXIM,False,ATC-J07AM51,"Tetanus diphtheria vaccine, unspecified",True,47,0
VAC0218,DOUBLE ANIGEN B.,False,ATC-J07AM51,"Tetanus diphtheria vaccine, unspecified",True,47,0
VAC0219,DRYVAX,False,ATC-J07BX01,"Smallpox vaccine, unspecified",True,19,0
VAC0220,DT MERIEUX,False,ATC-J07AM51,"Tetanus diphtheria vaccine, unspecified",True,47,0
VAC0222,TRIPVAC,False,ATC-J07AJ51,"DTwP - Diphtheria-Tetanus-Pertussis, unspecified",True,24,0
VAC0223,DUAL ANTIGEN SII,False,ATC-J07AM51,"Tetanus diphtheria vaccine, unspecified",True,47,0
VAC0224,ECOLARIX,False,ATC-J07BD53,"Measles-Rubella vaccine, unspecified",True,12,0
VAC0225,EIPV,False,ATC-J07BF03,"Inactivated Polio vaccine, unspecified",True,18,0
VAC0226,"Diptheria, Tetanus and Acellular Pertussis Combined Walvax vaccine",False,ATC-J07AJ52,"Diph-T-aP/ap, unspecified",True,24,0
VAC0227,EPAXAL,False,ATC-J07BC02,"Inactivated hepatitis A vaccine, unspecified",True,18,0
VAC0228,ERVEVAX RA 27/3,False,ATC-J07BJ01,"Rubella vaccine, live attenuated, unspecified",True,21,0
VAC0229,FLU SHIELD,False,ATC-J07BB02,"Inactivated influenza vaccine, split or subunit, unspecified",True,98,0
VAC0230,FLUAD,False,ATC-J07BB02,"Inactivated influenza vaccine, split or subunit, unspecified",True,98,0
VAC0231,FLUKOVAX,False,ATC-J07BB02,"Inactivated influenza vaccine, split or subunit, unspecified",True,98,0
VAC0232,FLULAVAL,False,ATC-J07BB02,"Inactivated influenza vaccine, split or subunit, unspecified",True,98,0
VAC0233,FLUMIST,False,ATC-J07BB03,"Influenza vaccine, live attenuated, unspecified",True,7,0
VAC0234,FLUOGEN,False,ATC-J07BB01,"Inactivated whole influenza vaccine, unspecified",True,3,0
VAC0235,FLUVIRIN,False,ATC-J07BB02,"Inactivated influenza vaccine, split or subunit, unspecified",True,98,0
VAC0236,FLUZONE HIGH-DOSE,False,ATC-J07BB02,"Inactivated influenza vaccine, split or subunit, unspecified",True,98,0
VAC0238,FUNED-CEME,False,ATC-J07AJ51,"DTwP - Diphtheria-Tetanus-Pertussis, unspecified",True,24,0
VAC0240,GUNEVAX,False,ATC-J07BJ01,"Rubella vaccine, live attenuated, unspecified",True,21,0
VAC0241,HAEMOPHILUS INFLUENZAE B CONJUGATE VACCINE - SERUM INSTITUTE OF INDIA,False,ATC-J07AG01,"Haemophilus influenzae B (or Hib) vaccine, unspecified",True,19,0
VAC0242,HBY,False,ATC-J07BC01,"Hepatitis B vaccine, recombinant, unspecified",True,44,0
VAC0243,HEPA-B INJECTION,False,,,,,
VAC0244,HEPRECOMB,False,ATC-J07BC01,"Hepatitis B vaccine, recombinant, unspecified",True,44,0
VAC0245,HEPTAVAX B,False,,,,,
VAC0246,HIBERNA PRODUCTSIX,False,,,,,
VAC0247,HIBTITER,False,ATC-J07AG01,"Haemophilus influenzae B (or Hib) vaccine, unspecified",True,19,0
VAC0248,HINKUYS KAROKOE,False,ATC-J07AJ01,"Whole-cell inactivated pertussis vaccine, unspecified",True,5,0
VAC0249,RUBELLA VACCINE HPV-77,False,ATC-J07BJ01,"Rubella vaccine, live attenuated, unspecified",True,21,0
VAC0251,HUMOTET-ANTI TETANUS,False,ATC-J07AM01,"Tetanus vaccine, unspecified",True,36,0
VAC0252,VAXIGRIP ENFANTS,False,ATC-J07BB02,"Inactivated influenza vaccine, split or subunit, unspecified",True,98,0
VAC0253,VAXIRAB N,False,ATC-J07BG01,"Rabies vaccine, unspecified",True,32,0
VAC0254,IMOVAX D.T.,False,ATC-J07AM51,"Tetanus diphtheria vaccine, unspecified",True,47,0
VAC0255,IMOVAX GRIPPE,False,ATC-J07BB02,"Inactivated influenza vaccine, split or subunit, unspecified",True,98,0
VAC0256,IMOVAX MUMPS,False,ATC-J07BE01,"Mumps vaccine, unspecified",True,12,0
VAC0257,IMOVAX PAROTIDITIS,False,ATC-J07BE01,"Mumps vaccine, unspecified",True,12,0
VAC0258,IMOVAX R.O.R.,False,ATC-J07BD52,"MMR vaccine, live attenuated, unspecified",True,26,0
VAC0259,IMOVAX Rabies,False,ATC-J07BG01,"Rabies vaccine, unspecified",True,32,0
VAC0260,IMOVAX Rabies I.D.,False,ATC-J07BG01,"Rabies vaccine, unspecified",True,32,0
VAC0261,IMOVAX RAGE,False,ATC-J07BG01,"Rabies vaccine, unspecified",True,32,0
VAC0262,IMOVAX RUBEOLA,False,ATC-J07BJ01,"Rubella vaccine, live attenuated, unspecified",True,21,0
